stop_id,stop_name,stop_lat,stop_lon
mrt6_uttara_north,Uttara North,23.869107,90.36753
mrt6_uttara_center,Uttara Center,23.859721,90.365183
mrt6_uttara_south,Uttara South,23.845904,90.363153
mrt6_pallabi,Pallabi,23.826157,90.364186
mrt6_mirpur_11,Mirpur 11,23.819096,90.365281
mrt6_mirpur_10,Mirpur 10,23.808365,90.368261
mrt6_kazipara,Kazipara,23.799241,90.371988
mrt6_shewrapara,Shewrapara,23.790963,90.375509
mrt6_agargaon,Agargaon,23.778427,90.38005
mrt6_bijoy_sarani,Bijoy Sarani,23.766394,90.383097
mrt6_farmgate,Farmgate,23.759039,90.387111
mrt6_karwan_bazar,Karwan Bazar,23.751266,90.392776
mrt6_shahbag,Shahbag,23.739465,90.395985
mrt6_dhaka_university,Dhaka University,23.731683,90.396823
mrt6_secretariat,Bangladesh Secretariat,23.730013,90.407484
mrt6_motijheel,Motijheel,23.728059,90.419055
mrt6_kamalapur,Kamalapur,23.731872,90.425344
