trip_id,arrival_time,departure_time,stop_id,stop_sequence
100CS1_loop,06:00:00,06:00:00,term_dia,1
100CS1_loop,06:03:00,06:03:00,av_heraclito,2
100CS1_loop,06:07:00,06:07:00,av_tancredo,3
100CS1_loop,06:10:00,06:10:00,av_universo,4
100CS1_loop,06:11:00,06:11:00,rua_jupiter,5
100CS1_loop,06:12:00,06:12:00,rua_flamboyants,6
100CS1_loop,06:13:00,06:13:00,rua_lirios,7
100CS1_loop,06:15:00,06:15:00,av_paulovi,8
100CS1_loop,06:17:00,06:17:00,av_iolanda,9
100CS1_loop,06:19:00,06:19:00,av_geraldo_sobral,10
100CS1_loop,06:21:00,06:21:00,av_pedro_valadares,11
100CS1_loop,06:23:00,06:23:00,av_francisco_porto,12
100CS1_loop,06:26:00,06:26:00,av_beira_mar,13
100CS1_loop,06:29:00,06:29:00,av_luiz_lua,14
100CS1_loop,06:31:00,06:31:00,rua_antonio_maia,15
100CS1_loop,06:32:00,06:32:00,rua_jose_freitas,16
100CS1_loop,06:33:00,06:33:00,rua_urbano_neto,17
100CS1_loop,06:35:00,06:35:00,rua_constantino,18
100CS1_loop,06:38:00,06:38:00,rua_milton_dortas,19
100CS1_loop,06:42:00,06:42:00,av_santos_dumont,20
100CS1_loop,06:45:00,06:45:00,rua_moacir_sobral,21
100CS1_loop,06:48:00,06:48:00,term_zonasul,22
100CS1_loop,06:51:00,06:51:00,av_antonio_alves,23
100CS1_loop,06:54:00,06:54:00,av_beira_mar,24
100CS1_loop,06:58:00,06:58:00,av_murilo_dantas,25
100CS1_loop,07:01:00,07:01:00,av_canal5,26
100CS1_loop,07:03:00,07:03:00,rua_h4,27
100CS1_loop,07:05:00,07:05:00,pc_edeltrudes,28
100CS1_loop,07:06:00,07:06:00,rua_a5,29
100CS1_loop,07:08:00,07:08:00,av_canal4,30
100CS1_loop,07:10:00,07:10:00,rua_hunaldo,31
100CS1_loop,07:11:00,07:11:00,rua_fernando_maia,32
100CS1_loop,07:12:00,07:12:00,rua_a2,33
100CS1_loop,07:14:00,07:14:00,av_canal3,34
100CS1_loop,07:15:00,07:15:00,rua_i1,35
100CS1_loop,07:16:00,07:16:00,rua_carlos_pereira,36
100CS1_loop,07:18:00,07:18:00,trav_ofenisia,37
100CS1_loop,07:21:00,07:21:00,rua_m,38
100CS1_loop,07:23:00,07:23:00,av_p,39
100CS1_loop,07:26:00,07:26:00,av_heraclito,40
100CS1_loop,07:30:00,07:30:00,term_dia,41
100CS2_loop,06:00:00,06:00:00,term_dia,1
100CS2_loop,06:03:00,06:03:00,av_heraclito,2
100CS2_loop,06:06:00,06:06:00,av_p,3
100CS2_loop,06:08:00,06:08:00,rua_m,4
100CS2_loop,06:10:00,06:10:00,rua_fernando_maia,5
100CS2_loop,06:11:00,06:11:00,rua_a2,6
100CS2_loop,06:13:00,06:13:00,rua_carlos_pereira,7
100CS2_loop,06:15:00,06:15:00,av_canal3,8
100CS2_loop,06:17:00,06:17:00,rua_hunaldo,9
100CS2_loop,06:19:00,06:19:00,av_canal4,10
100CS2_loop,06:21:00,06:21:00,rua_h4,11
100CS2_loop,06:23:00,06:23:00,pc_edeltrudes,12
100CS2_loop,06:24:00,06:24:00,rua_a5,13
100CS2_loop,06:26:00,06:26:00,av_canal5,14
100CS2_loop,06:29:00,06:29:00,av_murilo_dantas,15
100CS2_loop,06:33:00,06:33:00,av_beira_mar,16
100CS2_loop,06:36:00,06:36:00,av_antonio_alves,17
100CS2_loop,06:39:00,06:39:00,term_zonasul,18
100CS2_loop,06:41:00,06:41:00,av_rotary,19
100CS2_loop,06:44:00,06:44:00,av_santos_dumont,20
100CS2_loop,06:47:00,06:47:00,rua_fernando_sampaio,21
