trip_id,arrival_time,departure_time,stop_id,stop_sequence
103_WK_d0,05:50:00,05:50:00,TERM,1
103_WK_d0,06:15:00,06:15:00,S103,2
103_WK_d1,06:20:00,06:20:00,S103,1
103_WK_d1,06:45:00,06:45:00,TERM,2
104_WK_d0,05:30:00,05:30:00,TERM,1
104_WK_d0,05:55:00,05:55:00,S104,2
104_WK_d1,06:00:00,06:00:00,S104,1
104_WK_d1,06:25:00,06:25:00,TERM,2
104_SU_d0,06:30:00,06:30:00,TERM,1
104_SU_d0,06:55:00,06:55:00,S104,2
107_WK_d0,05:50:00,05:50:00,TERM,1
107_WK_d0,06:15:00,06:15:00,S107,2
107_WK_d1,06:20:00,06:20:00,S107,1
107_WK_d1,06:45:00,06:45:00,TERM,2
108_WK_d0,05:50:00,05:50:00,TERM,1
108_WK_d0,06:15:00,06:15:00,S108,2
108_WK_d1,06:20:00,06:20:00,S108,1
108_WK_d1,06:45:00,06:45:00,TERM,2
111_WK_d0,06:20:00,06:20:00,TERM,1
111_WK_d0,06:45:00,06:45:00,S111,2
111_WK_d1,05:50:00,05:50:00,S111,1
111_WK_d1,06:15:00,06:15:00,TERM,2
111_SA_d0,06:20:00,06:20:00,TERM,1
111_SA_d0,06:45:00,06:45:00,S111,2
111_SU_d0,07:20:00,07:20:00,TERM,1
111_SU_d0,07:45:00,07:45:00,S111,2
112_WK_d0,05:50:00,05:50:00,TERM,1
112_WK_d0,06:15:00,06:15:00,S112,2
112_WK_d1,06:20:00,06:20:00,S112,1
112_WK_d1,06:45:00,06:45:00,TERM,2
115_WK_d0,06:20:00,06:20:00,TERM,1
115_WK_d0,06:45:00,06:45:00,S115,2
115_WK_d1,05:50:00,05:50:00,S115,1
115_WK_d1,06:15:00,06:15:00,TERM,2
116_WK_d0,05:50:00,05:50:00,TERM,1
116_WK_d0,06:15:00,06:15:00,S116,2
116_WK_d1,06:20:00,06:20:00,S116,1
116_WK_d1,06:45:00,06:45:00,TERM,2
117_WK_d0,05:50:00,05:50:00,TERM,1
117_WK_d0,06:15:00,06:15:00,S117,2
117_WK_d1,06:20:00,06:20:00,S117,1
117_WK_d1,06:45:00,06:45:00,TERM,2
118_WK_d0,05:50:00,05:50:00,TERM,1
118_WK_d0,06:15:00,06:15:00,S118,2
118_WK_d1,06:20:00,06:20:00,S118,1
118_WK_d1,06:45:00,06:45:00,TERM,2
120_WK_d0,05:50:00,05:50:00,TERM,1
120_WK_d0,06:15:00,06:15:00,S120,2
120_WK_d1,06:20:00,06:20:00,S120,1
120_WK_d1,06:45:00,06:45:00,TERM,2
121_WK_d0,05:50:00,05:50:00,TERM,1
121_WK_d0,06:15:00,06:15:00,S121,2
121_WK_d1,05:50:00,05:50:00,S121,1
121_WK_d1,06:15:00,06:15:00,TERM,2
123_WK_d0,05:50:00,05:50:00,TERM,1
123_WK_d0,06:15:00,06:15:00,S123,2
123_WK_d1,06:20:00,06:20:00,S123,1
123_WK_d1,06:45:00,06:45:00,TERM,2
126_WK_d0,05:50:00,05:50:00,TERM,1
126_WK_d0,06:15:00,06:15:00,S126,2
126_WK_d1,06:20:00,06:20:00,S126,1
126_WK_d1,06:45:00,06:45:00,TERM,2
