route_id,service_id,trip_id,trip_headsign
103,WK,103_WK_d0,Claudionor Cinti
103,WK,103_WK_d1,Terminal
104,WK,104_WK_d0,São José
104,WK,104_WK_d1,Terminal
104,SU,104_SU_d0,São José
107,WK,107_WK_d0,Porto Real
107,WK,107_WK_d1,Terminal
108,WK,108_WK_d0,Água Branca
108,WK,108_WK_d1,Terminal
111,WK,111_WK_d0,Aparecida / Terra Nova
111,WK,111_WK_d1,Terminal
111,SA,111_SA_d0,Aparecida / Terra Nova
111,SU,111_SU_d0,Aparecida / Terra Nova
112,WK,112_WK_d0,Jardim Atlântico / ETEMP
112,WK,112_WK_d1,Terminal
115,WK,115_WK_d0,Taveira
115,WK,115_WK_d1,Terminal
116,WK,116_WK_d0,Lago Azul / Nova York
116,WK,116_WK_d1,Terminal
117,WK,117_WK_d0,Umuarama / Concórdia
117,WK,117_WK_d1,Terminal
118,WK,118_WK_d0,FOA / Campus
118,WK,118_WK_d1,Terminal
120,WK,120_WK_d0,Hilda Mandarino
120,WK,120_WK_d1,Terminal
121,WK,121_WK_d0,Águas Claras / Verde Parque
121,WK,121_WK_d1,Terminal
123,WK,123_WK_d0,Alvorada
123,WK,123_WK_d1,Terminal
126,WK,126_WK_d0,Vilela / São Rafael
126,WK,126_WK_d1,Terminal
