trip_id,arrival_time,departure_time,stop_id,stop_sequence
0033_dir0_WKDY_00,05:20:00,05:20:00,gasparini,1
0033_dir0_WKDY_00,05:24:00,05:24:00,nacoesunidas,2
0033_dir0_WKDY_00,05:28:00,05:28:00,rodrigues_alves,3
0033_dir0_WKDY_00,05:32:00,05:32:00,centro,4
0033_dir0_SAT_00,05:30:00,05:30:00,gasparini,1
0033_dir0_SAT_00,05:34:00,05:34:00,nacoesunidas,2
0033_dir0_SAT_00,05:38:00,05:38:00,rodrigues_alves,3
0033_dir0_SAT_00,05:42:00,05:42:00,centro,4
0033_dir0_SUN_00,05:20:00,05:20:00,gasparini,1
0033_dir0_SUN_00,05:24:00,05:24:00,nacoesunidas,2
0033_dir0_SUN_00,05:28:00,05:28:00,rodrigues_alves,3
0033_dir0_SUN_00,05:32:00,05:32:00,centro,4
0033_dir1_WKDY_00,06:10:00,06:10:00,centro,1
0033_dir1_WKDY_00,06:14:00,06:14:00,rodrigues_alves,2
0033_dir1_WKDY_00,06:18:00,06:18:00,nacoesunidas,3
0033_dir1_WKDY_00,06:22:00,06:22:00,gasparini,4
0033_dir1_SAT_00,06:45:00,06:45:00,centro,1
0033_dir1_SAT_00,06:49:00,06:49:00,rodrigues_alves,2
0033_dir1_SAT_00,06:53:00,06:53:00,nacoesunidas,3
0033_dir1_SAT_00,06:57:00,06:57:00,gasparini,4
0033_dir1_SUN_00,06:55:00,06:55:00,centro,1
0033_dir1_SUN_00,06:59:00,06:59:00,rodrigues_alves,2
0033_dir1_SUN_00,07:03:00,07:03:00,nacoesunidas,3
0033_dir1_SUN_00,07:07:00,07:07:00,gasparini,4
4600_dir0_WKDY_00,05:30:00,05:30:00,mary_dota,1
4600_dir0_WKDY_00,05:34:00,05:34:00,nuno_assis,2
4600_dir0_WKDY_00,05:38:00,05:38:00,rodoviaria,3
4600_dir0_WKDY_00,05:42:00,05:42:00,centro,4
4600_dir0_SAT_00,05:30:00,05:30:00,mary_dota,1
4600_dir0_SAT_00,05:34:00,05:34:00,nuno_assis,2
4600_dir0_SAT_00,05:38:00,05:38:00,rodoviaria,3
4600_dir0_SAT_00,05:42:00,05:42:00,centro,4
4600_dir0_SUN_00,05:40:00,05:40:00,mary_dota,1
4600_dir0_SUN_00,05:44:00,05:44:00,nuno_assis,2
4600_dir0_SUN_00,05:48:00,05:48:00,rodoviaria,3
4600_dir0_SUN_00,05:52:00,05:52:00,centro,4
4600_dir1_WKDY_00,06:00:00,06:00:00,centro,1
4600_dir1_WKDY_00,06:04:00,06:04:00,rodrigues_alves,2
4600_dir1_WKDY_00,06:08:00,06:08:00,nacoesunidas,3
4600_dir1_WKDY_00,06:12:00,06:12:00,nuno_assis,4
4600_dir1_WKDY_00,06:16:00,06:16:00,mary_dota,5
4600_dir1_SAT_00,06:15:00,06:15:00,centro,1
4600_dir1_SAT_00,06:19:00,06:19:00,rodrigues_alves,2
4600_dir1_SAT_00,06:23:00,06:23:00,nacoesunidas,3
4600_dir1_SAT_00,06:27:00,06:27:00,nuno_assis,4
4600_dir1_SAT_00,06:31:00,06:31:00,mary_dota,5
4600_dir1_SUN_00,06:15:00,06:15:00,centro,1
4600_dir1_SUN_00,06:19:00,06:19:00,rodrigues_alves,2
4600_dir1_SUN_00,06:23:00,06:23:00,nacoesunidas,3
4600_dir1_SUN_00,06:27:00,06:27:00,nuno_assis,4
4600_dir1_SUN_00,06:31:00,06:31:00,mary_dota,5
7800_dir0_WKDY_00,05:15:00,05:15:00,vargem_limpa,1
7800_dir0_WKDY_00,05:19:00,05:19:00,quinta_olinda,2
7800_dir0_WKDY_00,05:23:00,05:23:00,nuno_assis,3
7800_dir0_WKDY_00,05:27:00,05:27:00,nacoesunidas,4
7800_dir0_WKDY_00,05:31:00,05:31:00,centro,5
7800_dir0_SAT_00,05:25:00,05:25:00,vargem_limpa,1
7800_dir0_SAT_00,05:29:00,05:29:00,quinta_olinda,2
7800_dir0_SAT_00,05:33:00,05:33:00,nuno_assis,3
7800_dir0_SAT_00,05:37:00,05:37:00,nacoesunidas,4
7800_dir0_SAT_00,05:41:00,05:41:00,centro,5
7800_dir0_SUN_00,05:20:00,05:20:00,vargem_limpa,1
7800_dir0_SUN_00,05:24:00,05:24:00,quinta_olinda,2
7800_dir0_SUN_00,05:28:00,05:28:00,nuno_assis,3
7800_dir0_SUN_00,05:32:00,05:32:00,nacoesunidas,4
7800_dir0_SUN_00,05:36:00,05:36:00,centro,5
7800_dir1_WKDY_00,05:50:00,05:50:00,centro,1
7800_dir1_WKDY_00,05:54:00,05:54:00,nacoesunidas,2
7800_dir1_WKDY_00,05:58:00,05:58:00,nuno_assis,3
7800_dir1_WKDY_00,06:02:00,06:02:00,quinta_olinda,4
7800_dir1_WKDY_00,06:06:00,06:06:00,vargem_limpa,5
7800_dir1_SAT_00,06:20:00,06:20:00,centro,1
7800_dir1_SAT_00,06:24:00,06:24:00,nacoesunidas,2
7800_dir1_SAT_00,06:28:00,06:28:00,nuno_assis,3
7800_dir1_SAT_00,06:32:00,06:32:00,quinta_olinda,4
7800_dir1_SAT_00,06:36:00,06:36:00,vargem_limpa,5
7800_dir1_SUN_00,06:20:00,06:20:00,centro,1
7800_dir1_SUN_00,06:24:00,06:24:00,nacoesunidas,2
7800_dir1_SUN_00,06:28:00,06:28:00,nuno_assis,3
7800_dir1_SUN_00,06:32:00,06:32:00,quinta_olinda,4
7800_dir1_SUN_00,06:36:00,06:36:00,vargem_limpa,5
9600_dir0_WKDY_00,05:20:00,05:20:00,tibirica,1
9600_dir0_WKDY_00,05:24:00,05:24:00,nacoesunidas,2
9600_dir0_WKDY_00,05:28:00,05:28:00,rodrigues_alves,3
9600_dir0_WKDY_00,05:32:00,05:32:00,centro,4
9600_dir0_SAT_00,05:20:00,05:20:00,tibirica,1
9600_dir0_SAT_00,05:24:00,05:24:00,nacoesunidas,2
9600_dir0_SAT_00,05:28:00,05:28:00,rodrigues_alves,3
9600_dir0_SAT_00,05:32:00,05:32:00,centro,4
9600_dir0_SUN_00,05:40:00,05:40:00,tibirica,1
9600_dir0_SUN_00,05:44:00,05:44:00,nacoesunidas,2
9600_dir0_SUN_00,05:48:00,05:48:00,rodrigues_alves,3
9600_dir0_SUN_00,05:52:00,05:52:00,centro,4
9600_dir1_WKDY_00,06:15:00,06:15:00,centro,1
9600_dir1_WKDY_00,06:19:00,06:19:00,rodrigues_alves,2
9600_dir1_WKDY_00,06:23:00,06:23:00,nacoesunidas,3
9600_dir1_WKDY_00,06:27:00,06:27:00,tibirica,4
9600_dir1_SAT_00,06:15:00,06:15:00,centro,1
9600_dir1_SAT_00,06:19:00,06:19:00,rodrigues_alves,2
9600_dir1_SAT_00,06:23:00,06:23:00,nacoesunidas,3
9600_dir1_SAT_00,06:27:00,06:27:00,tibirica,4
9600_dir1_SUN_00,08:05:00,08:05:00,centro,1
9600_dir1_SUN_00,08:09:00,08:09:00,rodrigues_alves,2
9600_dir1_SUN_00,08:13:00,08:13:00,nacoesunidas,3
9600_dir1_SUN_00,08:17:00,08:17:00,tibirica,4
3288_dir0_WKDY_00,06:15:00,06:15:00,unesp,1
3288_dir0_WKDY_00,06:19:00,06:19:00,camelias,2
3288_dir0_WKDY_00,06:23:00,06:23:00,nacoesunidas,3
3288_dir0_WKDY_00,06:27:00,06:27:00,rodrigues_alves,4
3288_dir0_WKDY_00,06:31:00,06:31:00,falcao_ite,5
3288_dir0_SAT_00,07:00:00,07:00:00,unesp,1
3288_dir0_SAT_00,07:04:00,07:04:00,camelias,2
3288_dir0_SAT_00,07:08:00,07:08:00,nacoesunidas,3
3288_dir0_SAT_00,07:12:00,07:12:00,rodrigues_alves,4
3288_dir0_SAT_00,07:16:00,07:16:00,falcao_ite,5
3288_dir0_SUN_00,05:55:00,05:55:00,unesp,1
3288_dir0_SUN_00,05:59:00,05:59:00,camelias,2
3288_dir0_SUN_00,06:03:00,06:03:00,nacoesunidas,3
3288_dir0_SUN_00,06:07:00,06:07:00,rodrigues_alves,4
3288_dir0_SUN_00,06:11:00,06:11:00,falcao_ite,5
3288_dir1_WKDY_00,06:15:00,06:15:00,falcao_ite,1
3288_dir1_WKDY_00,06:19:00,06:19:00,rodrigues_alves,2
3288_dir1_WKDY_00,06:23:00,06:23:00,nacoesunidas,3
3288_dir1_WKDY_00,06:27:00,06:27:00,camelias,4
3288_dir1_WKDY_00,06:31:00,06:31:00,unesp,5
3288_dir1_SAT_00,06:25:00,06:25:00,falcao_ite,1
3288_dir1_SAT_00,06:29:00,06:29:00,rodrigues_alves,2
3288_dir1_SAT_00,06:33:00,06:33:00,nacoesunidas,3
3288_dir1_SAT_00,06:37:00,06:37:00,camelias,4
3288_dir1_SAT_00,06:41:00,06:41:00,unesp,5
3288_dir1_SUN_00,07:40:00,07:40:00,falcao_ite,1
3288_dir1_SUN_00,07:44:00,07:44:00,rodrigues_alves,2
3288_dir1_SUN_00,07:48:00,07:48:00,nacoesunidas,3
3288_dir1_SUN_00,07:52:00,07:52:00,camelias,4
3288_dir1_SUN_00,07:56:00,07:56:00,unesp,5
0518_dir0_WKDY_00,05:28:00,05:28:00,vila_dutra,1
0518_dir0_WKDY_00,05:32:00,05:32:00,rodrigues_alves,2
0518_dir0_WKDY_00,05:36:00,05:36:00,centro,3
0518_dir0_WKDY_00,05:40:00,05:40:00,nuno_assis,4
0518_dir0_WKDY_00,05:44:00,05:44:00,bauru_shop,5
0518_dir0_SAT_00,05:30:00,05:30:00,vila_dutra,1
0518_dir0_SAT_00,05:34:00,05:34:00,rodrigues_alves,2
0518_dir0_SAT_00,05:38:00,05:38:00,centro,3
0518_dir0_SAT_00,05:42:00,05:42:00,nuno_assis,4
0518_dir0_SAT_00,05:46:00,05:46:00,bauru_shop,5
0518_dir0_SUN_00,05:30:00,05:30:00,vila_dutra,1
0518_dir0_SUN_00,05:34:00,05:34:00,rodrigues_alves,2
0518_dir0_SUN_00,05:38:00,05:38:00,centro,3
0518_dir0_SUN_00,05:42:00,05:42:00,nuno_assis,4
0518_dir0_SUN_00,05:46:00,05:46:00,bauru_shop,5
0518_dir1_WKDY_00,05:50:00,05:50:00,bauru_shop,1
0518_dir1_WKDY_00,05:54:00,05:54:00,nuno_assis,2
0518_dir1_WKDY_00,05:58:00,05:58:00,centro,3
0518_dir1_WKDY_00,06:02:00,06:02:00,rodrigues_alves,4
0518_dir1_WKDY_00,06:06:00,06:06:00,vila_dutra,5
0518_dir1_SAT_00,06:20:00,06:20:00,bauru_shop,1
0518_dir1_SAT_00,06:24:00,06:24:00,nuno_assis,2
0518_dir1_SAT_00,06:28:00,06:28:00,centro,3
0518_dir1_SAT_00,06:32:00,06:32:00,rodrigues_alves,4
0518_dir1_SAT_00,06:36:00,06:36:00,vila_dutra,5
0518_dir1_SUN_00,06:25:00,06:25:00,bauru_shop,1
0518_dir1_SUN_00,06:29:00,06:29:00,nuno_assis,2
0518_dir1_SUN_00,06:33:00,06:33:00,centro,3
0518_dir1_SUN_00,06:37:00,06:37:00,rodrigues_alves,4
0518_dir1_SUN_00,06:41:00,06:41:00,vila_dutra,5
