stop_id,stop_name,stop_lat,stop_lon
centro,Centro / Praca Machado de Mello,-22.3236568,-49.0782714
rodoviaria,Terminal Rodoviario (Av. Nacoes Unidas),-22.3126425,-49.0685115
nacoesunidas,Av. Nacoes Unidas (centro),-22.319,-49.074
rodrigues_alves,Av. Rodrigues Alves,-22.321,-49.079
nuno_assis,Av. Nuno de Assis,-22.317,-49.062
gasparini,Gasparini,-22.2738747,-49.08344
mary_dota,Jardim Mary Dota,-22.3018085,-49.0320715
vargem_limpa,Vargem Limpa,-22.3353237,-49.0208442
tibirica,Tibirica,-22.196464,-49.1986508
unesp,UNESP Campus (Av. Eng. Edmundo C. Coube),-22.3477173,-49.0302419
camelias,Jardim das Camelias,-22.356,-49.025
falcao_ite,Falcao / ITE,-22.33,-49.068
bauru_shop,Bauru Shopping,-22.3425171,-49.0493097
vila_dutra,Vila Dutra / Marilu,-22.33,-49.09
quinta_olinda,Quinta Bela Olinda,-22.34,-49.03
