stop_id,stop_name,stop_lat,stop_lon
S_pass_dalva_com_maravalho_belo,Pass. Dalva Com Maravalho Belo,-1.40135,-48.43978
S_maravalho_belo_com_we_2,Maravalho Belo Com We 2,,
S_maravalho_belo_com_r_da_marinha,Maravalho Belo Com R. Da Marinha,,
S_r_da_marinha_com_r_terceira,R. Da Marinha Com R. Terceira,,
S_r_da_marinha_com_ailton_rosado,R. Da Marinha Com Aílton Rosado,,
S_r_da_marinha_com_pass_do_alem,R. Da Marinha Com Pass. Do Além,,
S_r_da_marinha_com_rua_c_sentido_oeste,R. Da Marinha Com Rua C | Sentido Oeste,,
S_r_da_marinha_com_pass_mirasselva_sentido,R. Da Marinha Com Pass. Mirasselva | Sentido Oeste,,
S_rodolfo_chermont_com_marapanim,Rodolfo Chermont Com Marapanim,,
S_praca_dom_alberto_ramos_rodolfo_chermont,Praça Dom Alberto Ramos | Rodolfo Chermont Com Almeirim,,
S_rodolfo_chermont_com_benevides,Rodolfo Chermont Com Benevides,,
S_tavares_bastos_com_rodolfo_chermont_sent,Tavares Bastos Com Rodolfo Chermont | Sentido Leste,,
S_res_tavares_bastos,Res. Tavares Bastos,,
S_tavares_bastos_com_pass_dalva,Tavares Bastos Com Pass. Dalva,,
S_tavares_bastos_com_p_a_cabral,Tavares Bastos Com P.A. Cabral,,
S_tavares_bastos_com_monteiro_lobato,Tavares Bastos Com Monteiro Lobato,,
S_tavares_bastos_com_almirante,Tavares Bastos Com Almirante,,
S_icfex_almirante_barroso,Icfex | Almirante Barroso,,
S_cj_imperio_amazonico_almirante_barroso,Cj. Império Amazônico | Almirante Barroso,,
S_setran_almirante_barroso,Setran | Almirante Barroso,,
S_i_comar_almirante_com_julio_cezar,I Comar | Almirante Com Júlio Cezar,,
S_escola_cordeiro_de_farias_almirante_barr,Escola Cordeiro De Farias | Almirante Barroso,,
S_uepa_ccbs_almirante_barroso,Uepa Ccbs | Almirante Barroso,,
S_bosque_rodrigues_alves_jardim_zoobotanic,Bosque Rodrigues Alves (Jardim Zoobotânico),-1.4463,-48.4646
S_almirante_com_mauriti_inmetro,Almirante Com Mauriti | Inmetro,,
S_ifpa_almirante_com_timbo,Ifpa | Almirante Com Timbó,,
S_almirante_com_humaita,Almirante Com Humaitá,,
S_almirante_com_curuzu_hdi_seguros,Almirante Com Curuzú | Hdi Seguros,,
S_almirante_com_jose_malcher_shopping_sao_,Almirante Com José Malcher | Shopping São Brás,-1.452,-48.479
S_jose_malcher_com_castelo,José Malcher Com Castelo,,
S_jose_malcher_com_3_de_maio,José Malcher Com 3 De Maio,,
S_jose_malcher_com_alcindo,José Malcher Com Alcindo,,
S_jose_malcher_com_14_de_marco_assembleia_,José Malcher Com 14 De Março | Assembleia De Deus,,
S_semec_jose_malcher_com_generalissimo,Semec | José Malcher Com Generalíssimo,,
S_palacete_bibi_costa_jose_malcher_com_wan,Palacete Bibi Costa | José Malcher Com Wandenkolk,,
S_jose_malcher_com_rui_barbosa,José Malcher Com Rui Barbosa,,
S_assis_de_vasc_com_henrique_gurjao,Assis De Vasc. Com Henrique Gurjão,,
S_assis_de_vasc_com_manoel_barata,Assis De Vasc. Com Manoel Barata,,
S_assis_de_vasc_com_municipalidade,Assis De Vasc. Com Municipalidade,,
S_estacao_das_docas_pista_da_direita,Estação Das Docas (Pista Da Direita),-1.44861,-48.50028
S_ver_o_peso_1_blvd_castilhos_franca,Ver-O-Peso 1 | Blvd. Castilhos França,-1.45222,-48.50361
S_praca_dom_pedro_ii,Praça Dom Pedro II,-1.4528,-48.5023
S_16_de_novembro_com_joaquim_tavora_minist,16 De Novembro Com Joaquim Távora | Ministério Público,,
S_tamandare_com_sao_francisco,Tamandaré Com São Francisco,,
S_gama_abreu_com_campos_sales,Gama Abreu Com Campos Sales,,
S_gama_abreu_com_arcipreste,Gama Abreu Com Arcipreste,,
S_soledad_1_gentil_com_dr_moraes,Soledad 1 | Gentil Com Dr. Moraes,,
S_gentil_com_benjamin_ibge,Gentil Com Benjamin | Ibge,,
S_gentil_com_generalissimo,Gentil Com Generalíssimo,,
S_gentil_com_14_de_marco_can_jacauna,Gentil Com 14 De Março | Can | Jacaúna,,
S_gentil_com_alcindo,Gentil Com Alcindo,,
S_gentil_com_3_de_maio,Gentil Com 3 De Maio,,
S_gentil_com_14_de_abril,Gentil Com 14 De Abril,,
S_gentil_com_jose_bonifacio,Gentil Com José Bonifácio,,
S_jose_bonifacio_com_f_de_brito_mercado_de,José Bonifácio Com F. De Brito | Mercado De São Brás,-1.4542,-48.4787
S_terminal_rodoviario_almirante_com_ceara,Terminal Rodoviário | Almirante Com Ceará,-1.4536,-48.4772
S_almirante_com_antonio_baena_monte_libano,Almirante Com Antônio Baena | Monte Líbano,,
S_almirante_com_curuzu_instituto_evandro_c,Almirante Com Curuzú | Instituto Evandro Chagas,,
S_almirante_com_humaita_crf,Almirante Com Humaitá | Crf,,
S_ifpa_almirante_com_estrella,Ifpa | Almirante Com Estrella,,
S_almirante_com_barao_do_triunfo_cemo,Almirante Com Barão Do Triunfo | Cemo,,
S_almirante_com_lomas,Almirante Com Lomas,,
S_almirante_com_perebebui_igreja_messianic,Almirante Com Perebebuí | Igreja Messiânica,,
S_sesan_almirante_barroso,Sesan | Almirante Barroso,,
S_hospital_da_aeronautica_almirante_barros,Hospital Da Aeronáutica | Almirante Barroso,,
S_pestalozzi_almirante_barroso,Pestalozzi | Almirante Barroso,,
S_tuna_luso_almirante_com_maj_elieser,Tuna Luso | Almirante Com Maj. Eliéser,,
S_escola_p_a_pedroso_almirante_barroso,Escola P.A. Pedroso | Almirante Barroso,,
