trip_id,arrival_time,departure_time,stop_id,stop_sequence
MET_L1_S_1,06:00:00,06:00:00,MET_VRO,1
MET_L1_S_1,06:02:27,06:02:27,MET_FLO,2
MET_L1_S_1,06:04:54,06:04:54,MET_WLB,3
MET_L1_S_1,06:07:21,06:07:21,MET_PRM,4
MET_L1_S_1,06:09:48,06:09:48,MET_SGB,5
MET_L1_S_1,06:12:15,06:12:15,MET_MSH,6
MET_L1_S_1,06:14:42,06:14:42,MET_JCS,7
MET_L1_S_1,06:17:09,06:17:09,MET_SAI,8
MET_L1_S_1,06:19:36,06:19:36,MET_HOT,9
MET_L1_S_1,06:22:03,06:22:03,MET_SAT,10
MET_L1_S_1,06:24:30,06:24:30,MET_SAE,11
MET_L1_S_1,06:26:57,06:26:57,MET_CNT,12
MET_L1_S_1,06:29:24,06:29:24,MET_LAG,13
MET_L1_S_1,06:31:51,06:31:51,MET_CAP,14
MET_L1_S_1,06:34:18,06:34:18,MET_CAL,15
MET_L1_S_1,06:36:45,06:36:45,MET_NSA,16
MET_L1_S_1,06:39:12,06:39:12,MET_GAM,17
MET_L1_S_1,06:41:39,06:41:39,MET_VOS,18
MET_L1_S_1,06:44:06,06:44:06,MET_CID,19
MET_L1_S_1,06:46:33,06:46:33,MET_ELD,20
MET_L1_S_1,06:49:00,06:49:00,MET_NEL,21
MET_L1_S_2,06:08:00,06:08:00,MET_VRO,1
MET_L1_S_2,06:10:27,06:10:27,MET_FLO,2
MET_L1_S_2,06:12:54,06:12:54,MET_WLB,3
MET_L1_S_2,06:15:21,06:15:21,MET_PRM,4
MET_L1_S_2,06:17:48,06:17:48,MET_SGB,5
MET_L1_S_2,06:20:15,06:20:15,MET_MSH,6
MET_L1_S_2,06:22:42,06:22:42,MET_JCS,7
MET_L1_S_2,06:25:09,06:25:09,MET_SAI,8
MET_L1_S_2,06:27:36,06:27:36,MET_HOT,9
MET_L1_S_2,06:30:03,06:30:03,MET_SAT,10
MET_L1_S_2,06:32:30,06:32:30,MET_SAE,11
MET_L1_S_2,06:34:57,06:34:57,MET_CNT,12
MET_L1_S_2,06:37:24,06:37:24,MET_LAG,13
MET_L1_S_2,06:39:51,06:39:51,MET_CAP,14
MET_L1_S_2,06:42:18,06:42:18,MET_CAL,15
MET_L1_S_2,06:44:45,06:44:45,MET_NSA,16
MET_L1_S_2,06:47:12,06:47:12,MET_GAM,17
MET_L1_S_2,06:49:39,06:49:39,MET_VOS,18
MET_L1_S_2,06:52:06,06:52:06,MET_CID,19
MET_L1_S_2,06:54:33,06:54:33,MET_ELD,20
MET_L1_S_2,06:57:00,06:57:00,MET_NEL,21
MET_L1_N_1,06:05:00,06:05:00,MET_NEL,1
MET_L1_N_1,06:07:27,06:07:27,MET_ELD,2
MET_L1_N_1,06:09:54,06:09:54,MET_CID,3
MET_L1_N_1,06:12:21,06:12:21,MET_VOS,4
MET_L1_N_1,06:14:48,06:14:48,MET_GAM,5
MET_L1_N_1,06:17:15,06:17:15,MET_NSA,6
MET_L1_N_1,06:19:42,06:19:42,MET_CAL,7
MET_L1_N_1,06:22:09,06:22:09,MET_CAP,8
MET_L1_N_1,06:24:36,06:24:36,MET_LAG,9
MET_L1_N_1,06:27:03,06:27:03,MET_CNT,10
MET_L1_N_1,06:29:30,06:29:30,MET_SAE,11
MET_L1_N_1,06:31:57,06:31:57,MET_SAT,12
MET_L1_N_1,06:34:24,06:34:24,MET_HOT,13
MET_L1_N_1,06:36:51,06:36:51,MET_SAI,14
MET_L1_N_1,06:39:18,06:39:18,MET_JCS,15
MET_L1_N_1,06:41:45,06:41:45,MET_MSH,16
MET_L1_N_1,06:44:12,06:44:12,MET_SGB,17
MET_L1_N_1,06:46:39,06:46:39,MET_PRM,18
MET_L1_N_1,06:49:06,06:49:06,MET_WLB,19
MET_L1_N_1,06:51:33,06:51:33,MET_FLO,20
MET_L1_N_1,06:54:00,06:54:00,MET_VRO,21
MET_L1_N_2,06:13:00,06:13:00,MET_NEL,1
MET_L1_N_2,06:15:27,06:15:27,MET_ELD,2
MET_L1_N_2,06:17:54,06:17:54,MET_CID,3
MET_L1_N_2,06:20:21,06:20:21,MET_VOS,4
MET_L1_N_2,06:22:48,06:22:48,MET_GAM,5
MET_L1_N_2,06:25:15,06:25:15,MET_NSA,6
MET_L1_N_2,06:27:42,06:27:42,MET_CAL,7
MET_L1_N_2,06:30:09,06:30:09,MET_CAP,8
MET_L1_N_2,06:32:36,06:32:36,MET_LAG,9
MET_L1_N_2,06:35:03,06:35:03,MET_CNT,10
MET_L1_N_2,06:37:30,06:37:30,MET_SAE,11
MET_L1_N_2,06:39:57,06:39:57,MET_SAT,12
MET_L1_N_2,06:42:24,06:42:24,MET_HOT,13
MET_L1_N_2,06:44:51,06:44:51,MET_SAI,14
MET_L1_N_2,06:47:18,06:47:18,MET_JCS,15
MET_L1_N_2,06:49:45,06:49:45,MET_MSH,16
MET_L1_N_2,06:52:12,06:52:12,MET_SGB,17
MET_L1_N_2,06:54:39,06:54:39,MET_PRM,18
MET_L1_N_2,06:57:06,06:57:06,MET_WLB,19
MET_L1_N_2,06:59:33,06:59:33,MET_FLO,20
MET_L1_N_2,07:02:00,07:02:00,MET_VRO,21
BUS_3830_IN_1,04:52:00,04:52:00,BUS_BELAFAMA,1
BUS_3830_IN_1,05:02:00,05:02:00,BUS_NOVALIMA,2
BUS_3830_IN_1,05:40:00,05:40:00,MET_SGB,3
BUS_3830_IN_1,05:55:00,05:55:00,BUS_BH_CENTRO,4
BUS_3830_OUT_1,18:00:00,18:00:00,BUS_BH_CENTRO,1
BUS_3830_OUT_1,18:15:00,18:15:00,MET_SGB,2
BUS_3830_OUT_1,18:53:00,18:53:00,BUS_NOVALIMA,3
BUS_3830_OUT_1,19:03:00,19:03:00,BUS_BELAFAMA,4
BUS_3832_IN_1,04:15:00,04:15:00,BUS_NOVALIMA,1
BUS_3832_IN_1,04:50:00,04:50:00,MET_SGB,2
BUS_3832_IN_1,05:05:00,05:05:00,BUS_BH_CENTRO,3
BUS_3832_OUT_1,18:00:00,18:00:00,BUS_BH_CENTRO,1
BUS_3832_OUT_1,18:15:00,18:15:00,MET_SGB,2
BUS_3832_OUT_1,18:50:00,18:50:00,BUS_NOVALIMA,3
