stop_id,stop_name,stop_lat,stop_lon
MET_VRO,Estação Vilarinho,-19.821611,-43.947611
MET_FLO,Estação Floramar,-19.83417,-43.940417
MET_WLB,Estação Waldomiro Lobo,-19.847806,-43.932667
MET_PRM,Estação Primeiro de Maio,-19.857972,-43.93389
MET_SGB,Estação São Gabriel,-19.863139,-43.92625
MET_MSH,Estação Minas Shopping,-19.873222,-43.927694
MET_JCS,Estação José Cândido da Silveira,-19.88361,-43.912889
MET_SAI,Estação Santa Inês,-19.895333,-43.9105
MET_HOT,Estação Horto Florestal,-19.90611,-43.913083
MET_SAT,Estação Santa Tereza,-19.917889,-43.912722
MET_SAE,Estação Santa Efigênia,-19.919556,-43.92225
MET_CNT,Estação Central,-19.917583,-43.933222
MET_LAG,Estação Lagoinha,-19.912972,-43.942556
MET_CAP,Estação Carlos Prates,-19.918139,-43.957306
MET_CAL,Estação Calafate,-19.922361,-43.970111
MET_NSA,Estação Nova Suíça,-19.92486,-43.978786
MET_GAM,Estação Gameleira,-19.928139,-43.988528
MET_VOS,Estação Vila Oeste,-19.938667,-44.003
MET_CID,Estação Cidade Industrial,-19.9455,-44.016444
MET_ELD,Estação Eldorado,-19.938444,-44.02972
MET_NEL,Estação Novo Eldorado,-19.9295,-44.023
BUS_NOVALIMA,Nova Lima (Terminal / Centro),-19.9858,-43.8467
BUS_BELAFAMA,Bela Fama (Nova Lima),-19.9989,-43.845
BUS_BH_CENTRO,Belo Horizonte - Centro (Av. Álvares Cabral / Estação Central),-19.9206,-43.9378
