trip_id,arrival_time,departure_time,stop_id,stop_sequence
520C_ida,05:00:00,05:00:00,TJUST,1
520C_ida,05:14:00,05:14:00,EVILA,2
520C_ida,05:45:00,05:45:00,PRIOB,3
520C_volta,06:00:00,06:00:00,PRIOB,1
520C_volta,06:31:00,06:31:00,EVILA,2
520C_volta,06:45:00,06:45:00,TJUST,3
521C_ida,05:10:00,05:10:00,TJUST,1
521C_ida,05:24:00,05:24:00,EVILA,2
521C_ida,05:58:00,05:58:00,PRIOB,3
521C_volta,06:10:00,06:10:00,PRIOB,1
521C_volta,06:44:00,06:44:00,EVILA,2
521C_volta,06:58:00,06:58:00,TJUST,3
522H_ida,05:15:00,05:15:00,TJUST,1
522H_ida,05:29:00,05:29:00,EVILA,2
522H_ida,05:41:00,05:41:00,E1MAIO,3
522H_ida,05:47:00,05:47:00,EMSHOP,4
522H_ida,05:54:00,05:54:00,TSGAB,5
522H_ida,06:12:00,06:12:00,HOSP,6
522H_volta,06:25:00,06:25:00,HOSP,1
522H_volta,06:43:00,06:43:00,TSGAB,2
522H_volta,06:50:00,06:50:00,EMSHOP,3
522H_volta,06:56:00,06:56:00,E1MAIO,4
522H_volta,07:08:00,07:08:00,EVILA,5
522H_volta,07:22:00,07:22:00,TJUST,6
523H_ida,05:20:00,05:20:00,TJUST,1
523H_ida,05:34:00,05:34:00,EVILA,2
523H_ida,06:06:00,06:06:00,PRIOB,3
523H_ida,06:16:00,06:16:00,HOSP,4
523H_volta,06:30:00,06:30:00,HOSP,1
523H_volta,06:40:00,06:40:00,PRIOB,2
523H_volta,07:12:00,07:12:00,EVILA,3
523H_volta,07:26:00,07:26:00,TJUST,4
524R_ida,05:25:00,05:25:00,TJUST,1
524R_ida,05:39:00,05:39:00,EVILA,2
524R_ida,05:51:00,05:51:00,E1MAIO,3
524R_ida,05:57:00,05:57:00,EMSHOP,4
524R_ida,06:04:00,06:04:00,TSGAB,5
524R_ida,06:20:00,06:20:00,PRIOB,6
524R_volta,06:35:00,06:35:00,PRIOB,1
524R_volta,06:51:00,06:51:00,TSGAB,2
524R_volta,06:58:00,06:58:00,EMSHOP,3
524R_volta,07:04:00,07:04:00,E1MAIO,4
524R_volta,07:16:00,07:16:00,EVILA,5
524R_volta,07:30:00,07:30:00,TJUST,6
412H_ida,05:00:00,05:00:00,TSBEN,1
412H_ida,05:22:00,05:22:00,E1MAIO,2
412H_ida,05:29:00,05:29:00,EMSHOP,3
412H_ida,05:36:00,05:36:00,TSGAB,4
412H_ida,05:54:00,05:54:00,HOSP,5
413H_ida,05:05:00,05:05:00,TSBEN,1
413H_ida,05:45:00,05:45:00,PRIOB,2
413H_ida,05:55:00,05:55:00,HOSP,3
414R_ida,05:06:00,05:06:00,TSBEN,1
414R_ida,05:28:00,05:28:00,E1MAIO,2
414R_ida,05:35:00,05:35:00,EMSHOP,3
414R_ida,05:42:00,05:42:00,TSGAB,4
414R_ida,05:58:00,05:58:00,PRIOB,5
