stop_id,stop_name,stop_lat,stop_lon
VK_ATERRO,Terminal Aterro (Blumenau),-26.87094,-49.09539
VK_UDODEEKE,Rua Engenheiro Udo Deeke (Blumenau),-26.862,-49.106
VK_BADENFURT,Badenfurt / BR-470,-26.845,-49.12
VK_IFC,IFC Campus Blumenau (Rua Bernardino Jose de Oliveira),-26.8355,-49.133
VK_TREVO_POM,Trevo de Pomerode (BR-470),-26.82,-49.145
VK_POM_CENTRO,Pomerode Centro (Av. 21 de Janeiro),-26.74083,-49.17694
VK_COL_DRBLU,Colegio Dr. Blumenau (Centro),-26.739,-49.176
VK_TESTO_REGA,Testo Rega / Garagem Volkmann,-26.7032,-49.1617
VK_REGA2,Rega II (Rua Presidente Costa e Silva),-26.702,-49.161
VK_TESTO_ALTO,Testo Alto,-26.685,-49.15
VK_PROGRESSO,Progresso,-26.72,-49.165
VK_RODRIGUES,Escola Rodrigues Alves / Karsten,-26.73,-49.17
VK_KYLY,Kyly,-26.745,-49.18
VK_FAKINI,Fakini / Malhas Treze,-26.752,-49.185
VK_AMADEU,Escola Amadeu da Luz,-26.743,-49.174
VK_PRUDENTE,Escola Prudente,-26.746,-49.178
VK_SENAI,SENAI Pomerode,-26.758,-49.188
VK_PORTALSUL,Portal Sul,-26.765,-49.192
VK_WUNDERWALD,Dr. Wunderwald / Rega III,-26.71,-49.163
VK_21ABRIL,21 de Abril,-26.735,-49.172
VK_CALESITA,Calesita,-26.755,-49.183
VK_CATIVA,Cativa,-26.76,-49.186
VK_LUIZABRY,Luiz Abry,-26.725,-49.168
VK_GUSTMANN,Ribeirao Gustmann,-26.715,-49.16
