trip_id,arrival_time,departure_time,stop_id,stop_sequence
104B_0514,05:14:00,05:14:00,BV_TERM,1
104B_0514,05:18:00,05:18:00,BV_ENE_CTR,2
104B_0514,05:23:00,05:23:00,BV_ENE_SF,3
104B_0514,05:27:00,05:27:00,BV_ENE_UFRR,4
104B_0514,05:31:00,05:31:00,BV_EGOMES,5
104B_0514,05:36:00,05:36:00,BV_PISABEL,6
104B_0514,05:40:00,05:40:00,BV_DFONTELE,7
104B_0514,05:44:00,05:44:00,BV_JFARIAS,8
104B_0514,05:49:00,05:49:00,BV_RBARAUNA,9
104B_0514,05:52:00,05:52:00,BV_FVALOIS,10
104B_0514,05:58:00,05:58:00,BV_UNIVERSO,11
104B_1200,12:00:00,12:00:00,BV_TERM,1
104B_1200,12:04:00,12:04:00,BV_ENE_CTR,2
104B_1200,12:09:00,12:09:00,BV_ENE_SF,3
104B_1200,12:13:00,12:13:00,BV_ENE_UFRR,4
104B_1200,12:17:00,12:17:00,BV_EGOMES,5
104B_1200,12:22:00,12:22:00,BV_PISABEL,6
104B_1200,12:26:00,12:26:00,BV_DFONTELE,7
104B_1200,12:30:00,12:30:00,BV_JFARIAS,8
104B_1200,12:35:00,12:35:00,BV_RBARAUNA,9
104B_1200,12:38:00,12:38:00,BV_FVALOIS,10
104B_1200,12:44:00,12:44:00,BV_UNIVERSO,11
104C_0600,06:00:00,06:00:00,BV_UNIVERSO,1
104C_0600,06:03:00,06:03:00,BV_GEMEOS,2
104C_0600,06:06:00,06:06:00,BV_DAPARECIDO,3
104C_0600,06:09:00,06:09:00,BV_SCLIRA,4
104C_0600,06:13:00,06:13:00,BV_VJARDIM,5
104C_0600,06:17:00,06:17:00,BV_CMATOS,6
104C_0600,06:23:00,06:23:00,BV_CPMELO,7
104C_0600,06:28:00,06:28:00,BV_JFARIAS,8
104C_0600,06:34:00,06:34:00,BV_EGOMES,9
104C_0600,06:39:00,06:39:00,BV_ENE_SF,10
104C_0600,06:44:00,06:44:00,BV_ENE_CTR,11
104C_0600,06:48:00,06:48:00,BV_TERM,12
104C_2315,23:15:00,23:15:00,BV_UNIVERSO,1
104C_2315,23:18:00,23:18:00,BV_GEMEOS,2
104C_2315,23:21:00,23:21:00,BV_DAPARECIDO,3
104C_2315,23:24:00,23:24:00,BV_SCLIRA,4
104C_2315,23:28:00,23:28:00,BV_VJARDIM,5
104C_2315,23:32:00,23:32:00,BV_CMATOS,6
104C_2315,23:38:00,23:38:00,BV_CPMELO,7
104C_2315,23:43:00,23:43:00,BV_JFARIAS,8
104C_2315,23:49:00,23:49:00,BV_EGOMES,9
104C_2315,23:54:00,23:54:00,BV_ENE_SF,10
104C_2315,23:59:00,23:59:00,BV_ENE_CTR,11
104C_2315,24:03:00,24:03:00,BV_TERM,12
104B_SAT_0600,06:00:00,06:00:00,BV_TERM,1
104B_SAT_0600,06:04:00,06:04:00,BV_ENE_CTR,2
104B_SAT_0600,06:09:00,06:09:00,BV_ENE_SF,3
104B_SAT_0600,06:13:00,06:13:00,BV_ENE_UFRR,4
104B_SAT_0600,06:17:00,06:17:00,BV_EGOMES,5
104B_SAT_0600,06:22:00,06:22:00,BV_PISABEL,6
104B_SAT_0600,06:26:00,06:26:00,BV_DFONTELE,7
104B_SAT_0600,06:30:00,06:30:00,BV_JFARIAS,8
104B_SAT_0600,06:35:00,06:35:00,BV_RBARAUNA,9
104B_SAT_0600,06:38:00,06:38:00,BV_FVALOIS,10
104B_SAT_0600,06:44:00,06:44:00,BV_UNIVERSO,11
104C_SAT_0700,07:00:00,07:00:00,BV_UNIVERSO,1
104C_SAT_0700,07:03:00,07:03:00,BV_GEMEOS,2
104C_SAT_0700,07:06:00,07:06:00,BV_DAPARECIDO,3
104C_SAT_0700,07:09:00,07:09:00,BV_SCLIRA,4
104C_SAT_0700,07:13:00,07:13:00,BV_VJARDIM,5
104C_SAT_0700,07:17:00,07:17:00,BV_CMATOS,6
104C_SAT_0700,07:23:00,07:23:00,BV_CPMELO,7
104C_SAT_0700,07:28:00,07:28:00,BV_JFARIAS,8
104C_SAT_0700,07:34:00,07:34:00,BV_EGOMES,9
104C_SAT_0700,07:39:00,07:39:00,BV_ENE_SF,10
104C_SAT_0700,07:44:00,07:44:00,BV_ENE_CTR,11
104C_SAT_0700,07:48:00,07:48:00,BV_TERM,12
104B_SUN_0700,07:00:00,07:00:00,BV_TERM,1
104B_SUN_0700,07:04:00,07:04:00,BV_ENE_CTR,2
104B_SUN_0700,07:09:00,07:09:00,BV_ENE_SF,3
104B_SUN_0700,07:13:00,07:13:00,BV_ENE_UFRR,4
104B_SUN_0700,07:17:00,07:17:00,BV_EGOMES,5
104B_SUN_0700,07:22:00,07:22:00,BV_PISABEL,6
104B_SUN_0700,07:26:00,07:26:00,BV_DFONTELE,7
104B_SUN_0700,07:30:00,07:30:00,BV_JFARIAS,8
104B_SUN_0700,07:35:00,07:35:00,BV_RBARAUNA,9
104B_SUN_0700,07:38:00,07:38:00,BV_FVALOIS,10
104B_SUN_0700,07:44:00,07:44:00,BV_UNIVERSO,11
104C_SUN_0800,08:00:00,08:00:00,BV_UNIVERSO,1
104C_SUN_0800,08:03:00,08:03:00,BV_GEMEOS,2
104C_SUN_0800,08:06:00,08:06:00,BV_DAPARECIDO,3
104C_SUN_0800,08:09:00,08:09:00,BV_SCLIRA,4
104C_SUN_0800,08:13:00,08:13:00,BV_VJARDIM,5
104C_SUN_0800,08:17:00,08:17:00,BV_CMATOS,6
104C_SUN_0800,08:23:00,08:23:00,BV_CPMELO,7
104C_SUN_0800,08:28:00,08:28:00,BV_JFARIAS,8
104C_SUN_0800,08:34:00,08:34:00,BV_EGOMES,9
104C_SUN_0800,08:39:00,08:39:00,BV_ENE_SF,10
104C_SUN_0800,08:44:00,08:44:00,BV_ENE_CTR,11
104C_SUN_0800,08:48:00,08:48:00,BV_TERM,12
