trip_id,arrival_time,departure_time,stop_id,stop_sequence
PIO_3312_WK_0,19:00:00,19:00:00,P_GAR_STM,1
PIO_3312_WK_0,19:02:00,19:02:00,P_ALG_106CD,2
PIO_3312_WK_0,19:04:00,19:04:00,P_ALG_105E,3
PIO_3312_WK_0,19:06:00,19:06:00,P_ALG_104G,4
PIO_3312_WK_0,19:08:00,19:08:00,P_ALG_103D,5
PIO_3312_WK_0,19:10:00,19:10:00,P_ALG_102H,6
PIO_3312_WK_0,19:12:00,19:12:00,P_ALG_101DF,7
PIO_3312_WK_0,19:14:00,19:14:00,P_ALG_QR100B1,8
PIO_3312_WK_0,19:16:00,19:16:00,P_ALG_AC200B,9
PIO_3312_WK_0,19:19:00,19:19:00,P_DF290_283O,10
PIO_3312_WK_0,19:20:00,19:20:00,P_DF290_285L,11
PIO_3312_WK_0,19:21:00,19:21:00,P_DF290_285O,12
PIO_3312_WK_0,19:23:00,19:23:00,P_ALG_AC200D,13
PIO_3312_WK_0,19:25:00,19:25:00,P_ALG_AC200H,14
PIO_3312_WK_0,19:27:00,19:27:00,P_ALG_201A,15
PIO_3312_WK_0,19:29:00,19:29:00,P_ALG_202BC,16
PIO_3312_WK_0,19:31:00,19:31:00,P_ALG_203AB,17
PIO_3312_WK_0,19:33:00,19:33:00,P_ALG_204C,18
PIO_3312_WK_0,19:35:00,19:35:00,P_ALG_205BC,19
PIO_3312_WK_0,19:37:00,19:37:00,P_ALG_206BC,20
PIO_3312_WK_0,19:39:00,19:39:00,P_ALG_207BC,21
PIO_3312_WK_0,19:40:00,19:40:00,P_ALG_207D,22
PIO_3312_WK_0,19:42:00,19:42:00,P_ALG_208AB,23
PIO_3312_WK_0,19:44:00,19:44:00,P_ALG_209B,24
PIO_3312_WK_0,19:46:00,19:46:00,P_ALG_210D,25
PIO_3312_WK_0,19:48:00,19:48:00,P_ALG_QC1D,26
PIO_3312_WK_0,19:50:00,19:50:00,P_ALG_QC1H,27
PIO_3312_WK_0,19:52:00,19:52:00,P_ALG_FORUM,28
PIO_3312_WK_0,19:54:00,19:54:00,P_ALG_QR211A,29
PIO_3312_WK_0,19:56:00,19:56:00,P_ALG_QR212B,30
PIO_3312_WK_0,19:58:00,19:58:00,P_ALG_213FG,31
PIO_3312_WK_0,20:00:00,20:00:00,P_ALG_214B,32
PIO_3312_WK_0,20:02:00,20:02:00,P_ALG_215B,33
PIO_3312_WK_0,20:04:00,20:04:00,P_ALG_216DE,34
PIO_3312_WK_0,20:06:00,20:06:00,P_ALG_217B,35
PIO_3312_WK_0,20:08:00,20:08:00,P_ALG_218E,36
PIO_3312_WK_0,20:10:00,20:10:00,P_TERM_STM,37
PIO_3312_WK_1,21:00:00,21:00:00,P_TERM_STM,1
PIO_3312_WK_1,21:02:00,21:02:00,P_ALG_218E,2
PIO_3312_WK_1,21:06:00,21:06:00,P_ALG_214B,3
PIO_3312_WK_1,21:12:00,21:12:00,P_ALG_FORUM,4
PIO_3312_WK_1,21:18:00,21:18:00,P_ALG_210D,5
PIO_3312_WK_1,21:24:00,21:24:00,P_ALG_205BC,6
PIO_3312_WK_1,21:30:00,21:30:00,P_ALG_201A,7
PIO_3312_WK_1,21:36:00,21:36:00,P_DF290_285O,8
PIO_3312_WK_1,21:42:00,21:42:00,P_ALG_AC200B,9
PIO_3312_WK_1,21:48:00,21:48:00,P_ALG_101DF,10
PIO_3312_WK_1,21:54:00,21:54:00,P_ALG_104G,11
PIO_3312_WK_1,22:00:00,22:00:00,P_GAR_STM,12
PIO_3312_WE_0,18:45:00,18:45:00,P_GAR_STM,1
PIO_3312_WE_0,18:57:00,18:57:00,P_ALG_101DF,2
PIO_3312_WE_0,19:03:00,19:03:00,P_ALG_AC200B,3
PIO_3312_WE_0,19:09:00,19:09:00,P_DF290_285O,4
PIO_3312_WE_0,19:15:00,19:15:00,P_ALG_201A,5
PIO_3312_WE_0,19:21:00,19:21:00,P_ALG_205BC,6
PIO_3312_WE_0,19:27:00,19:27:00,P_ALG_210D,7
PIO_3312_WE_0,19:33:00,19:33:00,P_ALG_FORUM,8
PIO_3312_WE_0,19:39:00,19:39:00,P_ALG_214B,9
PIO_3312_WE_0,19:45:00,19:45:00,P_TERM_STM,10
PIO_147_2_WK_0,06:55:00,06:55:00,P_TERM_SSEB,1
PIO_147_2_WK_0,06:59:00,06:59:00,P_SS_BELAVISTA20,2
PIO_147_2_WK_0,07:02:00,07:02:00,P_SS_BELAVISTA310,3
PIO_147_2_WK_0,07:07:00,07:07:00,P_SS_BOSQUE_CEF,4
PIO_147_2_WK_0,07:13:00,07:13:00,P_SS_VILANOVA_REGGAE,5
PIO_147_2_WK_0,07:20:00,07:20:00,P_SS_ADMIN,6
PIO_147_2_WK_0,07:32:00,07:32:00,P_SS_JBOT_III,7
PIO_147_2_WK_0,07:42:00,07:42:00,P_SS_JBOT_SOLAR,8
PIO_147_2_WK_0,07:52:00,07:52:00,P_SS_PONTEJK,9
PIO_147_2_WK_0,07:58:00,07:58:00,P_SS_CCBB,10
PIO_147_2_WK_0,08:04:00,08:04:00,P_SS_PLANALTO,11
PIO_147_2_WK_0,08:09:00,08:09:00,P_SS_ESPL_EDUC,12
PIO_147_2_WK_0,08:13:00,08:13:00,P_SS_TEATRO,13
PIO_147_2_WK_0,08:16:00,08:16:00,P_SS_PATIOBRASIL,14
PIO_147_2_WK_0,08:20:00,08:20:00,P_SS_UDF,15
PIO_147_2_WK_0,08:23:00,08:23:00,P_SS_PAODEACUCAR,16
PIO_147_2_WK_0,08:25:00,08:25:00,P_TERM_ASASUL,17
PIO_147_2_WK_1,17:10:00,17:10:00,P_TERM_ASASUL,1
PIO_147_2_WK_1,17:13:00,17:13:00,P_SS_PAODEACUCAR,2
PIO_147_2_WK_1,17:19:00,17:19:00,P_SS_PATIOBRASIL,3
PIO_147_2_WK_1,17:23:00,17:23:00,P_SS_TEATRO,4
PIO_147_2_WK_1,17:30:00,17:30:00,P_SS_PLANALTO,5
PIO_147_2_WK_1,17:36:00,17:36:00,P_SS_CCBB,6
PIO_147_2_WK_1,17:42:00,17:42:00,P_SS_PONTEJK,7
PIO_147_2_WK_1,17:52:00,17:52:00,P_SS_JBOT_SOLAR,8
PIO_147_2_WK_1,18:02:00,18:02:00,P_SS_JBOT_III,9
PIO_147_2_WK_1,18:14:00,18:14:00,P_SS_ADMIN,10
PIO_147_2_WK_1,18:21:00,18:21:00,P_SS_VILANOVA_REGGAE,11
PIO_147_2_WK_1,18:27:00,18:27:00,P_SS_BOSQUE_CEF,12
PIO_147_2_WK_1,18:33:00,18:33:00,P_SS_BELAVISTA310,13
PIO_147_2_WK_1,18:40:00,18:40:00,P_TERM_SSEB,14
PIO_147_2_WE_0,08:00:00,08:00:00,P_TERM_SSEB,1
PIO_147_2_WE_0,08:12:00,08:12:00,P_SS_BOSQUE_CEF,2
PIO_147_2_WE_0,08:18:00,08:18:00,P_SS_VILANOVA_REGGAE,3
PIO_147_2_WE_0,08:25:00,08:25:00,P_SS_ADMIN,4
PIO_147_2_WE_0,08:37:00,08:37:00,P_SS_JBOT_III,5
PIO_147_2_WE_0,08:52:00,08:52:00,P_SS_PONTEJK,6
PIO_147_2_WE_0,09:04:00,09:04:00,P_SS_PLANALTO,7
PIO_147_2_WE_0,09:16:00,09:16:00,P_SS_PATIOBRASIL,8
PIO_147_2_WE_0,09:23:00,09:23:00,P_SS_PAODEACUCAR,9
PIO_147_2_WE_0,09:30:00,09:30:00,P_TERM_ASASUL,10
PIO_2205_WK_0,05:15:00,05:15:00,P_TERM_GAMA,1
PIO_2205_WK_0,05:22:00,05:22:00,P_G_PERIQUITO,2
PIO_2205_WK_0,05:29:00,05:29:00,P_G_CAUB1,3
PIO_2205_WK_0,05:36:00,05:36:00,P_G_CATETINHO,4
PIO_2205_WK_0,05:43:00,05:43:00,P_G_GRANJAIPE,5
PIO_2205_WK_0,05:50:00,05:50:00,P_G_VARGEMBONITA,6
PIO_2205_WK_0,05:57:00,05:57:00,P_G_PARKWAY,7
PIO_2205_WK_0,06:07:00,06:07:00,P_G_W3_315,8
PIO_2205_WK_0,06:14:00,06:14:00,P_G_W3_311,9
PIO_2205_WK_0,06:25:00,06:25:00,P_G_PATIOBRASIL,10
PIO_2205_WK_1,18:00:00,18:00:00,P_G_PATIOBRASIL,1
PIO_2205_WK_1,18:11:00,18:11:00,P_G_W3_311,2
PIO_2205_WK_1,18:18:00,18:18:00,P_G_W3_315,3
PIO_2205_WK_1,18:28:00,18:28:00,P_G_PARKWAY,4
PIO_2205_WK_1,18:35:00,18:35:00,P_G_VARGEMBONITA,5
PIO_2205_WK_1,18:42:00,18:42:00,P_G_GRANJAIPE,6
PIO_2205_WK_1,18:49:00,18:49:00,P_G_CATETINHO,7
PIO_2205_WK_1,18:56:00,18:56:00,P_G_CAUB1,8
PIO_2205_WK_1,19:03:00,19:03:00,P_G_PERIQUITO,9
PIO_2205_WK_1,19:10:00,19:10:00,P_TERM_GAMA,10
PIO_2205_WE_0,05:30:00,05:30:00,P_TERM_GAMA,1
PIO_2205_WE_0,05:44:00,05:44:00,P_G_CAUB1,2
PIO_2205_WE_0,05:58:00,05:58:00,P_G_GRANJAIPE,3
PIO_2205_WE_0,06:12:00,06:12:00,P_G_PARKWAY,4
PIO_2205_WE_0,06:26:00,06:26:00,P_G_W3_311,5
PIO_2205_WE_0,06:40:00,06:40:00,P_G_PATIOBRASIL,6
PIO_0030_WK_0,05:40:00,05:40:00,P_AN_TERM_PROV,1
PIO_0030_WK_0,05:52:00,05:52:00,P_AN_W3N_508,2
PIO_0030_WK_0,06:04:00,06:04:00,P_AN_OLHOSDAGUA,3
PIO_0030_WK_0,06:22:00,06:22:00,P_AN_W3S_508,4
PIO_0030_WK_0,06:40:00,06:40:00,P_AN_AEROPORTO,5
PIO_0030_WK_0,06:58:00,06:58:00,P_AN_W3S_508,6
PIO_0030_WK_0,07:10:00,07:10:00,P_AN_TERM_PROV,7
