trip_id,arrival_time,departure_time,stop_id,stop_sequence
600_out_wd,07:10:00,07:10:00,INDAIATUBA_ROD,1
600_out_wd,07:59:00,07:59:00,TMMT,2
600_in_wd,07:40:00,07:40:00,TMMT,1
600_in_wd,08:29:00,08:29:00,INDAIATUBA_ROD,2
604_out_wd,06:00:00,06:00:00,PAULINIA_ROD,1
604_out_wd,06:08:00,06:08:00,PAULINIA_CTR,2
604_out_wd,06:35:00,06:35:00,PARQUEDPEDRO,3
604_out_wd,06:55:00,06:55:00,TMMT,4
604_in_wd,17:00:00,17:00:00,TMMT,1
604_in_wd,17:20:00,17:20:00,PARQUEDPEDRO,2
604_in_wd,17:47:00,17:47:00,PAULINIA_CTR,3
604_in_wd,17:55:00,17:55:00,PAULINIA_ROD,4
606_out_wd,06:25:00,06:25:00,COSMOPOLIS_ROD,1
606_out_wd,06:50:00,06:50:00,PAULINIA_CTR,2
606_out_wd,07:33:00,07:33:00,TMMT,3
606_in_wd,17:30:00,17:30:00,TMMT,1
606_in_wd,18:13:00,18:13:00,PAULINIA_CTR,2
606_in_wd,18:38:00,18:38:00,COSMOPOLIS_ROD,3
642_out_wd,07:00:00,07:00:00,AMERICANA_ROD,1
642_out_wd,07:20:00,07:20:00,NOVAODESSA,2
642_out_wd,07:45:00,07:45:00,SUMARE,3
642_out_wd,08:30:00,08:30:00,UNICAMP,4
642_in_wd,17:30:00,17:30:00,UNICAMP,1
642_in_wd,18:10:00,18:10:00,SUMARE,2
642_in_wd,18:35:00,18:35:00,NOVAODESSA,3
642_in_wd,18:55:00,18:55:00,AMERICANA_ROD,4
