trip_id,arrival_time,departure_time,stop_id,stop_sequence
001_0_0,05:00:00,05:00:00,T_LESTE,1
001_0_0,05:04:00,05:04:00,CENTRO,2
001_0_0,05:08:00,05:08:00,T_OESTE,3
001_1_0,05:00:00,05:00:00,T_OESTE,1
001_1_0,05:04:00,05:04:00,CENTRO,2
001_1_0,05:08:00,05:08:00,T_LESTE,3
003_0_0,05:00:00,05:00:00,T_LESTE,1
003_0_0,05:04:00,05:04:00,B_UPA2,2
003_0_0,05:08:00,05:08:00,T_NORDESTE,3
003_1_0,05:00:00,05:00:00,T_NORDESTE,1
003_1_0,05:04:00,05:04:00,B_UPA2,2
003_1_0,05:08:00,05:08:00,T_LESTE,3
004_0_0,05:00:00,05:00:00,T_LESTE,1
004_0_0,05:04:00,05:04:00,B_SAOCRIST,2
004_0_0,05:08:00,05:08:00,T_NORDESTE,3
004_1_0,05:00:00,05:00:00,T_NORDESTE,1
004_1_0,05:04:00,05:04:00,B_SAOCRIST,2
004_1_0,05:08:00,05:08:00,T_LESTE,3
005_0_0,05:00:00,05:00:00,T_NORDESTE,1
005_0_0,05:04:00,05:04:00,CENTRO,2
005_0_0,05:08:00,05:08:00,T_OESTE,3
005_1_0,05:00:00,05:00:00,T_OESTE,1
005_1_0,05:04:00,05:04:00,CENTRO,2
005_1_0,05:08:00,05:08:00,T_NORDESTE,3
007_0_0,05:00:00,05:00:00,T_NORDESTE,1
007_0_0,05:04:00,05:04:00,CENTRO,2
007_0_0,05:08:00,05:08:00,T_SUDOESTE,3
007_1_0,05:00:00,05:00:00,T_SUDOESTE,1
007_1_0,05:04:00,05:04:00,CENTRO,2
007_1_0,05:08:00,05:08:00,T_NORDESTE,3
030_0_0,05:00:00,05:00:00,T_LESTE,1
030_0_0,05:04:00,05:04:00,B_SAOJOAO,2
030_0_0,05:08:00,05:08:00,CENTRO,3
030_1_0,05:00:00,05:00:00,CENTRO,1
030_1_0,05:04:00,05:04:00,B_SAOJOAO,2
030_1_0,05:08:00,05:08:00,T_LESTE,3
040_0_0,05:00:00,05:00:00,T_LESTE,1
040_0_0,05:04:00,05:04:00,B_CATARATAS,2
040_0_0,05:08:00,05:08:00,CENTRO,3
040_1_0,05:00:00,05:00:00,CENTRO,1
040_1_0,05:04:00,05:04:00,B_CATARATAS,2
040_1_0,05:08:00,05:08:00,T_LESTE,3
050_0_0,05:00:00,05:00:00,T_NORDESTE,1
050_0_0,05:04:00,05:04:00,B_LAGOAZUL,2
050_0_0,05:08:00,05:08:00,CENTRO,3
050_1_0,05:00:00,05:00:00,CENTRO,1
050_1_0,05:04:00,05:04:00,B_LAGOAZUL,2
050_1_0,05:08:00,05:08:00,T_NORDESTE,3
051_0_0,05:00:00,05:00:00,T_OESTE,1
051_0_0,05:04:00,05:04:00,B_CORBELIA,2
051_0_0,05:08:00,05:08:00,CENTRO,3
051_1_0,05:00:00,05:00:00,CENTRO,1
051_1_0,05:04:00,05:04:00,B_CORBELIA,2
051_1_0,05:08:00,05:08:00,T_OESTE,3
060_0_0,05:00:00,05:00:00,T_SUDOESTE,1
060_0_0,05:04:00,05:04:00,B_MORUMBI,2
060_0_0,05:08:00,05:08:00,CENTRO,3
060_1_0,05:00:00,05:00:00,CENTRO,1
060_1_0,05:04:00,05:04:00,B_MORUMBI,2
060_1_0,05:08:00,05:08:00,T_SUDOESTE,3
070_0_0,05:00:00,05:00:00,T_OESTE,1
070_0_0,05:04:00,05:04:00,B_SAOFRAN,2
070_0_0,05:08:00,05:08:00,CENTRO,3
070_1_0,05:00:00,05:00:00,CENTRO,1
070_1_0,05:04:00,05:04:00,B_SAOFRAN,2
070_1_0,05:08:00,05:08:00,T_OESTE,3
080_0_0,05:00:00,05:00:00,T_OESTE,1
080_0_0,05:04:00,05:04:00,B_BELAVISTA,2
080_0_0,05:08:00,05:08:00,CENTRO,3
080_1_0,05:00:00,05:00:00,CENTRO,1
080_1_0,05:04:00,05:04:00,B_BELAVISTA,2
080_1_0,05:08:00,05:08:00,T_OESTE,3
090_0_0,05:00:00,05:00:00,T_NORDESTE,1
090_0_0,05:04:00,05:04:00,B_FLORESTA,2
090_0_0,05:08:00,05:08:00,CENTRO,3
090_1_0,05:00:00,05:00:00,CENTRO,1
090_1_0,05:04:00,05:04:00,B_FLORESTA,2
090_1_0,05:08:00,05:08:00,T_NORDESTE,3
091_0_0,05:00:00,05:00:00,T_NORDESTE,1
091_0_0,05:04:00,05:04:00,B_COLONIAL,2
091_0_0,05:08:00,05:08:00,CENTRO,3
091_1_0,05:00:00,05:00:00,CENTRO,1
091_1_0,05:04:00,05:04:00,B_COLONIAL,2
091_1_0,05:08:00,05:08:00,T_NORDESTE,3
094_0_0,05:00:00,05:00:00,T_NORDESTE,1
094_0_0,05:04:00,05:04:00,B_RIVIERA,2
094_0_0,05:08:00,05:08:00,CENTRO,3
094_1_0,05:00:00,05:00:00,CENTRO,1
094_1_0,05:04:00,05:04:00,B_RIVIERA,2
094_1_0,05:08:00,05:08:00,T_NORDESTE,3
105_0_0,05:00:00,05:00:00,T_NORDESTE,1
105_0_0,05:04:00,05:04:00,B_MELISSA,2
105_0_0,05:08:00,05:08:00,CENTRO,3
105_1_0,05:00:00,05:00:00,CENTRO,1
105_1_0,05:04:00,05:04:00,B_MELISSA,2
105_1_0,05:08:00,05:08:00,T_NORDESTE,3
110_0_0,05:00:00,05:00:00,T_NORDESTE,1
110_0_0,05:04:00,05:04:00,B_INTERLAGOS,2
110_0_0,05:08:00,05:08:00,CENTRO,3
110_1_0,05:00:00,05:00:00,CENTRO,1
110_1_0,05:04:00,05:04:00,B_INTERLAGOS,2
110_1_0,05:08:00,05:08:00,T_NORDESTE,3
120_0_0,05:00:00,05:00:00,T_NORDESTE,1
