trip_id,arrival_time,departure_time,stop_id,stop_sequence
008_WD_0_000,04:55:00,04:55:00,T_LESTE,1
008_WD_0_000,05:13:00,05:13:00,T_SUDOESTE,2
008_WD_1_000,05:20:00,05:20:00,T_SUDOESTE,1
008_WD_1_000,05:38:00,05:38:00,T_LESTE,2
009_WD_0_000,05:12:00,05:12:00,T_OESTE,1
009_WD_0_000,05:30:00,05:30:00,T_SUDOESTE,2
009_WD_1_000,05:12:00,05:12:00,T_SUDOESTE,1
009_WD_1_000,05:30:00,05:30:00,T_OESTE,2
190_WD_0_000,06:00:00,06:00:00,T_LESTE,1
190_WD_0_000,06:18:00,06:18:00,T_OESTE,2
190_WD_1_000,06:30:00,06:30:00,T_OESTE,1
190_WD_1_000,06:48:00,06:48:00,T_LESTE,2
255_WD_0_000,05:55:00,05:55:00,T_SUL,1
255_WD_0_000,06:13:00,06:13:00,T_OESTE,2
255_WD_1_000,06:20:00,06:20:00,T_OESTE,1
255_WD_1_000,06:38:00,06:38:00,T_SUL,2
267_WD_0_000,05:30:00,05:30:00,T_SUL,1
267_WD_0_000,05:48:00,05:48:00,T_SUDOESTE,2
267_WD_1_000,05:05:00,05:05:00,T_SUDOESTE,1
267_WD_1_000,05:23:00,05:23:00,T_SUL,2
295_WD_0_000,05:25:00,05:25:00,T_SUL,1
295_WD_0_000,05:43:00,05:43:00,T_OESTE,2
295_WD_1_000,05:45:00,05:45:00,T_OESTE,1
295_WD_1_000,06:03:00,06:03:00,T_SUL,2
305_WD_0_000,05:40:00,05:40:00,T_SUL,1
305_WD_0_000,05:58:00,05:58:00,T_LESTE,2
305_WD_1_000,06:00:00,06:00:00,T_LESTE,1
305_WD_1_000,06:18:00,06:18:00,T_SUL,2
360_WD_0_000,05:32:00,05:32:00,T_SUL,1
360_WD_0_000,05:50:00,05:50:00,ESTACAO,2
360_WD_1_000,05:32:00,05:32:00,ESTACAO,1
360_WD_1_000,05:50:00,05:50:00,T_SUL,2
