route_id,service_id,trip_id,trip_headsign
008,WD,008_WD_0_000,Terminal Urbano Sudoeste (Detran)
008,WD,008_WD_1_000,Terminal Urbano Leste (Gramado)
009,WD,009_WD_0_000,Terminal Urbano Sudoeste (Detran)
009,WD,009_WD_1_000,Terminal Urbano Oeste (Rodoviaria)
190,WD,190_WD_0_000,Terminal Urbano Oeste (Rodoviaria)
190,WD,190_WD_1_000,Terminal Urbano Leste (Gramado)
255,WD,255_WD_0_000,Terminal Urbano Oeste (Rodoviaria)
255,WD,255_WD_1_000,Terminal Urbano Sul (Unioeste)
267,WD,267_WD_0_000,Terminal Urbano Sudoeste (Detran)
267,WD,267_WD_1_000,Terminal Urbano Sul (Unioeste)
295,WD,295_WD_0_000,Terminal Urbano Oeste (Rodoviaria)
295,WD,295_WD_1_000,Terminal Urbano Sul (Unioeste)
305,WD,305_WD_0_000,Terminal Urbano Leste (Gramado)
305,WD,305_WD_1_000,Terminal Urbano Sul (Unioeste)
360,WD,360_WD_0_000,Estacao Central (Catedral)
360,WD,360_WD_1_000,Terminal Urbano Sul (Unioeste)
008,SAT,008_SAT_0_000,Terminal Urbano Sudoeste (Detran)
008,SUN,008_SUN_0_000,Terminal Urbano Sudoeste (Detran)
360,SAT,360_SAT_0_000,Estacao Central (Catedral)
360,SUN,360_SUN_0_000,Estacao Central (Catedral)
