route_id,service_id,trip_id,trip_headsign
101,WEEKDAY,101_wd_out,Terminal Próspera via Centenário
101,WEEKDAY,101_wd_ret,Terminal Pinheirinho via Centenário
101,SUNDAY,101_su_out,Terminal Próspera via Centenário
213,WEEKDAY,213_wd_out,São João / Primeira Linha
213,WEEKDAY,213_wd_ret,Terminal Central
213,SATURDAY,213_sa_out,São João / Primeira Linha
301,WEEKDAY,301_wd_out,Mãe Luzia / São Defende
301,WEEKDAY,301_wd_ret,Terminal Pinheirinho
400,WEEKDAY,400_wd_out,Linha Anta
400,WEEKDAY,400_wd_ret,Terminal Próspera
400,SATURDAY,400_sa_out,Linha Anta
801,WEEKDAY,801_wd_out,Terminal Próspera (Expresso)
801,WEEKDAY,801_wd_ret,Terminal Central (Expresso)
