route_id,service_id,trip_id,trip_headsign
185,WEEKDAY,185_CRI_TRE_0500,Treviso
185,WEEKDAY,185_CRI_TRE_0650,Treviso
185,WEEKDAY,185_CRI_TRE_1130,Treviso
185,WEEKDAY,185_CRI_TRE_1620,Treviso
185,WEEKDAY,185_CRI_TRE_1930,Treviso
185,WEEKDAY,185_TRE_CRI_0545,Criciúma (Rodoviária)
185,WEEKDAY,185_TRE_CRI_0750,Criciúma (Rodoviária)
185,WEEKDAY,185_TRE_CRI_1230,Criciúma (Rodoviária)
185,WEEKDAY,185_TRE_CRI_1720,Criciúma (Rodoviária)
185,WEEKDAY,185_TRE_CRI_2020,Criciúma (Rodoviária)
188,WEEKDAY,188_CRI_FIO_0500,Estação Fiorita (Siderópolis)
188,WEEKDAY,188_CRI_FIO_0630,Estação Fiorita (Siderópolis)
188,WEEKDAY,188_CRI_FIO_1130,Estação Fiorita (Siderópolis)
188,WEEKDAY,188_CRI_FIO_1620,Estação Fiorita (Siderópolis)
188,WEEKDAY,188_CRI_FIO_1730,Estação Fiorita (Siderópolis)
188,WEEKDAY,188_CRI_FIO_1830,Estação Fiorita (Siderópolis)
188,WEEKDAY,188_CRI_FIO_1930,Estação Fiorita (Siderópolis)
188,MONSAT,188_SID_CRI_0715,Criciúma (Rodoviária)
188,MONSAT,188_SID_CRI_1400,Criciúma (Rodoviária)
