stop_id,stop_name,stop_lat,stop_lon
s_estacao_alencastro,Estação Alencastro,-15.59742,-56.09605
s_avenida_getulio_vargas_654_sicredi,"Avenida Getúlio Vargas, 654 | Sicredi",-15.598218,-56.096418
s_liceu_cuiabano,Liceu Cuiabano,-15.599016,-56.096786
s_avenida_isaac_povoas_cebrac,Avenida Isaac Póvoas | Cebrac,-15.599814,-56.097154
s_claro,Claro,-15.600612,-56.097522
s_estacao_bispo_modulo_ii,Estação Bispo - Modulo II,-15.60141,-56.09789
s_morro_da_luz,Morro Da Luz,-15.602645,-56.095173
s_avenida_coronel_escolastico_378_restaura,"Avenida Coronel Escolástico, 378 | Restaurante Pampas",-15.603881,-56.092455
s_igreja_sao_judas_tadeu,Igreja São Judas Tadeu,-15.605116,-56.089738
s_escola_estadual_prof_a_joaquina_cerqueir,Escola Estadual Prof.ª Joaquina Cerqueira Caldas,-15.606352,-56.087021
s_av_fernando_correa_uniasselvi_pocao,Av. Fernando Corrêa | Uniasselvi Poção,-15.607587,-56.084304
s_avenida_fernando_correa_da_costa_592_hyu,Avenida Fernando Corrêa Da Costa 592 | Hyundai Saga,-15.608823,-56.081586
s_av_fernando_correa_856_frigelar,"Av. Fernando Corrêa, 856 | Frigelar",-15.610058,-56.078869
s_passarela_da_fernando_correa,Passarela Da Fernando Corrêa,-15.611294,-56.076152
s_av_fernando_correa_audi_center_cuiaba,Av. Fernando Corrêa | Audi Center Cuiabá,-15.612529,-56.073435
s_bluefit_fernando_correa,Bluefit | Fernando Corrêa,-15.613765,-56.070717
s_supermercado_comper_coxipo,Supermercado Comper | Coxipó,-15.615,-56.068
s_escola_estadual_souza_bandeira,Escola Estadual Souza Bandeira,-15.615333,-56.069667
s_escola_estadual_raimundo_pinheiro,Escola Estadual Raimundo Pinheiro,-15.615667,-56.071333
s_praca_coxipo,Praça Coxipó,-15.616,-56.073
s_antiga_grafite_coxipo,Antiga Grafite Coxipó,-15.61825,-56.069625
s_fort_atacadista_coxipo,Fort Atacadista Coxipó,-15.6205,-56.06625
s_daniel_pecas,Daniel Peças,-15.62275,-56.062875
s_av_fernando_correa_sementes_fertil,Av. Fernando Corrêa | Sementes Fértil,-15.625,-56.0595
s_av_fernando_correa_havan_cuiaba_ii,Av. Fernando Corrêa | Havan Cuiabá II,-15.62725,-56.056125
s_av_fernando_correa_todimo,Av. Fernando Corrêa | Todimo,-15.6295,-56.05275
s_av_fernando_correa_beira_rio_materiais,Av. Fernando Corrêa | Beira Rio Materiais,-15.63175,-56.049375
s_atacadao_tijucal,Atacadão Tijucal,-15.634,-56.046
s_avenida_fernando_correa_da_costa_3355,Avenida Fernando Corrêa Da Costa 3355,-15.6365,-56.033
s_avenida_ayrton_senna_br_364_ponto_1,Avenida Ayrton Senna (Br-364) | Ponto 1,-15.639,-56.02
s_avenida_ayrton_senna_br_364_ponto_2,Avenida Ayrton Senna (Br-364) | Ponto 2,-15.638375,-56.015625
s_avenida_ayrton_senna_br_364_molas_sao_pa,Avenida Ayrton Senna (Br-364) | Molas São Paulo,-15.63775,-56.01125
s_br_163_510_bom_futuro_transportes,Br-163 510 | Bom Futuro Transportes,-15.637125,-56.006875
s_senai_distrito_industrial,Senai | Distrito Industrial,-15.6365,-56.0025
s_avenida_a_sindmat,Avenida A | Sindmat,-15.635875,-55.998125
s_avenida_a_guerra_caramori,Avenida A | Guerra Caramori,-15.63525,-55.99375
s_centro_comercial_taruma,Centro Comercial Tarumã,-15.634625,-55.989375
s_avenida_30_291,"Avenida 30, 291",-15.634,-55.985
s_avenida_30_super_moda,Avenida 30 | Super Moda,-15.633571,-55.982143
s_avenida_30_centro_comercial,Avenida 30 | Centro Comercial,-15.633143,-55.979286
s_avenida_30_141,"Avenida 30, 141",-15.632714,-55.976429
s_pop_shopping,Pop Shopping,-15.632286,-55.973571
s_comercial_das_figueiras,Comercial Das Figueiras,-15.631857,-55.970714
s_rua_b_256_394,"Rua B, 256-394",-15.631429,-55.967857
s_av_tatsumi_koga_bom_jesus_supermercado,Av. Tatsumi Koga | Bom Jesus Supermercado,-15.631,-55.965
s_av_tatsumi_koga_2124,"Av. Tatsumi Koga, 2124",-15.630875,-55.964
s_av_tatsumi_koga_2336,"Av. Tatsumi Koga, 2336",-15.63075,-55.963
s_av_tatsumi_koga_lopes_madeiras,Av. Tatsumi Koga | Lopes Madeiras,-15.630625,-55.962
s_avenida_a_99_27,"Avenida A, 99-27",-15.6305,-55.961
s_avenida_a_bosh_car_service,Avenida A | Bosh Car Service,-15.630375,-55.96
s_av_perimetral_dois_2_144,"Av. Perimetral Dois, 2-144",-15.63025,-55.959
s_usf_pedra_90_i_e_ii,Usf Pedra 90 I E II,-15.630125,-55.958
s_av_newton_rabello_de_castro_250_302,"Av. Newton Rabello De Castro, 250-302",-15.63,-55.957
s_praca_do_caic_pedra_90,Praça Do Caic - Pedra 90,-15.63027,-55.956317
s_av_newton_rabello_de_castro_assembleia_d,Av. Newton Rabello De Castro | Assembleia De Deus,-15.63054,-55.955633
s_av_newton_rabello_de_castro_1027_983,"Av. Newton Rabello De Castro, 1027-983",-15.63081,-55.95495
s_av_newton_rabello_de_castro_1231_1177,"Av. Newton Rabello De Castro, 1231-1177",-15.63108,-55.954267
s_av_newton_rabello_de_castro_1527_1479,"Av. Newton Rabello De Castro, 1527-1479",-15.63135,-55.953583
s_av_newton_rabello_de_castro_1822_1876,"Av. Newton Rabello De Castro, 1822-1876",-15.63162,-55.9529
s_rua_cinquenta_43_1,"Rua Cinquenta, 43-1",-15.63189,-55.952217
s_rua_jandaia_541_491,"Rua Jandaia, 541-491",-15.63216,-55.951533
s_terminal_pedra_90,Terminal Pedra 90,-15.63243,-55.95085
s_av_newton_rabello_de_castro_793_745,"Av. Newton Rabello De Castro, 793-745",-15.630304,-55.956231
s_av_tatsumi_koga_2141,"Av. Tatsumi Koga, 2141",-15.632,-55.971667
s_rua_b_mercado_esperanca,Rua B | Mercado Esperança,-15.6335,-55.981667
s_rua_30_305,"Rua 30, 305",-15.6356,-55.9954
s_penitenciaria_central_de_mato_grosso,Penitenciária Central De Mato Grosso,-15.636,-55.998
s_avenida_ayrton_senna_br_364_senai_distri,Avenida Ayrton Senna (Br-364) | Senai - Distrito Industrial,-15.639,-56.02
s_avenida_ayrton_senna_br_364_ct_melina,Avenida Ayrton Senna (Br-364) | Ct Melina,-15.638375,-56.02325
s_br_364_168_cuiaba_esporte_clube,"Br-364, 168 | Cuiabá Esporte Clube",-15.63775,-56.0265
s_br_163_209_mar_azul_combustiveis,"Br-163, 209 | Mar Azul Combustíveis",-15.637125,-56.02975
s_avenida_ayrton_senna_br_364_ponto_5,Avenida Ayrton Senna (Br-364) | Ponto 5,-15.635875,-56.03625
s_residencial_morada_do_faval,Residencial Morada Do Faval,-15.63525,-56.0395
s_avenida_fernando_correa_da_costa_8501_li,"Avenida Fernando Corrêa Da Costa, 8501 | Limpurb",-15.634625,-56.04275
