route_id,service_id,trip_id,trip_headsign
106,DAILY,106_ida,Estação Ipiranga
106,DAILY,106_volta,Cidade Verde
103,DAILY,103_ida,Jardim Imperial
103,DAILY,103_volta,Cidade Verde
101,DAILY,101_ida,Estação Ipiranga
101,DAILY,101_volta,Coophamil
105,DAILY,105_ida,Estação Alencastro
105,DAILY,105_volta,Terminal Antártica
206,DAILY,206_ida,Estação Bispo Dom José
206,DAILY,206_volta,Terminal CPA 1
301,DAILY,301_ida,Estação Ipiranga
301,DAILY,301_volta,Jardim Vitória
306,DAILY,306_ida,Grande Terceiro
306,DAILY,306_volta,Terminal CPA 3
308,DAILY,308_ida,Terminal Antártica
308,DAILY,308_volta,Terminal CPA 3
309B,WEEKDAY,309B_ida,Estação Bispo Dom José
309B,WEEKDAY,309B_volta,Terminal CPA 3
311,DAILY,311_ida,Estação Ipiranga
311,DAILY,311_volta,Terminal CPA 3
330,DAILY,330_ida,UFMT
330,DAILY,330_volta,Terminal CPA 1
340,DAILY,340_ida,Estação Alencastro
340,DAILY,340_volta,Altos da Glória
380,DAILY,380_ida,Shopping Estação
380,DAILY,380_volta,Terminal CPA 1
503,DAILY,503_ida,Terminal Rodoviário
503,DAILY,503_volta,Osmar Cabral
507,DAILY,507_ida,Estação Bispo Dom José
507,DAILY,507_volta,Tijucal
508,DAILY,508_ida,Estação Bispo Dom José
508,DAILY,508_volta,Osmar Cabral
522,DAILY,522_ida,Terminal CPA 3
522,DAILY,522_volta,São Sebastião
609,DAILY,609_ida,Estação Alencastro
609,DAILY,609_volta,Parque Cuiabá
711,DAILY,711_ida,Estação Alencastro
711,DAILY,711_volta,Pedra 90
721,DAILY,721_ida,Shopping Pantanal
721,DAILY,721_volta,Pedra 90
