route_id,route_short_name,route_long_name,route_type
TRC_01,01,Halim Souki / Bom Pastor,3
TRC_02,02,Danilo Passos / Bela Vista (via Niteroi),3
TRC_02A,02A,Danilo Passos / Bela Vista (via Rodoviaria),3
TRC_03,03,N. Sra. de Lourdes / Padre Herculano,3
TRC_04,04,Padre Eustaquio / Casa Nova,3
TRC_07,07,Davanuze / Nova Fortaleza,3
TRC_08,08,Jardim Candelaria / Costa Azul,3
TRC_09,09,Campina Verde / Sao Luiz,3
TRC_10,10,Padre Eustaquio / J. A. Goncalves,3
TRC_11,11,Tiete / Vila das Roseiras,3
TRC_12,12,Itai / Conjunto Nilda Barros (via Niteroi),3
TRC_12A,12A,Itai / Conjunto Nilda Barros (via Rodoviaria),3
TRC_13,13,Vila Romana / Belvedere,3
TRC_14,14,Candelaria / Jusa Fonseca,3
TRC_15,15,Paraiso / Sao Roque,3
TRC_16,16,Maria Helena / Sao Sebastiao (via Unifenas),3
TRC_17,17,Serra Verde / Elizabeth Nogueira,3
TRC_19,19,Serra Verde / Cacoco (via UFSJ / Jardinopolis),3
TRC_20,20,Belo Vale / Costa Azul,3
TRC_21,21,Danilo Passos / Eustaquio (via Niteroi),3
TRC_21A,21A,Danilo Passos / Padre Eustaquio (via Rodoviaria),3
TRC_22,22,Halim Souki / Tiete,3
TRC_23,23,Danilo Passos / Cacoco (via Niteroi / UFSJ),3
TRC_24,24,Conj. Nilda Barros / Jusa Fonseca,3
TRC_25,25,Vila Romana / Santo Andre (via Niteroi),3
TRC_25A,25A,Vila Romana / Santo Andre (via Rodoviaria),3
TRC_26,26,Vila das Roseiras / Santa Marta,3
TRC_27,27,Sao Luiz / Padre Eustaquio,3
TRC_28,28,Rinaldo Campos / Ferrador,3
TRC_31,31,Copacabana / Maria Helena (via UFSJ),3
TRC_32,32,Copacabana / Elizabeth Nogueira,3
TRC_32A,32A,Copacabana / Fonte Boa (via Rodoviaria),3
