route_id,service_id,trip_id,trip_headsign
L01,wk,L01_wk_o_0,Joquei Clube
L01,wk,L01_wk_i_0,Terminal Central
L01,sat,L01_sat_o_0,Joquei Clube
L01,sat,L01_sat_i_0,Terminal Central
L01,sun,L01_sun_o_0,Joquei Clube
L01,sun,L01_sun_i_0,Terminal Central
L02,wk,L02_wk_o_0,Santa Maria
L02,wk,L02_wk_i_0,Terminal Central
L02,sat,L02_sat_o_0,Santa Maria
L02,sat,L02_sat_i_0,Terminal Central
L02,sun,L02_sun_o_0,Santa Maria
L02,sun,L02_sun_i_0,Terminal Central
L03,wk,L03_wk_o_0,Braswey
L03,wk,L03_wk_i_0,Terminal Central
L03,sat,L03_sat_o_0,Braswey
L03,sat,L03_sat_i_0,Terminal Central
L03,sun,L03_sun_o_0,Braswey
L03,sun,L03_sun_i_0,Terminal Central
L05,wk,L05_wk_o_0,Jardim Guaicurus
L05,wk,L05_wk_i_0,Terminal Central
L05,sat,L05_sat_o_0,Jardim Guaicurus
L05,sat,L05_sat_i_0,Terminal Central
L05,sun,L05_sun_o_0,Jardim Guaicurus
L05,sun,L05_sun_i_0,Terminal Central
L06,wk,L06_wk_o_0,Distrito Industrial
L06,wk,L06_wk_i_0,Terminal Central
L06,sat,L06_sat_o_0,Distrito Industrial
L06,sat,L06_sat_i_0,Terminal Central
L06,sun,L06_sun_o_0,Distrito Industrial
L06,sun,L06_sun_i_0,Terminal Central
L07,wk,L07_wk_o_0,Cachoeirinha / Jd. Italia
L07,wk,L07_wk_i_0,Terminal Central
L07,sat,L07_sat_o_0,Cachoeirinha / Jd. Italia
L07,sat,L07_sat_i_0,Terminal Central
L07,sun,L07_sun_o_0,Cachoeirinha / Jd. Italia
L07,sun,L07_sun_i_0,Terminal Central
L09,wk,L09_wk_o_0,Florida I / HU
L09,wk,L09_wk_i_0,Terminal Central
L09,sat,L09_sat_o_0,Florida I / HU
L09,sat,L09_sat_i_0,Terminal Central
L09,sun,L09_sun_o_0,Florida I / HU
L09,sun,L09_sun_i_0,Terminal Central
L10,wk,L10_wk_o_0,Parque Alvorada
L10,wk,L10_wk_i_0,Terminal Central
L11,wk,L11_wk_o_0,Ayde Piratininga
L11,wk,L11_wk_i_0,Terminal Central
L11,sat,L11_sat_o_0,Ayde Piratininga
L11,sat,L11_sat_i_0,Terminal Central
L11,sun,L11_sun_o_0,Ayde Piratininga
L11,sun,L11_sun_i_0,Terminal Central
L12,wk,L12_wk_o_0,Cidade Universitaria
L12,wk,L12_wk_i_0,Terminal Central
L12,sat,L12_sat_o_0,Cidade Universitaria
L12,sat,L12_sat_i_0,Terminal Central
L13,wk,L13_wk_o_0,Jardim Colibri / Canaa III
L13,wk,L13_wk_i_0,Terminal Central
L13,sat,L13_sat_o_0,Jardim Colibri / Canaa III
L13,sat,L13_sat_i_0,Terminal Central
L13,sun,L13_sun_o_0,Jardim Colibri / Canaa III
L13,sun,L13_sun_i_0,Terminal Central
L14,wk,L14_wk_o_0,4 Plano / Campo Dourado
L14,wk,L14_wk_i_0,Terminal Central
L14,sat,L14_sat_o_0,4 Plano / Campo Dourado
L14,sat,L14_sat_i_0,Terminal Central
L14,sun,L14_sun_o_0,4 Plano / Campo Dourado
L14,sun,L14_sun_i_0,Terminal Central
L15,wk,L15_wk_o_0,Posto da Capela
L15,wk,L15_wk_i_0,Terminal Central
L15,sat,L15_sat_o_0,Posto da Capela
L15,sat,L15_sat_i_0,Terminal Central
L15,sun,L15_sun_o_0,Posto da Capela
L15,sun,L15_sun_i_0,Terminal Central
L17,wk,L17_wk_o_0,Cidade Jardim / Novo Horizonte
L17,wk,L17_wk_i_0,Terminal Central
L18,wk,L18_wk_o_0,Unigran
L18,wk,L18_wk_i_0,Terminal Central
L18,sat,L18_sat_o_0,Unigran
L18,sat,L18_sat_i_0,Terminal Central
L19,wk,L19_wk_o_0,Jaguapiru
L19,wk,L19_wk_i_0,Terminal Central
L19,sat,L19_sat_o_0,Jaguapiru
L19,sat,L19_sat_i_0,Terminal Central
L20,wk,L20_wk_o_0,Estrela Pora / Florida II
L20,wk,L20_wk_i_0,Terminal Central
L20,sat,L20_sat_o_0,Estrela Pora / Florida II
L20,sat,L20_sat_i_0,Terminal Central
L20,sun,L20_sun_o_0,Estrela Pora / Florida II
L20,sun,L20_sun_i_0,Terminal Central
L21,wk,L21_wk_o_0,Campina Verde / Bonanza
L21,wk,L21_wk_i_0,Terminal Central
L21,sat,L21_sat_o_0,Campina Verde / Bonanza
L21,sat,L21_sat_i_0,Terminal Central
L21,sun,L21_sun_o_0,Campina Verde / Bonanza
L21,sun,L21_sun_i_0,Terminal Central
L33,wk,L33_wk_o_0,Sitioca Campo Belo
L33,wk,L33_wk_i_0,Terminal Central
DIS01,wk,DIS01_wk_o_0,Macauba
DIS01,wk,DIS01_wk_i_0,Terminal Central
DIS02,wk,DIS02_wk_o_0,Vila Vargas
DIS02,wk,DIS02_wk_i_0,Terminal Central
DIS04,wk,DIS04_wk_o_0,Itaum
DIS04,wk,DIS04_wk_i_0,Terminal Central
DIS05,wk,DIS05_wk_o_0,Indapolis
DIS05,wk,DIS05_wk_i_0,Terminal Central
DIS05,sat,DIS05_sat_o_0,Indapolis
DIS05,sat,DIS05_sat_i_0,Terminal Central
DIS06,wk,DIS06_wk_o_0,Panambi
DIS06,wk,DIS06_wk_i_0,Terminal Central
