route_id,service_id,trip_id,trip_headsign
BRT1,DAILY,BRT1_OUT_0600,Joao Durval
BRT1,DAILY,BRT1_OUT_1200,Joao Durval
BRT1,DAILY,BRT1_OUT_2000,Joao Durval
BRT1,DAILY,BRT1_IN_0600,Terminal Central
BRT1,DAILY,BRT1_IN_1200,Terminal Central
BRT1,DAILY,BRT1_IN_2000,Terminal Central
BRT2,DAILY,BRT2_OUT_0600,Terminal Ayrton Senna
BRT2,DAILY,BRT2_OUT_1200,Terminal Ayrton Senna
BRT2,DAILY,BRT2_OUT_2000,Terminal Ayrton Senna
BRT2,DAILY,BRT2_IN_0600,Ponto Central
BRT2,DAILY,BRT2_IN_1200,Ponto Central
BRT2,DAILY,BRT2_IN_2000,Ponto Central
