trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_003_0,06:00:00,06:00:00,ST_UEFS,1
T_003_0,06:06:00,06:06:00,ST_TERM_NORTE,2
T_003_0,06:12:00,06:12:00,ST_CENTRO,3
T_003_0,06:18:00,06:18:00,ST_TERM_CENTRAL,4
T_003_1,06:40:00,06:40:00,ST_TERM_CENTRAL,1
T_003_1,06:46:00,06:46:00,ST_CENTRO,2
T_003_1,06:52:00,06:52:00,ST_TERM_NORTE,3
T_003_1,06:58:00,06:58:00,ST_UEFS,4
T_077_0,06:00:00,06:00:00,ST_MANGABEIRA,1
T_077_0,06:06:00,06:06:00,ST_UEFS,2
T_077_0,06:12:00,06:12:00,ST_TERM_NORTE,3
T_077_0,06:18:00,06:18:00,ST_TERM_CENTRAL,4
T_077_1,06:40:00,06:40:00,ST_TERM_CENTRAL,1
T_077_1,06:46:00,06:46:00,ST_TERM_NORTE,2
T_077_1,06:52:00,06:52:00,ST_UEFS,3
T_077_1,06:58:00,06:58:00,ST_MANGABEIRA,4
T_078_0,06:00:00,06:00:00,ST_MANGABEIRA,1
T_078_0,06:06:00,06:06:00,ST_JOAO_PAULO2,2
T_078_0,06:12:00,06:12:00,ST_TERM_NORTE,3
T_078_0,06:18:00,06:18:00,ST_TERM_CENTRAL,4
T_078_1,06:40:00,06:40:00,ST_TERM_CENTRAL,1
T_078_1,06:46:00,06:46:00,ST_TERM_NORTE,2
T_078_1,06:52:00,06:52:00,ST_JOAO_PAULO2,3
T_078_1,06:58:00,06:58:00,ST_MANGABEIRA,4
T_079_0,06:00:00,06:00:00,ST_QUEIMADINHA,1
T_079_0,06:06:00,06:06:00,ST_CIDADE_NOVA,2
T_079_0,06:12:00,06:12:00,ST_TERM_CENTRAL,3
T_079_1,06:40:00,06:40:00,ST_TERM_CENTRAL,1
T_079_1,06:46:00,06:46:00,ST_CIDADE_NOVA,2
T_079_1,06:52:00,06:52:00,ST_QUEIMADINHA,3
T_081_0,06:00:00,06:00:00,ST_MORADA_ARV,1
T_081_0,06:06:00,06:06:00,ST_GETULIO,2
T_081_0,06:12:00,06:12:00,ST_TERM_CENTRAL,3
T_081_1,06:40:00,06:40:00,ST_TERM_CENTRAL,1
T_081_1,06:46:00,06:46:00,ST_GETULIO,2
T_081_1,06:52:00,06:52:00,ST_MORADA_ARV,3
T_082_0,06:00:00,06:00:00,ST_NOVO_HORIZ,1
T_082_0,06:06:00,06:06:00,ST_TERM_NORTE,2
T_082_0,06:12:00,06:12:00,ST_TERM_CENTRAL,3
T_082_1,06:40:00,06:40:00,ST_TERM_CENTRAL,1
T_082_1,06:46:00,06:46:00,ST_TERM_NORTE,2
T_082_1,06:52:00,06:52:00,ST_NOVO_HORIZ,3
T_083_0,06:00:00,06:00:00,ST_PEDRA_FERRADA,1
T_083_0,06:06:00,06:06:00,ST_TERM_NORTE,2
T_083_0,06:12:00,06:12:00,ST_TERM_CENTRAL,3
T_083_1,06:40:00,06:40:00,ST_TERM_CENTRAL,1
T_083_1,06:46:00,06:46:00,ST_TERM_NORTE,2
T_083_1,06:52:00,06:52:00,ST_PEDRA_FERRADA,3
T_084_0,06:00:00,06:00:00,ST_PEDRA_FERRADA,1
T_084_0,06:06:00,06:06:00,ST_NOVO_HORIZ,2
T_084_0,06:12:00,06:12:00,ST_TERM_CENTRAL,3
T_084_1,06:40:00,06:40:00,ST_TERM_CENTRAL,1
T_084_1,06:46:00,06:46:00,ST_NOVO_HORIZ,2
T_084_1,06:52:00,06:52:00,ST_PEDRA_FERRADA,3
T_087_0,06:00:00,06:00:00,ST_UEFS,1
T_087_0,06:06:00,06:06:00,ST_JOAO_PAULO2,2
T_087_0,06:12:00,06:12:00,ST_TERM_NORTE,3
T_087_0,06:18:00,06:18:00,ST_TERM_CENTRAL,4
T_087_1,06:40:00,06:40:00,ST_TERM_CENTRAL,1
T_087_1,06:46:00,06:46:00,ST_TERM_NORTE,2
T_087_1,06:52:00,06:52:00,ST_JOAO_PAULO2,3
T_087_1,06:58:00,06:58:00,ST_UEFS,4
T_088_0,06:00:00,06:00:00,ST_UEFS,1
T_088_0,06:06:00,06:06:00,ST_SOBRADINHO,2
T_088_0,06:12:00,06:12:00,ST_TERM_CENTRAL,3
