trip_id,arrival_time,departure_time,stop_id,stop_sequence
8800_WEEKDAY_0_0,05:50:00,05:50:00,ROD_BIG,1
8800_WEEKDAY_0_0,05:54:00,05:54:00,PRACA_BIG,2
8800_WEEKDAY_0_0,05:58:00,05:58:00,ESTREITO,3
8800_WEEKDAY_0_0,06:02:00,06:02:00,ITAGUACU,4
8800_WEEKDAY_0_0,06:06:00,06:06:00,VIACAT,5
8800_WEEKDAY_0_0,06:10:00,06:10:00,PF_PALHOCA,6
8800_WEEKDAY_0_1,06:30:00,06:30:00,ROD_BIG,1
8800_WEEKDAY_0_1,06:34:00,06:34:00,PRACA_BIG,2
8800_WEEKDAY_0_1,06:38:00,06:38:00,ESTREITO,3
8800_WEEKDAY_0_1,06:42:00,06:42:00,ITAGUACU,4
8800_WEEKDAY_0_1,06:46:00,06:46:00,VIACAT,5
8800_WEEKDAY_0_1,06:50:00,06:50:00,PF_PALHOCA,6
8800_WEEKDAY_0_2,08:00:00,08:00:00,ROD_BIG,1
8800_WEEKDAY_0_2,08:04:00,08:04:00,PRACA_BIG,2
8800_WEEKDAY_0_2,08:08:00,08:08:00,ESTREITO,3
8800_WEEKDAY_0_2,08:12:00,08:12:00,ITAGUACU,4
8800_WEEKDAY_0_2,08:16:00,08:16:00,VIACAT,5
8800_WEEKDAY_0_2,08:20:00,08:20:00,PF_PALHOCA,6
8800_WEEKDAY_0_3,09:00:00,09:00:00,ROD_BIG,1
8800_WEEKDAY_0_3,09:04:00,09:04:00,PRACA_BIG,2
8800_WEEKDAY_0_3,09:08:00,09:08:00,ESTREITO,3
8800_WEEKDAY_0_3,09:12:00,09:12:00,ITAGUACU,4
8800_WEEKDAY_0_3,09:16:00,09:16:00,VIACAT,5
8800_WEEKDAY_0_3,09:20:00,09:20:00,PF_PALHOCA,6
8800_WEEKDAY_0_4,10:10:00,10:10:00,ROD_BIG,1
8800_WEEKDAY_0_4,10:14:00,10:14:00,PRACA_BIG,2
8800_WEEKDAY_0_4,10:18:00,10:18:00,ESTREITO,3
8800_WEEKDAY_0_4,10:22:00,10:22:00,ITAGUACU,4
8800_WEEKDAY_0_4,10:26:00,10:26:00,VIACAT,5
8800_WEEKDAY_0_4,10:30:00,10:30:00,PF_PALHOCA,6
8800_WEEKDAY_0_5,11:50:00,11:50:00,ROD_BIG,1
8800_WEEKDAY_0_5,11:54:00,11:54:00,PRACA_BIG,2
8800_WEEKDAY_0_5,11:58:00,11:58:00,ESTREITO,3
8800_WEEKDAY_0_5,12:02:00,12:02:00,ITAGUACU,4
8800_WEEKDAY_0_5,12:06:00,12:06:00,VIACAT,5
8800_WEEKDAY_0_5,12:10:00,12:10:00,PF_PALHOCA,6
8800_WEEKDAY_0_6,12:40:00,12:40:00,ROD_BIG,1
8800_WEEKDAY_0_6,12:44:00,12:44:00,PRACA_BIG,2
8800_WEEKDAY_0_6,12:48:00,12:48:00,ESTREITO,3
8800_WEEKDAY_0_6,12:52:00,12:52:00,ITAGUACU,4
8800_WEEKDAY_0_6,12:56:00,12:56:00,VIACAT,5
8800_WEEKDAY_0_6,13:00:00,13:00:00,PF_PALHOCA,6
8800_WEEKDAY_0_7,15:00:00,15:00:00,ROD_BIG,1
8800_WEEKDAY_0_7,15:04:00,15:04:00,PRACA_BIG,2
8800_WEEKDAY_0_7,15:08:00,15:08:00,ESTREITO,3
8800_WEEKDAY_0_7,15:12:00,15:12:00,ITAGUACU,4
