route_id,service_id,trip_id,trip_headsign
230,WEEK,230_0_WEEK_0,Hospital Celso Ramos (Centro)
230,WEEK,230_1_WEEK_0,Terminal de Integração de Canasvieiras (TICAN)
230,SAT,230_0_SAT_0,Hospital Celso Ramos (Centro)
230,SAT,230_1_SAT_0,Terminal de Integração de Canasvieiras (TICAN)
230,SUN,230_0_SUN_0,Hospital Celso Ramos (Centro)
230,SUN,230_1_SUN_0,Terminal de Integração de Canasvieiras (TICAN)
231,WEEK,231_0_WEEK_0,Terminal de Integração do Centro (TICEN)
231,WEEK,231_1_WEEK_0,Terminal de Integração de Canasvieiras (TICAN)
231,SAT,231_0_SAT_0,Terminal de Integração do Centro (TICEN)
231,SAT,231_1_SAT_0,Terminal de Integração de Canasvieiras (TICAN)
231,SUN,231_0_SUN_0,Terminal de Integração do Centro (TICEN)
231,SUN,231_1_SUN_0,Terminal de Integração de Canasvieiras (TICAN)
210,WEEK,210_0_WEEK_0,Terminal de Integração do Centro (TICEN)
210,WEEK,210_1_WEEK_0,Terminal de Integração de Canasvieiras (TICAN)
210,SAT,210_0_SAT_0,Terminal de Integração do Centro (TICEN)
210,SAT,210_1_SAT_0,Terminal de Integração de Canasvieiras (TICAN)
210,SUN,210_0_SUN_0,Terminal de Integração do Centro (TICEN)
210,SUN,210_1_SUN_0,Terminal de Integração de Canasvieiras (TICAN)
460,WEEK,460_0_WEEK_0,Terminal de Integração do Centro (TICEN)
460,WEEK,460_1_WEEK_0,Porto da Lagoa (Rua Ernesto Meyer Filho)
460,SAT,460_0_SAT_0,Terminal de Integração do Centro (TICEN)
460,SAT,460_1_SAT_0,Porto da Lagoa (Rua Ernesto Meyer Filho)
460,SUN,460_0_SUN_0,Terminal de Integração do Centro (TICEN)
460,SUN,460_1_SUN_0,Porto da Lagoa (Rua Ernesto Meyer Filho)
