stop_id,stop_name,stop_lat,stop_lon
NS_recanto,Terminal Recanto do Bosque,-16.6065,-49.31763
NS_angelin,Estação Angelin,-16.6115,-49.313
NS_angico,Estação Angico,-16.6165,-49.3085
NS_aroeira,Estação Aroeira,-16.6215,-49.304
NS_babacu,Estação Babaçu,-16.6265,-49.2995
NS_baru,Estação Baru,-16.6315,-49.295
NS_buriti,Estação Buriti,-16.6365,-49.2905
NS_caja,Estação Cajá,-16.6415,-49.286
NS_gabiroba,Estação Gabiroba,-16.6465,-49.2815
NS_inga,Estação Ingá,-16.651,-49.2775
NS_ipe,Estação Ipê,-16.6555,-49.269
NS_haile,Terminal Hailé Pinheiro,-16.658,-49.265
NS_violeiro,Estação Praça do Violeiro,-16.662,-49.2635
NS_jacaranda,Estação Jacarandá,-16.665,-49.2622
NS_jatoba,Estação Jatobá,-16.668,-49.2615
NS_jenipapo,Estação Jenipapo,-16.671,-49.2608
NS_paulogarcia,Terminal Paulo Garcia,-16.66045,-49.26102
NS_mangaba,Estação Mangaba,-16.674,-49.257
NS_murici,Estação Murici,-16.676,-49.2555
NS_pitanga,Estação Pitanga (Praça do Bandeirante),-16.6783,-49.254
NS_civica_tocantins,Estação Cívica Tocantins/Araguaia,-16.6825,-49.256
NS_civica_83,Estação Cívica Rua 83/85,-16.687,-49.2575
NS_rua84,Estação Rua 84,-16.6915,-49.2585
NS_cruzeiro_87,Estação Cruzeiro Rua 87/86,-16.6965,-49.26
NS_pequi,Estação Pequi,-16.701,-49.261
NS_sucupira,Estação Sucupira,-16.706,-49.2615
NS_tamboril,Estação Tamboril,-16.711,-49.262
NS_hugo,Estação HUGO,-16.716,-49.261
NS_isidoria,Terminal Isidória,-16.7205,-49.26
NS_cruzeiro,Terminal Cruzeiro,-16.74582,-49.28174
NS_veigajardim,Terminal Veiga Jardim,-16.78745,-49.27918
EA_pelagio,Terminal Padre Pelágio,-16.6668,-49.31
EA_est_w1,Estação Anhanguera Oeste 1,-16.669,-49.298
EA_dergo,Terminal Dergo,-16.6704,-49.287
EA_est_w2,Estação Anhanguera Oeste 2,-16.672,-49.276
EA_pracaa,Terminal Praça A,-16.6735,-49.265
EA_pitanga,Estação Pitanga / Praça do Bandeirante,-16.6783,-49.254
EA_biblia,Terminal Praça da Bíblia,-16.6715,-49.2346
EA_est_e1,Estação Anhanguera Leste 1,-16.668,-49.215
EA_novomundo,Terminal Novo Mundo,-16.664,-49.195
