trip_id,arrival_time,departure_time,stop_id,stop_sequence
03A_out_wd,05:00:00,05:00:00,S_CIDJARDIM,1
03A_out_wd,05:18:00,05:18:00,S_VMONTES,2
03A_out_wd,05:35:00,05:35:00,S_CENTRO,3
03A_in_wd,05:40:00,05:40:00,S_CENTRO,1
03A_in_wd,05:57:00,05:57:00,S_VMONTES,2
03A_in_wd,06:15:00,06:15:00,S_CIDJARDIM,3
29_out_wd,08:30:00,08:30:00,S_CENTRO,1
29_out_wd,09:05:00,09:05:00,S_PICO,2
29_in_wd,09:15:00,09:15:00,S_PICO,1
29_in_wd,09:50:00,09:50:00,S_CENTRO,2
30_out_wd,06:00:00,06:00:00,S_CENTRO,1
30_out_wd,06:25:00,06:25:00,S_ARTHUR,2
30_in_wd,06:35:00,06:35:00,S_ARTHUR,1
30_in_wd,07:00:00,07:00:00,S_CENTRO,2
3072_out_wd,04:50:00,04:50:00,S_CENTRO,1
3072_out_wd,06:00:00,06:00:00,S_FREI,2
3072_in_wd,05:50:00,05:50:00,S_FREI,1
3072_in_wd,07:00:00,07:00:00,S_CENTRO,2
4001_out_wd,04:30:00,04:30:00,S_CENTRO,1
4001_out_wd,05:23:00,05:23:00,S_BAGUARI,2
4001_in_wd,05:20:00,05:20:00,S_BAGUARI,1
4001_in_wd,06:11:00,06:11:00,S_ARTHUR,2
