route_id,service_id,trip_id,trip_headsign
R010,WK,R010_WK_0,Distrito Industrial
R010,WK,R010_WK_1,Ivoturucaia
R030,WK,R030_WK_0,Vetor Oeste
R030,WK,R030_WK_1,Terminal Central
R310,SAT,R310_SAT_0,Parque Da Cidade
R310,SUN,R310_SUN_0,Parque Da Cidade
R310,SAT,R310_SAT_1,Terminal Vila Arens
R310,SUN,R310_SUN_1,Terminal Vila Arens
R410,WK,R410_WK_0,Universidade Paulista
R410,WK,R410_WK_1,Terminal Vila Arens
R419,WK,R419_WK_0,Instituto Federal
R419,SAT,R419_SAT_0,Instituto Federal
R419,WK,R419_WK_1,Terminal Vila Arens
R419,SAT,R419_SAT_1,Terminal Vila Arens
R420,WK,R420_WK_0,Unianchieta
R420,WK,R420_WK_1,Terminal Central
R425,WK,R425_WK_0,Senac
R425,WK,R425_WK_1,Terminal Central
R430,WK,R430_WK_0,Escola Técnica Vasco Venchiarutti
R430,WK,R430_WK_1,Terminal Central
R448,WK,R448_WK_0,Cidade Dos Meninos E Meninas
R448,WK,R448_WK_1,Terminal Eloy Chaves
R450,WK,R450_WK_0,Sesi São Camilo
R450,WK,R450_WK_1,Terminal Colônia
R480,WK,R480_WK_0,Escola Técnica Vasco Venchiarutti
R480,WK,R480_WK_1,Terminal Vila Rami
R500,WK,R500_WK_0,Vila São Paulo
R500,SAT,R500_SAT_0,Vila São Paulo
R500,SUN,R500_SUN_0,Vila São Paulo
R500,WK,R500_WK_1,Terminal Vila Arens
R500,SAT,R500_SAT_1,Terminal Vila Arens
R500,SUN,R500_SUN_1,Terminal Vila Arens
R523,WK,R523_WK_0,Jardim Paulista
R523,WK,R523_WK_1,Terminal Central
R528,WK,R528_WK_0,Aeroporto
R528,WK,R528_WK_1,Terminal Central
R540,WK,R540_WK_0,Parque Almerinda Chaves
R540,WK,R540_WK_1,Terminal Eloy Chaves
R551,WK,R551_WK_0,Jardim Tamoio
R551,WK,R551_WK_1,Terminal Colônia
R561,WK,R561_WK_0,Terra Da Uva
R561,WK,R561_WK_1,Terminal CECAP
R570,WK,R570_WK_0,Distrito Industrial
R570,WK,R570_WK_1,Terminal Hortolândia
R582,WK,R582_WK_0,Paiol Velho
R582,WK,R582_WK_1,Terminal Vila Rami
R702,WK,R702_WK_0,Mato Dentro
R702,WK,R702_WK_1,Terminal Vila Arens
R713,WK,R713_WK_0,Rua Do Retiro
R713,WK,R713_WK_1,Terminal Vila Arens
R715,WK,R715_WK_0,Terminal Colônia
R715,WK,R715_WK_1,Terminal Vila Arens
R719,WK,R719_WK_0,Vetor Oeste
R719,WK,R719_WK_1,Terminal Central
R720,WK,R720_WK_0,Jardim São Camilo
R720,WK,R720_WK_1,Terminal Central
R721,WK,R721_WK_0,Terminal Vila Arens
R721,WK,R721_WK_1,Terminal Central
R760,WK,R760_WK_0,Rodoviária
R760,WK,R760_WK_1,Terminal CECAP
R907,WK,R907_WK_0,Terminal Hortolândia
R907,WK,R907_WK_1,Terminal Vila Arens
R913,WK,R913_WK_0,Terminal Central
R913,WK,R913_WK_1,Terminal Vila Arens
R917,WK,R917_WK_0,Terminal Hortolândia
R917,WK,R917_WK_1,Terminal Vila Arens
R928,WK,R928_WK_0,Terminal Rami
R928,WK,R928_WK_1,Terminal Central
R941,WK,R941_WK_0,Terminal Vila Arens
R941,WK,R941_WK_1,Terminal Eloy Chaves
R942,WK,R942_WK_0,Terminal Central
R942,WK,R942_WK_1,Terminal Eloy Chaves
R947,WK,R947_WK_0,Terminal Hortolândia
R947,WK,R947_WK_1,Terminal Eloy Chaves
R951,WK,R951_WK_0,Terminal Vila Arens
R951,WK,R951_WK_1,Terminal Colônia
R953,WK,R953_WK_0,Terminal Central
R953,WK,R953_WK_1,Terminal Colônia
R957,WK,R957_WK_0,Terminal Hortolândia
R957,WK,R957_WK_1,Terminal Colônia
R961,WK,R961_WK_0,Terminal Vila Arens
R961,WK,R961_WK_1,Terminal CECAP
R962,WK,R962_WK_0,Terminal Central
R962,WK,R962_WK_1,Terminal CECAP
R968,WK,R968_WK_0,Terminal Rami
R968,WK,R968_WK_1,Terminal CECAP
R970,WK,R970_WK_0,Terminal Vila Arens
R970,WK,R970_WK_1,Terminal Hortolândia
R974,WK,R974_WK_0,Terminal Eloy Chaves
R974,WK,R974_WK_1,Terminal Hortolândia
R981,WK,R981_WK_0,Terminal Vila Arens
R981,WK,R981_WK_1,Terminal Rami
