route_id,service_id,trip_id,trip_headsign
CTMAC_141,WK,CTMAC_141_WK_0_0,Novo Horizonte
CTMAC_141,WK,CTMAC_141_WK_1_0,Terminal Pedrinhas
CTMAC_211,WK,CTMAC_211_WK_0_0,Centro (Macapá)
CTMAC_211,WK,CTMAC_211_WK_1_0,Terminal Congós
CTMAC_212,WK,CTMAC_212_WK_0_0,São Camilo
CTMAC_212,WK,CTMAC_212_WK_1_0,Terminal Congós
CTMAC_411,WK,CTMAC_411_WK_0_0,Centro (Macapá)
CTMAC_411,WK,CTMAC_411_WK_1_0,Terminal Amazonas
CTMAC_421,WK,CTMAC_421_WK_0_0,São Camilo
CTMAC_421,WK,CTMAC_421_WK_1_0,Ilha Redonda
CTMAC_431,WK,CTMAC_431_WK_0_0,Garden / São Camilo
CTMAC_431,WK,CTMAC_431_WK_1_0,Macapaba
CTMAC_432,WK,CTMAC_432_WK_0_0,São Camilo
CTMAC_432,WK,CTMAC_432_WK_1_0,Macapaba
CTMAC_441,WK,CTMAC_441_WK_0_0,Universidade Federal do Amapá (UNIFAP)
CTMAC_441,WK,CTMAC_441_WK_1_0,Brasil Novo
CTMAC_442,WK,CTMAC_442_WK_0_0,São Camilo
CTMAC_442,WK,CTMAC_442_WK_1_0,Brasil Novo
CTMAC_461,WK,CTMAC_461_WK_0_0,São Camilo
CTMAC_461,WK,CTMAC_461_WK_1_0,Infraero I
CTMAC_611,WK,CTMAC_611_WK_0_0,Universidade Federal do Amapá (UNIFAP)
CTMAC_611,WK,CTMAC_611_WK_1_0,Renascer
CTMAC_612,WK,CTMAC_612_WK_0_0,São Camilo
CTMAC_612,WK,CTMAC_612_WK_1_0,Renascer
