stop_id,stop_name,stop_lat,stop_lon
vsf202_s001,Terminal Do Trapiche,-9.6862,-35.7862
vsf202_s002,Av. Senador Rui Palmeira,-9.679,-35.768
vsf202_s003,Av. Siqueira Campos,-9.672,-35.753
vsf202_s004,Rua Do Ceara,,
vsf202_s005,Av. Silvestre Pericles (Rua Formosa),,
vsf202_s006,Rua Sen. Mendonça - Rua Do Livramento,,
vsf202_s007,Parque Rodolfo Lins (Pirulito),,
vsf202_s008,Rua Dias Cabral,,
vsf202_s009,Av. Duque De Caxias (Av. Da Paz),-9.669,-35.737
vsf202_s010,Rua Do Imperador,,
vsf202_s011,Rua Sargento Benevides,,
vsf202_s012,Rua Sete De Setembro,,
vsf202_s013,Rua Buarque De Macedo,,
vsf202_s014,Av. Walter Ananias,-9.662,-35.725
vsf202_s015,Retorno Cemitério Jaraguá,-9.664,-35.73
vsf202_s016,Rua Santa Leopoldina,,
vsf202_s017,Av. Prof. Santos Ferraz,,
vsf202_s018,Rua Domingos Lordslen,,
vsf202_s019,Rua Almirante Mascarenhas,,
vsf202_s020,Rua Ouvidor Batalha,,
vsf202_s021,Rua Jangadeiros Alagoano,,
vsf202_s022,Rua J. G. Pereira Do Carmo,,
vsf202_s023,Av. Sandoval Arroxelas,-9.663,-35.706
vsf202_s024,Av. Alvaro De Otacilio,-9.665,-35.702
vsf202_s025,Av. Dr. Antonio G. De B. - Amélia Rosas,,
vsf202_s026,Av. Dona Constança,,
vsf202_s027,Maceió Shopping (Antigo Iguatemi),-9.6472,-35.704
vsf202_s028,Rua Leopoldo Araújo Amorim,,
vsf202_s029,Av. Cleto Campelo,,
vsf202_s030,Rua Pastor Eurico Calheiros,,
vsf202_s031,Rua Maria Cecília Da Rocha,,
vsf202_s032,Rua São Benedito,,
vsf202_s033,Av. Juca Sampaio - Mac 204,-9.618,-35.749
vsf202_s034,Av. Otoniel Pimentel Santos,,
vsf202_s035,Rua John Richardson Cordeiro,,
vsf202_s036,Rua Gov. Lamenha Filho,,
vsf202_s037,Travessa Penedo,,
vsf202_s038,Terminal Rodoviario De Maceio,-9.611,-35.742
vsf202_s039,Av. Gov. Afranio Lages - Leste/Oeste,-9.622,-35.738
vsf202_s040,Rua Joaquim Nabuco,,
vsf202_s041,Rua Albino Magalhaes,,
vsf202_s042,Av. Fernandes Lima,-9.63,-35.725
vsf202_s043,Rua Artur Vital Da Silva,,
vsf202_s044,Rua Eloi De Lemos Franca,,
vsf202_s045,Ladeira Coronel A Mata,,
vsf202_s046,Rua São Francisco,,
vsf202_s047,Rua Camaragibe,,
vsf202_s048,Av. Nelson Marinho De Araujo,,
vsf202_s049,Av. Valentim Dos Santos Diniz,,
vsf202_s050,Rua Arsenio Fortes,,
vsf202_s051,Rua Belo Horizonte (J. Da Silv. Camerino),,
vsf202_s052,Rua Dr. Passos De Miranda,,
vsf202_s053,Rua José Moreira,,
vsf202_s054,Rua Dr. Antônio Nunes Leite,,
vsf202_s055,Av. Major Cicero De Goes Monteiro,,
vsf202_s056,Av. General Hermes,,
vsf202_s057,Avenida Francisco De Menezes,,
vsf202_s058,Rua Coronel Cahet,,
vsf202_s059,Rua 16 De Setembro,,
vsf202_s060,Rua Santo Antonio,,
vsf202_s061,Rua Cabo Reis,,
vsf202_s062,Rua Oseas Rosas,,
vsf202_s063,Av. Dr. Francisco De Menezes,,
vsf202_s064,Rua Fernandes De Barros,,
vsf202_s065,Av. Moreira Lima,,
vsf202_s066,Rua Boa Vista - P. Grossa,,
vsf202_s067,Rua Jose P. Leite Passos,,
