route_id,service_id,trip_id,trip_headsign
001,DAILY,001_0_0,Alvorada
001,DAILY,001_1_0,Coroado
002,DAILY,002_0_0,Japiim
002,DAILY,002_1_0,Coroado
004,DAILY,004_0_0,Centro
004,DAILY,004_1_0,Japiim
007,DAILY,007_0_0,Campus UFAM
007,DAILY,007_1_0,Terminal 1 - Constantino Nery
008,DAILY,008_0_0,Terminal 5 - Sao Jose
008,DAILY,008_1_0,Compensa
010,DAILY,010_0_0,Coroado
010,DAILY,010_1_0,Educandos
013,DAILY,013_0_0,Cachoeirinha
013,DAILY,013_1_0,Compensa
014,DAILY,014_0_0,Compensa
014,DAILY,014_1_0,Terminal 3 - Cidade Nova
028,DAILY,028_0_0,Terminal 3 - Cidade Nova
028,DAILY,028_1_0,Conjunto Viver Melhor
034,DAILY,034_0_0,Terminal 3 - Cidade Nova
034,DAILY,034_1_0,Shopping Via Norte
041,DAILY,041_0_0,Terminal 4 - Jorge Teixeira
041,DAILY,041_1_0,Conjunto Viver Melhor
052,DAILY,052_0_0,Terminal 3 - Cidade Nova
052,DAILY,052_1_0,Cidade de Deus
062,DAILY,062_0_0,Jorge Teixeira
062,DAILY,062_1_0,Terminal 4 - Jorge Teixeira
069,DAILY,069_0_0,Cidade de Deus
069,DAILY,069_1_0,Terminal 4 - Jorge Teixeira
072,DAILY,072_0_0,Aleixo
072,DAILY,072_1_0,Terminal 5 - Sao Jose
080,DAILY,080_0_0,Armando Mendes
080,DAILY,080_1_0,Terminal 5 - Sao Jose
085,DAILY,085_0_0,Colonia Antonio Aleixo
085,DAILY,085_1_0,Terminal 5 - Sao Jose
086,DAILY,086_0_0,Puraquequara
086,DAILY,086_1_0,Terminal 5 - Sao Jose
092,DAILY,092_0_0,Terminal 4 - Jorge Teixeira
092,DAILY,092_1_0,Terminal 5 - Sao Jose
100,DAILY,100_0_0,Parque 10 de Novembro
100,DAILY,100_1_0,Sao Raimundo
101,DAILY,101_0_0,Centro
101,DAILY,101_1_0,Sao Raimundo
102,DAILY,102_0_0,Praca da Saudade
102,DAILY,102_1_0,Vila da Prata
111,DAILY,111_0_0,Centro
111,DAILY,111_1_0,Santo Antonio
116,DAILY,116_0_0,Praca da Saudade
116,DAILY,116_1_0,Compensa
120,DAILY,120_0_0,Centro
120,DAILY,120_1_0,Ponta Negra
125,DAILY,125_0_0,Praca da Saudade
125,DAILY,125_1_0,Campus UFAM
129,DAILY,129_0_0,Cachoeirinha
129,DAILY,129_1_0,Centro
