trip_id,arrival_time,departure_time,stop_id,stop_sequence
L0001_outbound_wd_0,06:35:00,06:35:00,T_URBANO,1
L0001_outbound_wd_0,06:43:00,06:43:00,SAMPAIO,2
L0001_outbound_wd_0,06:51:00,06:51:00,CASTELO,3
L0001_inbound_wd_0,06:00:00,06:00:00,CASTELO,1
L0001_inbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0001_inbound_wd_0,06:16:00,06:16:00,T_URBANO,3
L0001_outbound_sa_0,07:00:00,07:00:00,T_URBANO,1
L0001_outbound_sa_0,07:08:00,07:08:00,SAMPAIO,2
L0001_outbound_sa_0,07:16:00,07:16:00,CASTELO,3
L0001_outbound_su_0,07:00:00,07:00:00,T_URBANO,1
L0001_outbound_su_0,07:08:00,07:08:00,SAMPAIO,2
L0001_outbound_su_0,07:16:00,07:16:00,CASTELO,3
L0002_outbound_wd_0,06:28:00,06:28:00,T_URBANO,1
L0002_outbound_wd_0,06:36:00,06:36:00,SANTO_ANT,2
L0002_outbound_wd_0,06:44:00,06:44:00,MAR_SHOP,3
L0002_inbound_wd_0,06:00:00,06:00:00,MAR_SHOP,1
L0002_inbound_wd_0,06:08:00,06:08:00,SANTO_ANT,2
L0002_inbound_wd_0,06:16:00,06:16:00,T_URBANO,3
L0003_outbound_wd_0,05:40:00,05:40:00,UNESP,1
L0003_outbound_wd_0,05:48:00,05:48:00,SAMPAIO,2
L0003_outbound_wd_0,05:56:00,05:56:00,T_URBANO,3
L0003_inbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0003_inbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0003_inbound_wd_0,06:16:00,06:16:00,UNESP,3
L0007_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0007_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0007_outbound_wd_0,06:16:00,06:16:00,NOVO_HORIZ,3
L0007_inbound_wd_0,06:30:00,06:30:00,NOVO_HORIZ,1
L0007_inbound_wd_0,06:38:00,06:38:00,SAMPAIO,2
L0007_inbound_wd_0,06:46:00,06:46:00,T_URBANO,3
L0011_outbound_wd_0,05:30:00,05:30:00,T_URBANO,1
L0011_outbound_wd_0,05:38:00,05:38:00,SAMPAIO,2
L0011_outbound_wd_0,05:46:00,05:46:00,NOVA_MAR,3
L0011_inbound_wd_0,06:00:00,06:00:00,NOVA_MAR,1
L0011_inbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0011_inbound_wd_0,06:16:00,06:16:00,T_URBANO,3
L0016_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0016_outbound_wd_0,06:08:00,06:08:00,BRASIL_LACIO,2
L0016_outbound_wd_0,06:16:00,06:16:00,SANTO_ANT,3
L0016_inbound_wd_0,05:30:00,05:30:00,SANTO_ANT,1
L0016_inbound_wd_0,05:38:00,05:38:00,BRASIL_LACIO,2
L0016_inbound_wd_0,05:46:00,05:46:00,T_URBANO,3
L0026_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0026_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0026_outbound_wd_0,06:16:00,06:16:00,UNESP,3
L0026_inbound_wd_0,05:30:00,05:30:00,UNESP,1
L0026_inbound_wd_0,05:38:00,05:38:00,SAMPAIO,2
L0026_inbound_wd_0,05:46:00,05:46:00,T_URBANO,3
L0035_outbound_wd_0,05:30:00,05:30:00,T_URBANO,1
L0035_outbound_wd_0,05:38:00,05:38:00,SAMPAIO,2
L0035_outbound_wd_0,05:46:00,05:46:00,NOVO_HORIZ,3
L0035_inbound_wd_0,06:00:00,06:00:00,NOVO_HORIZ,1
L0035_inbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0035_inbound_wd_0,06:16:00,06:16:00,T_URBANO,3
L0080_outbound_wd_0,04:14:00,04:14:00,T_URBANO,1
L0080_outbound_wd_0,04:22:00,04:22:00,BRASIL_LACIO,2
L0080_outbound_wd_0,04:30:00,04:30:00,NOVA_MAR,3
L0080_inbound_wd_0,06:20:00,06:20:00,NOVA_MAR,1
L0080_inbound_wd_0,06:28:00,06:28:00,BRASIL_LACIO,2
L0080_inbound_wd_0,06:36:00,06:36:00,T_URBANO,3
L0004_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0004_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0004_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0004_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0005_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0005_outbound_wd_0,06:08:00,06:08:00,BRASIL_LACIO,2
L0005_inbound_wd_0,06:00:00,06:00:00,BRASIL_LACIO,1
L0005_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0006_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0006_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0006_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0006_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0008_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0008_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0008_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0008_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0009_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0009_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0009_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0009_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0010_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0010_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0010_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0010_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0013_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0013_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0013_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0013_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0015_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0015_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0015_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0015_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0017_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0017_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0017_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0017_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0019_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0019_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0019_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0019_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0022_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0022_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0022_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0022_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
L0024_outbound_wd_0,06:00:00,06:00:00,T_URBANO,1
L0024_outbound_wd_0,06:08:00,06:08:00,SAMPAIO,2
L0024_inbound_wd_0,06:00:00,06:00:00,SAMPAIO,1
L0024_inbound_wd_0,06:08:00,06:08:00,T_URBANO,2
