route_id,route_short_name,route_long_name,route_type
801,801,Ivatuba / Maringá,3
802,802,Itambé / Maringá,3
901,901,Paiçandu / Guanabara,3
902,902,Paiçandu / Trevo / Maringá,3
903,903,Floresta / Maringá,3
905,905,Doutor Camargo / Maringá,3
906,906,Bela Vista / Maringá,3
907,907,Parque das Laranjeiras,3
4AO,4AO,Jardim Independência Direto,3
254A,254A,Parque Alvamar,3
254CT,254CT,Jardim Cometa,3
254E,254E,Jardim Esperança,3
254I,254I,Jardim Independência,3
254IT,254IT,Jardim Itália,3
254J,254J,Conjunto José Richa,3
254L,254L,Jardim Leblon,3
254M,254M,Monte Rey,3
254N,254N,Nova Aliança,3
254O,254O,Ouro Verde,3
254SA,254SA,Aeroporto / Centro de Sarandi,3
254SJ,254SJ,Residencial São José,3
254SP,254SP,Jardim São Paulo,3
254U,254U,Jardim Universal,3
254V,254V,Jardim Verão,3
254VZ,254VZ,Conjunto Vale Azul,3
