route_id,service_id,trip_id,trip_headsign
801,WD,801_WD_B,Ivatuba (Bairro)
801,WD,801_WD_T,Terminal Urbano
801,SAT,801_SAT_B,Ivatuba (Bairro)
801,SAT,801_SAT_T,Terminal Urbano
801,SUN,801_SUN_B,Ivatuba (Bairro)
801,SUN,801_SUN_T,Terminal Urbano
802,WD,802_WD_B,Itambé (Bairro)
802,WD,802_WD_T,Terminal Urbano
802,SAT,802_SAT_B,Itambé (Bairro)
802,SAT,802_SAT_T,Terminal Urbano
802,SUN,802_SUN_B,Itambé (Bairro)
802,SUN,802_SUN_T,Terminal Urbano
901,WD,901_WD_B,Paiçandu / Guanabara (Bairro)
901,WD,901_WD_T,Terminal Urbano
901,SAT,901_SAT_B,Paiçandu / Guanabara (Bairro)
901,SAT,901_SAT_T,Terminal Urbano
901,SUN,901_SUN_B,Paiçandu / Guanabara (Bairro)
901,SUN,901_SUN_T,Terminal Urbano
902,WD,902_WD_B,Paiçandu / Trevo (Bairro)
902,WD,902_WD_T,Terminal Urbano
902,SAT,902_SAT_B,Paiçandu / Trevo (Bairro)
902,SAT,902_SAT_T,Terminal Urbano
902,SUN,902_SUN_B,Paiçandu / Trevo (Bairro)
902,SUN,902_SUN_T,Terminal Urbano
903,WD,903_WD_B,Floresta (Bairro)
903,WD,903_WD_T,Terminal Urbano
903,SAT,903_SAT_B,Floresta (Bairro)
903,SAT,903_SAT_T,Terminal Urbano
903,SUN,903_SUN_B,Floresta (Bairro)
903,SUN,903_SUN_T,Terminal Urbano
905,WD,905_WD_B,Doutor Camargo (Bairro)
905,WD,905_WD_T,Terminal Urbano
905,SAT,905_SAT_B,Doutor Camargo (Bairro)
905,SAT,905_SAT_T,Terminal Urbano
905,SUN,905_SUN_B,Doutor Camargo (Bairro)
905,SUN,905_SUN_T,Terminal Urbano
906,WD,906_WD_B,Bela Vista (Bairro)
906,WD,906_WD_T,Terminal Urbano
906,SAT,906_SAT_B,Bela Vista (Bairro)
906,SAT,906_SAT_T,Terminal Urbano
906,SUN,906_SUN_B,Bela Vista (Bairro)
906,SUN,906_SUN_T,Terminal Urbano
907,WD,907_WD_B,Parque das Laranjeiras (Bairro)
907,WD,907_WD_T,Terminal Urbano
907,SAT,907_SAT_B,Parque das Laranjeiras (Bairro)
907,SAT,907_SAT_T,Terminal Urbano
907,SUN,907_SUN_B,Parque das Laranjeiras (Bairro)
907,SUN,907_SUN_T,Terminal Urbano
4AO,WD,4AO_WD_B,Jardim Independência Direto (Bairro)
4AO,WD,4AO_WD_T,Terminal Urbano
4AO,SAT,4AO_SAT_B,Jardim Independência Direto (Bairro)
4AO,SAT,4AO_SAT_T,Terminal Urbano
4AO,SUN,4AO_SUN_B,Jardim Independência Direto (Bairro)
4AO,SUN,4AO_SUN_T,Terminal Urbano
254A,WD,254A_WD_B,Parque Alvamar (Bairro)
254A,WD,254A_WD_T,Terminal Urbano
254A,SAT,254A_SAT_B,Parque Alvamar (Bairro)
254A,SAT,254A_SAT_T,Terminal Urbano
254A,SUN,254A_SUN_B,Parque Alvamar (Bairro)
254A,SUN,254A_SUN_T,Terminal Urbano
254CT,WD,254CT_WD_B,Jardim Cometa (Bairro)
254CT,WD,254CT_WD_T,Terminal Urbano
254CT,SAT,254CT_SAT_B,Jardim Cometa (Bairro)
254CT,SAT,254CT_SAT_T,Terminal Urbano
254CT,SUN,254CT_SUN_B,Jardim Cometa (Bairro)
254CT,SUN,254CT_SUN_T,Terminal Urbano
254E,WD,254E_WD_B,Jardim Esperança (Bairro)
254E,WD,254E_WD_T,Terminal Urbano
254E,SAT,254E_SAT_B,Jardim Esperança (Bairro)
254E,SAT,254E_SAT_T,Terminal Urbano
254E,SUN,254E_SUN_B,Jardim Esperança (Bairro)
254E,SUN,254E_SUN_T,Terminal Urbano
254I,WD,254I_WD_B,Jardim Independência (Bairro)
254I,WD,254I_WD_T,Terminal Urbano
254I,SAT,254I_SAT_B,Jardim Independência (Bairro)
254I,SAT,254I_SAT_T,Terminal Urbano
254I,SUN,254I_SUN_B,Jardim Independência (Bairro)
254I,SUN,254I_SUN_T,Terminal Urbano
254IT,WD,254IT_WD_B,Jardim Itália (Bairro)
254IT,WD,254IT_WD_T,Terminal Urbano
254IT,SAT,254IT_SAT_B,Jardim Itália (Bairro)
254IT,SAT,254IT_SAT_T,Terminal Urbano
254IT,SUN,254IT_SUN_B,Jardim Itália (Bairro)
254IT,SUN,254IT_SUN_T,Terminal Urbano
254J,WD,254J_WD_B,Conjunto José Richa (Bairro)
254J,WD,254J_WD_T,Terminal Urbano
254J,SAT,254J_SAT_B,Conjunto José Richa (Bairro)
254J,SAT,254J_SAT_T,Terminal Urbano
254J,SUN,254J_SUN_B,Conjunto José Richa (Bairro)
254J,SUN,254J_SUN_T,Terminal Urbano
254L,WD,254L_WD_B,Jardim Leblon (Bairro)
254L,WD,254L_WD_T,Terminal Urbano
254L,SAT,254L_SAT_B,Jardim Leblon (Bairro)
254L,SAT,254L_SAT_T,Terminal Urbano
254L,SUN,254L_SUN_B,Jardim Leblon (Bairro)
254L,SUN,254L_SUN_T,Terminal Urbano
254M,WD,254M_WD_B,Monte Rey (Bairro)
254M,WD,254M_WD_T,Terminal Urbano
254M,SAT,254M_SAT_B,Monte Rey (Bairro)
254M,SAT,254M_SAT_T,Terminal Urbano
254M,SUN,254M_SUN_B,Monte Rey (Bairro)
254M,SUN,254M_SUN_T,Terminal Urbano
254N,WD,254N_WD_B,Nova Aliança (Bairro)
254N,WD,254N_WD_T,Terminal Urbano
254N,SAT,254N_SAT_B,Nova Aliança (Bairro)
254N,SAT,254N_SAT_T,Terminal Urbano
254N,SUN,254N_SUN_B,Nova Aliança (Bairro)
254N,SUN,254N_SUN_T,Terminal Urbano
254O,WD,254O_WD_B,Ouro Verde (Bairro)
254O,WD,254O_WD_T,Terminal Urbano
254O,SAT,254O_SAT_B,Ouro Verde (Bairro)
254O,SAT,254O_SAT_T,Terminal Urbano
254O,SUN,254O_SUN_B,Ouro Verde (Bairro)
254O,SUN,254O_SUN_T,Terminal Urbano
254SA,WD,254SA_WD_B,Aeroporto / Centro de Sarandi (Bairro)
254SA,WD,254SA_WD_T,Terminal Urbano
254SA,SAT,254SA_SAT_B,Aeroporto / Centro de Sarandi (Bairro)
254SA,SAT,254SA_SAT_T,Terminal Urbano
254SA,SUN,254SA_SUN_B,Aeroporto / Centro de Sarandi (Bairro)
254SA,SUN,254SA_SUN_T,Terminal Urbano
254SJ,WD,254SJ_WD_B,Residencial São José (Bairro)
254SJ,WD,254SJ_WD_T,Terminal Urbano
254SJ,SAT,254SJ_SAT_B,Residencial São José (Bairro)
254SJ,SAT,254SJ_SAT_T,Terminal Urbano
254SJ,SUN,254SJ_SUN_B,Residencial São José (Bairro)
254SJ,SUN,254SJ_SUN_T,Terminal Urbano
254SP,WD,254SP_WD_B,Jardim São Paulo (Bairro)
254SP,WD,254SP_WD_T,Terminal Urbano
254SP,SAT,254SP_SAT_B,Jardim São Paulo (Bairro)
254SP,SAT,254SP_SAT_T,Terminal Urbano
254SP,SUN,254SP_SUN_B,Jardim São Paulo (Bairro)
254SP,SUN,254SP_SUN_T,Terminal Urbano
254U,WD,254U_WD_B,Jardim Universal (Bairro)
254U,WD,254U_WD_T,Terminal Urbano
254U,SAT,254U_SAT_B,Jardim Universal (Bairro)
254U,SAT,254U_SAT_T,Terminal Urbano
254U,SUN,254U_SUN_B,Jardim Universal (Bairro)
254U,SUN,254U_SUN_T,Terminal Urbano
254V,WD,254V_WD_B,Jardim Verão (Bairro)
254V,WD,254V_WD_T,Terminal Urbano
254V,SAT,254V_SAT_B,Jardim Verão (Bairro)
254V,SAT,254V_SAT_T,Terminal Urbano
254V,SUN,254V_SUN_B,Jardim Verão (Bairro)
254V,SUN,254V_SUN_T,Terminal Urbano
254VZ,WD,254VZ_WD_B,Conjunto Vale Azul (Bairro)
254VZ,WD,254VZ_WD_T,Terminal Urbano
254VZ,SAT,254VZ_SAT_B,Conjunto Vale Azul (Bairro)
254VZ,SAT,254VZ_SAT_T,Terminal Urbano
254VZ,SUN,254VZ_SUN_B,Conjunto Vale Azul (Bairro)
254VZ,SUN,254VZ_SUN_T,Terminal Urbano
