trip_id,arrival_time,departure_time,stop_id,stop_sequence
T233_0,07:00:00,07:00:00,S7257962761,1
T233_0,07:02:00,07:02:00,S7932164498,2
T233_0,07:04:00,07:04:00,S7932164499,3
T233_0,07:06:00,07:06:00,S5307202254,4
T233_0,07:08:00,07:08:00,S7925897369,5
T233_0,07:10:00,07:10:00,S7985317544,6
T233_0,07:12:00,07:12:00,S7985317545,7
T233_0,07:14:00,07:14:00,S7985317546,8
T233_0,07:16:00,07:16:00,S7942960281,9
T233_0,07:18:00,07:18:00,S7942960282,10
T233_0,07:20:00,07:20:00,S7942960283,11
T233_0,07:22:00,07:22:00,S7942960284,12
T233_0,07:24:00,07:24:00,S7821064889,13
T233_0,07:26:00,07:26:00,S7942975785,14
T233_0,07:28:00,07:28:00,S8017128791,15
T233_0,07:30:00,07:30:00,S7948189993,16
T233_0,07:32:00,07:32:00,S8017128789,17
T233_0,07:34:00,07:34:00,S7928520633,18
T233_0,07:36:00,07:36:00,S7928520634,19
T233_0,07:38:00,07:38:00,S7945905270,20
T233_0,07:40:00,07:40:00,S8018690042,21
T233_0,07:42:00,07:42:00,S8018690044,22
T233_0,07:44:00,07:44:00,S7926291488,23
T233_0,07:46:00,07:46:00,S7928520637,24
T233_0,07:48:00,07:48:00,S8019107778,25
T233_0,07:50:00,07:50:00,S8019107781,26
T233_0,07:52:00,07:52:00,S8019129193,27
T233_0,07:54:00,07:54:00,S7926123684,28
T233_0,07:56:00,07:56:00,S7925909484,29
T233_0,07:58:00,07:58:00,S7924004631,30
T233_0,08:00:00,08:00:00,S7924144013,31
T233_0,08:02:00,08:02:00,S8019129194,32
T233_0,08:04:00,08:04:00,S8019129195,33
T233_0,08:06:00,08:06:00,S8019129199,34
T233_0,08:08:00,08:08:00,S8019129200,35
T233_0,08:10:00,08:10:00,S8019129201,36
T233_0,08:12:00,08:12:00,S7982559665,37
T233_0,08:14:00,08:14:00,S1957380090,38
T233_0,08:16:00,08:16:00,S7982546821,39
T233_0,08:18:00,08:18:00,S7982546822,40
T233_0,08:20:00,08:20:00,S7983157257,41
T233_0,08:22:00,08:22:00,S8899882810,42
T233_1,07:00:00,07:00:00,S8899882810,1
T233_1,07:02:00,07:02:00,S8019129204,2
T233_1,07:04:00,07:04:00,S8019129205,3
T233_1,07:06:00,07:06:00,S7983202501,4
T233_1,07:08:00,07:08:00,S7931565884,5
T233_1,07:10:00,07:10:00,S7983202499,6
T233_1,07:12:00,07:12:00,S7983202497,7
T233_1,07:14:00,07:14:00,S1955942128,8
T233_1,07:16:00,07:16:00,S7921328299,9
T233_1,07:18:00,07:18:00,S7925909483,10
T233_1,07:20:00,07:20:00,S7926123683,11
T233_1,07:22:00,07:22:00,S8019129193,12
T233_1,07:24:00,07:24:00,S8019107781,13
T233_1,07:26:00,07:26:00,S8019107779,14
T233_1,07:28:00,07:28:00,S7926126385,15
T233_1,07:30:00,07:30:00,S7926291487,16
T233_1,07:32:00,07:32:00,S8019129206,17
T233_1,07:34:00,07:34:00,S8019129207,18
T233_1,07:36:00,07:36:00,S7926291495,19
T233_1,07:38:00,07:38:00,S7926291496,20
T233_1,07:40:00,07:40:00,S7948189992,21
T233_1,07:42:00,07:42:00,S7948189993,22
T233_1,07:44:00,07:44:00,S7948189995,23
T233_1,07:46:00,07:46:00,S7821064889,24
T233_1,07:48:00,07:48:00,S7821064876,25
T233_1,07:50:00,07:50:00,S7942960283,26
T233_1,07:52:00,07:52:00,S7948189996,27
T233_1,07:54:00,07:54:00,S7985317547,28
T233_1,07:56:00,07:56:00,S7985427585,29
T233_1,07:58:00,07:58:00,S7985427586,30
T233_1,08:00:00,08:00:00,S7935267890,31
T233_1,08:02:00,08:02:00,S7257962761,32
