stop_id,stop_name,stop_lat,stop_lon
S7257962761,Terminal Intermodal Urbano de Maringá,-23.418781,-51.938494
S7932164498,Avenida Duque de Caxias,-23.416735,-51.939606
S7932164499,Avenida Duque de Caxias,-23.413108,-51.93957
S5307202254,Avenida Colombo - Ginásio Chico Neto/UEM,-23.411002,-51.939003
S7925897369,Avenida Colombo,-23.411471,-51.935777
S7985317544,Avenida Colombo,-23.413326,-51.930451
S7985317545,Avenida Colombo,-23.41397,-51.928607
S7985317546,Avenida Pedro Taques,-23.41268,-51.924991
S7942960281,Avenida Pedro Taques,-23.411615,-51.924582
S7942960282,Avenida São Domingos,-23.411053,-51.923242
S7942960283,Avenida São Domingos,-23.411641,-51.921461
S7942960284,Avenida São Domingos,-23.413824,-51.91876
S7821064889,Avenida São Domingos,-23.413751,-51.91606
S7942975785,Avenida São Domingos,-23.41472,-51.913447
S8017128791,Avenida São Domingos,-23.415758,-51.91165
S7948189993,Avenida São Domingos,-23.417191,-51.909144
S8017128789,Avenida São Domingos,-23.418009,-51.907654
S7928520633,Avenida Tuiuti,-23.417956,-51.90594
S7928520634,Avenida Tuiuti,-23.416019,-51.904645
S7945905270,Avenida Tuiuti - Escola Municipal Luiz Sampaio,-23.412885,-51.902537
S8018690042,Rua Madre Mônica Maria,-23.414165,-51.900787
S8018690044,Rua Madre Mônica Maria,-23.415922,-51.898598
S7926291488,Avenida Guaiapó,-23.414852,-51.895758
S7928520637,Avenida Guaiapó,-23.41258,-51.89441
S8019107778,Avenida Jinroku Kubota,-23.411447,-51.896948
S8019107781,Rua Cuba,-23.410184,-51.896622
S8019129193,Ponto 8019129193,-23.409694,-51.894444
S7926123684,Avenida Guaiapó,-23.410537,-51.892281
S7925909484,Avenida Guaiapó,-23.409775,-51.890965
S7924004631,Avenida Guaiapó,-23.408622,-51.889044
S7924144013,Avenida Guaiapó,-23.40772,-51.887521
S8019129194,Rua Rio Barreiro,-23.406287,-51.886298
S8019129195,Rua Rio Barreiro,-23.404723,-51.888983
S8019129199,Rua Rio Ligeiro,-23.399257,-51.897537
S8019129200,Rua Rio Ligeiro,-23.397682,-51.900296
S8019129201,Rua Rio Ligeiro,-23.396304,-51.902665
S7982559665,Rua Rio São Francisco,-23.394754,-51.903993
S1957380090,Rua Rio São Francisco,-23.393097,-51.902601
S7982546821,Ponto 7982546821,-23.394261,-51.900147
S7982546822,Ponto 7982546822,-23.395892,-51.897321
S7983157257,Ponto 7983157257,-23.396615,-51.896044
S8899882810,Ponto 8899882810,-23.397103,-51.895165
S8019129204,Rua Rio Taperoá,-23.398374,-51.894363
S8019129205,Rua Rio Taperoá,-23.400066,-51.895497
S7983202501,Rua Rio Taperoá,-23.401949,-51.896764
S7931565884,Rua Rio Paranapanema,-23.403265,-51.894732
S7983202499,Rua Rio Paranapanema,-23.404332,-51.892907
S7983202497,Rua Rio Paranapanema,-23.406218,-51.889534
S1955942128,Rua Rio Paranapanema,-23.40736,-51.887571
S7921328299,Avenida Guaiapó,-23.408506,-51.889144
S7925909483,Avenida Guaiapó,-23.4094,-51.890631
S7926123683,Avenida Guaiapó,-23.410586,-51.892688
S8019107779,Avenida Jinroku Kubota,-23.411596,-51.897162
S7926126385,Avenida Guaiapó,-23.41267,-51.894638
S7926291487,Avenida Guaiapó,-23.415404,-51.896291
S8019129206,Rua Patrícia,-23.416074,-51.897348
S8019129207,Rua Patrícia,-23.414598,-51.899214
S7926291495,Avenida Tuiuti,-23.415602,-51.904546
S7926291496,Avenida Tuiuti - Colégio Branca da Motta,-23.417837,-51.906042
S7948189992,Avenida São Domingos,-23.418274,-51.907074
S7948189995,Avenida São Domingos,-23.414914,-51.913107
S7821064876,Avenida São Domingos,-23.413507,-51.919177
S7948189996,Avenida Pedro Taques,-23.411014,-51.924481
S7985317547,Avenida Pedro Taques,-23.412832,-51.925236
S7985427585,Avenida Colombo,-23.414533,-51.926495
S7985427586,Avenida Colombo,-23.413202,-51.930277
S7935267890,Avenida Herval,-23.412953,-51.936655
