trip_id,arrival_time,departure_time,stop_id,stop_sequence
L11_d0,05:00:00,05:00:00,cptm_estudantes,1
L11_d0,05:04:00,05:04:00,cptm_mogi,2
L11_d0,05:09:00,05:09:00,cptm_brazcubas,3
L11_d0,05:14:00,05:14:00,cptm_jundiapeba,4
L11_d1,05:20:00,05:20:00,cptm_jundiapeba,1
L11_d1,05:25:00,05:25:00,cptm_brazcubas,2
L11_d1,05:30:00,05:30:00,cptm_mogi,3
L11_d1,05:34:00,05:34:00,cptm_estudantes,4
C107_wd,04:30:00,04:30:00,c107_1,1
C107_wd,04:36:00,04:36:00,c107_5,5
C107_wd,04:44:00,04:44:00,c107_10,10
C107_wd,04:51:00,04:51:00,c107_15,15
C107_wd,04:59:00,04:59:00,c107_20,20
C107_wd,05:06:00,05:06:00,c107_25,25
C107_wd,05:14:00,05:14:00,c107_30,30
C107_wd,05:20:00,05:20:00,c107_34,34
C107_wd2,13:10:00,13:10:00,c107_1,1
C107_wd2,13:24:00,13:24:00,c107_10,10
C107_wd2,13:39:00,13:39:00,c107_20,20
C107_wd2,14:00:00,14:00:00,c107_34,34
C107_sat,04:30:00,04:30:00,c107_1,1
C107_sat,04:54:00,04:54:00,c107_17,17
C107_sat,05:20:00,05:20:00,c107_34,34
C107_sun,04:30:00,04:30:00,c107_1,1
C107_sun,04:54:00,04:54:00,c107_17,17
C107_sun,05:20:00,05:20:00,c107_34,34
C202_wd,05:05:00,05:05:00,c202_1,1
C202_wd,05:17:00,05:17:00,c202_6,6
C202_wd,05:33:00,05:33:00,c202_12,12
C202_wd,05:47:00,05:47:00,c202_18,18
C202_wd,06:00:00,06:00:00,c202_23,23
C202_wd2,13:00:00,13:00:00,c202_1,1
C202_wd2,13:28:00,13:28:00,c202_12,12
C202_wd2,13:55:00,13:55:00,c202_23,23
C202_sat,05:05:00,05:05:00,c202_1,1
C202_sat,05:33:00,05:33:00,c202_12,12
C202_sat,06:00:00,06:00:00,c202_23,23
C202_sun,05:30:00,05:30:00,c202_1,1
C202_sun,05:58:00,05:58:00,c202_12,12
C202_sun,06:25:00,06:25:00,c202_23,23
C202_wd_r,06:00:00,06:00:00,c202_23,1
C202_wd_r,06:28:00,06:28:00,c202_12,12
C202_wd_r,06:55:00,06:55:00,c202_1,23
E104_wd,04:25:00,04:25:00,e104_1,1
E104_wd,04:46:00,04:46:00,e104_11,11
E104_wd,05:09:00,05:09:00,e104_22,22
E104_wd,05:32:00,05:32:00,e104_33,33
E104_wd,05:55:00,05:55:00,e104_44,44
E104_wd2,12:00:00,12:00:00,e104_1,1
E104_wd2,12:44:00,12:44:00,e104_22,22
E104_wd2,13:30:00,13:30:00,e104_44,44
E104_sat,05:00:00,05:00:00,e104_1,1
E104_sat,05:44:00,05:44:00,e104_22,22
E104_sat,06:30:00,06:30:00,e104_44,44
E104_sun,05:30:00,05:30:00,e104_1,1
E104_sun,06:14:00,06:14:00,e104_22,22
E104_sun,07:00:00,07:00:00,e104_44,44
E104_wd_r,06:00:00,06:00:00,e104_44,1
E104_wd_r,06:45:00,06:45:00,e104_22,23
E104_wd_r,07:30:00,07:30:00,e104_1,44
