stop_id,stop_name,stop_lat,stop_lon
cptm_estudantes,Estudantes (CPTM),-23.5155,-46.1843
cptm_mogi,Mogi das Cruzes (CPTM),-23.52111,-46.196877
cptm_brazcubas,Braz Cubas (CPTM),-23.536212,-46.225142
cptm_jundiapeba,Jundiapeba (CPTM),-23.542685,-46.258079
c107_1,"Rua Professor Flaviano de Melo, 525 (Terminal Central)",-23.52111,-46.196877
c107_2,"Av. Voluntario Fernando Pinheiro Franco, 560",-23.520728,-46.19635
c107_3,"Av. Voluntario Fernando Pinheiro Franco, 844",-23.520346,-46.195824
c107_4,"Av. Francisco Ferreira Lopes, 222",-23.519964,-46.195297
c107_5,Av. Fernando Costa (oposto Padaria IV Centenario),-23.519582,-46.194771
c107_6,"Av. Francisco Ferreira Lopes, 662",-23.519199,-46.194244
c107_7,"Av. Francisco Ferreira Lopes, 916",-23.518817,-46.193718
c107_8,"Av. Francisco Ferreira Lopes, 1370 - Vila Lavinia",-23.518435,-46.193191
c107_9,"Av. Francisco Ferreira Lopes, 650 - Vila Lavinia",-23.518053,-46.192664
c107_10,Av. Francisco Ferreira Lopes (Vila Lavinia),-23.517671,-46.192138
c107_11,Av. Francisco Ferreira Lopes (Vila Lavinia) 2,-23.517289,-46.191611
c107_12,Av. Francisco Ferreira Lopes (Vila Lavinia) 3,-23.516907,-46.191085
c107_13,"Av. Francisco Ferreira Lopes, 3078 (NH Motos)",-23.516525,-46.190558
c107_14,"Av. Gaspar Vaz, 129",-23.516142,-46.190032
c107_15,"Rua Ramez Rachid Sleiman, 196",-23.51576,-46.189505
c107_16,"Av. Saraiva, 400 (Grupo Julio Simoes)",-23.515378,-46.188978
c107_17,"Rua Odilon Afonso, 354",-23.514996,-46.188452
c107_18,"Rua Dr. Joao Antonio Rodrigues de Moraes, 218",-23.514614,-46.187925
c107_19,"Rua Capitao Amado, 340",-23.514232,-46.187399
c107_20,"R. Joao Soares, 130 - Vila Jundiai",-23.51385,-46.186872
c107_21,"R. Dr. Manoel Gomes de Amorim, 335 - Vila Jundiai",-23.513468,-46.186345
c107_22,Rua Sao Francisco (esq. Rua Sao Joao),-23.513085,-46.185819
c107_23,"Rua Paulo Eduardo do Valle Pereira, 106 - Vila Bela Flor",-23.512703,-46.185292
c107_24,"Rua Paulo Eduardo do Valle Pereira, 560",-23.512321,-46.184766
c107_25,"Av. Sao Jose, 137",-23.511939,-46.184239
c107_26,"Av. Shozo Sakai, 604-1000",-23.511557,-46.183713
c107_27,Av. Shozo Sakai (oposto Comal),-23.511175,-46.183186
c107_28,"Av. Amazonas, 322",-23.510793,-46.182659
c107_29,"Rua Paulo Leite de Siqueira, 918",-23.510411,-46.182133
c107_30,"Av. Shozo Sakai, 1152",-23.510028,-46.181606
c107_31,"R. Shiguetoshi Suzuki, 510 - Vila Paulista",-23.509646,-46.18108
c107_32,"Rua Juraci, 512",-23.509264,-46.180553
c107_33,"R. Visc. de Maua, 68 - Vila Cintra",-23.508882,-46.180027
c107_34,"Av. Shozo Sakai, 1309",-23.5085,-46.1795
c202_1,Rua Santa Margarida - Conj. Res. Santo Angelo,-23.543709,-46.214149
c202_2,"Av. Japao, 619 - Jundiapeba",-23.543027,-46.215148
c202_3,"R. Sao Tome, 81 - Conj. Res. Santo Angelo",-23.542346,-46.216148
c202_4,"R. Sao Jose, 133 - Conj. Res. Santo Angelo",-23.541664,-46.217147
c202_5,"Av. Japao, 7491 - Vila Ipiranga",-23.540983,-46.218146
c202_6,"Av. Japao, 7485 - Vila Ipiranga",-23.540301,-46.219146
c202_7,"Av. Japao, 6301 - Vila Ipiranga",-23.53962,-46.220145
c202_8,"Av. Japao, 5735 - Vila Ipiranga",-23.538938,-46.221145
c202_9,Av. Japao (Jundiapeba),-23.538257,-46.222144
c202_10,"Av. Japao, 3175 - Vila Ipiranga",-23.537575,-46.223143
c202_11,"Av. Dr. Alvaro de Campos Carneiro, 107",-23.536894,-46.224143
c202_12,"Rua Guttermann, 522",-23.536212,-46.225142
c202_13,"Rua Guttermann, 302",-23.534839,-46.222572
c202_14,"Av. Gaspar Vaz, 728",-23.533466,-46.220003
c202_15,"Av. Francisco Ferreira Lopes, 2646",-23.532093,-46.217433
c202_16,"Av. Francisco Ferreira Lopes, 2455 - Vila Jundiai",-23.53072,-46.214864
c202_17,"Av. Francisco Ferreira Lopes, 1435 - Vila Vitoria",-23.529347,-46.212294
c202_18,"Rod. Henrique Eroles, 37 - Vila Vitoria",-23.527975,-46.209725
c202_19,"R. Ipiranga, 1593 - Jardim Santista",-23.526602,-46.207155
c202_20,"Rua Ipiranga, 1433",-23.525229,-46.204586
c202_21,"R. Ipiranga, 1171",-23.523856,-46.202016
c202_22,"R. Prof. Flaviano de Melo, 472 - Centro",-23.522483,-46.199447
c202_23,"Rua Professor Flaviano de Melo, 525 (Terminal Central)",-23.52111,-46.196877
e104_1,"R. Expedicionario Antonio dos Santos Taboada, 416 - Jundiapeba",-23.5385,-46.2515
e104_2,"R. Nito Sona, 2629 - Jundiapeba",-23.537965,-46.249937
e104_3,"R. Nito Sona, 2381 - Jundiapeba",-23.53743,-46.248374
e104_4,"R. Nito Sona, 2221 - Jundiapeba",-23.536895,-46.246812
e104_5,"Rua Benedicto de Souza Branco, 534 - Jundiapeba",-23.53636,-46.245249
e104_6,"Rua Manoel Fernandes, 1992",-23.535826,-46.243686
e104_7,"Rua Benedicto de Souza Branco, 860 - Jundiapeba",-23.535291,-46.242123
e104_8,"Rua Benedicto de Souza Branco, 1060 - Jundiapeba",-23.534756,-46.24056
e104_9,"Rua Adriano Pereira, 907",-23.534221,-46.238998
e104_10,"Av. Pres. Altino Arantes, 1028 - Jundiapeba",-23.533686,-46.237435
e104_11,"R. Jose Pereira, 899 - Jundiapeba",-23.533151,-46.235872
e104_12,"Av. Joao de Souza Franco, 44 - Jundiapeba",-23.532616,-46.234309
e104_13,"Rua Professora Lucinda Bastos, 1008",-23.532081,-46.232747
e104_14,"R. Profa. Lucinda Bastos, 1358 - Jundiapeba",-23.531547,-46.231184
e104_15,"R. Profa. Lucinda Bastos, 1710 - Jundiapeba",-23.531012,-46.229621
e104_16,"Rua Professora Lucinda Bastos, 2000",-23.530477,-46.228058
e104_17,"Alameda Santo Angelo, 145 - Jundiapeba",-23.529942,-46.226495
e104_18,"Av. Lourenco de Souza Franco, 1255 - Jundiapeba",-23.529407,-46.224933
e104_19,Av. Lourenco de Souza Franco (Jundiapeba),-23.528872,-46.22337
e104_20,"Av. Lourenco de Souza Franco, 853 - Jundiapeba",-23.528337,-46.221807
e104_21,Av. Francisco Ferreira Lopes (Jundiapeba),-23.527802,-46.220244
e104_22,"Av. Francisco Ferreira Lopes, 6709",-23.527267,-46.218681
e104_23,"Av. Francisco Ferreira Lopes, 6565 - Vila Jundiai",-23.526733,-46.217119
e104_24,Av. Francisco Ferreira Lopes (Vila Jundiai),-23.526198,-46.215556
e104_25,Av. Francisco Ferreira Lopes (Vila Jundiai) 2,-23.525663,-46.213993
e104_26,"Av. Francisco Ferreira Lopes, 5853 - Vila Jundiai",-23.525128,-46.21243
e104_27,"Av. Francisco Ferreira Lopes, 2937 - Vila Jundiai",-23.524593,-46.210867
e104_28,"Av. Francisco Ferreira Lopes, 2646",-23.524058,-46.209305
e104_29,"Av. Francisco Ferreira Lopes, 2455 - Vila Jundiai",-23.523523,-46.207742
e104_30,Av. Francisco Ferreira Lopes (Vila Lavinia),-23.522988,-46.206179
e104_31,"SP-066, 709 - Vila Lavinia",-23.522453,-46.204616
e104_32,"Av. Francisco Ferreira Lopes, 1435 - Vila Vitoria",-23.521919,-46.203053
e104_33,"Rod. Henrique Eroles, 37 - Vila Vitoria",-23.521384,-46.201491
e104_34,"R. Ipiranga, 1593 - Jardim Santista",-23.520849,-46.199928
e104_35,"R. Ipiranga, 1171 - Jardim Santista",-23.520314,-46.198365
