route_id,service_id,trip_id,trip_headsign
L11,DAILY,L11_d0,Jundiapeba / Luz
L11,DAILY,L11_d1,Estudantes
C107,WEEKDAY,C107_wd,Conj. do Bosque / Jd Planalto
C107,WEEKDAY,C107_wd2,Conj. do Bosque / Jd Planalto
C107,SATURDAY,C107_sat,Conj. do Bosque / Jd Planalto
C107,SUNDAY,C107_sun,Conj. do Bosque / Jd Planalto
C202,WEEKDAY,C202_wd,Terminal Central
C202,WEEKDAY,C202_wd2,Terminal Central
C202,SATURDAY,C202_sat,Terminal Central
C202,SUNDAY,C202_sun,Terminal Central
C202,WEEKDAY,C202_wd_r,Conj. Santo Angelo
E104,WEEKDAY,E104_wd,Terminal Estudantes
E104,WEEKDAY,E104_wd2,Terminal Estudantes
E104,SATURDAY,E104_sat,Terminal Estudantes
E104,SUNDAY,E104_sun,Terminal Estudantes
E104,WEEKDAY,E104_wd_r,Jundiapeba
