trip_id,arrival_time,departure_time,stop_id,stop_sequence
2601_0_1,05:10:00,05:10:00,S001,1
2601_0_1,05:11:30,05:11:30,S002,2
2601_0_1,05:13:00,05:13:00,S003,3
2601_0_1,05:14:30,05:14:30,S004,4
2601_0_1,05:16:00,05:16:00,S005,5
2601_0_1,05:17:30,05:17:30,S006,6
2601_0_1,05:19:00,05:19:00,S007,7
2601_0_1,05:20:30,05:20:30,S008,8
2601_0_1,05:22:00,05:22:00,S003,9
2601_0_1,05:23:30,05:23:30,S009,10
2601_0_1,05:25:00,05:25:00,S010,11
2601_0_1,05:26:30,05:26:30,S011,12
2601_0_1,05:28:00,05:28:00,S012,13
2601_0_1,05:29:30,05:29:30,S013,14
2601_0_1,05:31:00,05:31:00,S014,15
2601_0_1,05:32:30,05:32:30,S015,16
2601_0_1,05:34:00,05:34:00,S016,17
2601_0_1,05:35:30,05:35:30,S017,18
2601_0_1,05:37:00,05:37:00,S018,19
2601_0_1,05:38:30,05:38:30,S019,20
2601_0_1,05:40:00,05:40:00,S020,21
2601_0_1,05:41:30,05:41:30,S021,22
2601_0_1,05:43:00,05:43:00,S022,23
2601_0_1,05:44:30,05:44:30,S023,24
2601_0_1,05:46:00,05:46:00,S024,25
2601_0_1,05:47:30,05:47:30,S025,26
2601_0_1,05:49:00,05:49:00,S026,27
2601_0_1,05:50:30,05:50:30,S027,28
2601_0_1,05:52:00,05:52:00,S028,29
2601_0_1,05:53:30,05:53:30,S029,30
2601_0_1,05:55:00,05:55:00,S030,31
2601_0_1,05:56:30,05:56:30,S031,32
2601_0_1,05:58:00,05:58:00,S032,33
2601_0_1,05:59:30,05:59:30,S033,34
2601_0_1,06:01:00,06:01:00,S034,35
2601_0_1,06:02:30,06:02:30,S035,36
2601_0_1,06:04:00,06:04:00,S036,37
2601_0_1,06:05:30,06:05:30,S037,38
2601_0_1,06:07:00,06:07:00,S038,39
2601_0_1,06:08:30,06:08:30,S039,40
2601_0_1,06:10:00,06:10:00,S040,41
2601_0_1,06:11:30,06:11:30,S041,42
2601_0_1,06:13:00,06:13:00,S042,43
2601_0_1,06:14:30,06:14:30,S043,44
2601_0_1,06:16:00,06:16:00,S044,45
2601_0_1,06:17:30,06:17:30,S045,46
2601_0_1,06:19:00,06:19:00,S046,47
2601_0_1,06:20:30,06:20:30,S047,48
2601_0_2,22:24:00,22:24:00,S001,1
2601_0_2,22:25:30,22:25:30,S002,2
2601_0_2,22:27:00,22:27:00,S003,3
2601_0_2,22:28:30,22:28:30,S004,4
2601_0_2,22:30:00,22:30:00,S005,5
2601_0_2,22:31:30,22:31:30,S006,6
2601_0_2,22:33:00,22:33:00,S007,7
2601_0_2,22:34:30,22:34:30,S008,8
2601_0_2,22:36:00,22:36:00,S003,9
2601_0_2,22:37:30,22:37:30,S009,10
2601_0_2,22:39:00,22:39:00,S010,11
2601_0_2,22:40:30,22:40:30,S011,12
2601_0_2,22:42:00,22:42:00,S012,13
2601_0_2,22:43:30,22:43:30,S013,14
2601_0_2,22:45:00,22:45:00,S014,15
2601_0_2,22:46:30,22:46:30,S015,16
2601_0_2,22:48:00,22:48:00,S016,17
2601_0_2,22:49:30,22:49:30,S017,18
2601_0_2,22:51:00,22:51:00,S018,19
2601_0_2,22:52:30,22:52:30,S019,20
2601_0_2,22:54:00,22:54:00,S020,21
2601_0_2,22:55:30,22:55:30,S021,22
2601_0_2,22:57:00,22:57:00,S022,23
2601_0_2,22:58:30,22:58:30,S023,24
2601_0_2,23:00:00,23:00:00,S024,25
2601_0_2,23:01:30,23:01:30,S025,26
2601_0_2,23:03:00,23:03:00,S026,27
2601_0_2,23:04:30,23:04:30,S027,28
2601_0_2,23:06:00,23:06:00,S028,29
2601_0_2,23:07:30,23:07:30,S029,30
2601_0_2,23:09:00,23:09:00,S030,31
2601_0_2,23:10:30,23:10:30,S031,32
2601_0_2,23:12:00,23:12:00,S032,33
2601_0_2,23:13:30,23:13:30,S033,34
2601_0_2,23:15:00,23:15:00,S034,35
2601_0_2,23:16:30,23:16:30,S035,36
2601_0_2,23:18:00,23:18:00,S036,37
2601_0_2,23:19:30,23:19:30,S037,38
2601_0_2,23:21:00,23:21:00,S038,39
2601_0_2,23:22:30,23:22:30,S039,40
2601_0_2,23:24:00,23:24:00,S040,41
2601_0_2,23:25:30,23:25:30,S041,42
2601_0_2,23:27:00,23:27:00,S042,43
2601_0_2,23:28:30,23:28:30,S043,44
2601_0_2,23:30:00,23:30:00,S044,45
2601_0_2,23:31:30,23:31:30,S045,46
2601_0_2,23:33:00,23:33:00,S046,47
2601_0_2,23:34:30,23:34:30,S047,48
2601_1_1,05:10:00,05:10:00,S047,1
2601_1_1,05:11:30,05:11:30,S046,2
2601_1_1,05:13:00,05:13:00,S048,3
2601_1_1,05:14:30,05:14:30,S049,4
2601_1_1,05:16:00,05:16:00,S042,5
2601_1_1,05:17:30,05:17:30,S041,6
2601_1_1,05:19:00,05:19:00,S040,7
2601_1_1,05:20:30,05:20:30,S039,8
2601_1_1,05:22:00,05:22:00,S038,9
2601_1_1,05:23:30,05:23:30,S037,10
2601_1_1,05:25:00,05:25:00,S036,11
2601_1_1,05:26:30,05:26:30,S050,12
2601_1_1,05:28:00,05:28:00,S051,13
2601_1_1,05:29:30,05:29:30,S033,14
2601_1_1,05:31:00,05:31:00,S052,15
2601_1_1,05:32:30,05:32:30,S031,16
2601_1_1,05:34:00,05:34:00,S053,17
2601_1_1,05:35:30,05:35:30,S054,18
2601_1_1,05:37:00,05:37:00,S055,19
2601_1_1,05:38:30,05:38:30,S041,20
2601_1_1,05:40:00,05:40:00,S026,21
2601_1_1,05:41:30,05:41:30,S056,22
2601_1_1,05:43:00,05:43:00,S057,23
2601_1_1,05:44:30,05:44:30,S022,24
2601_1_1,05:46:00,05:46:00,S021,25
2601_1_1,05:47:30,05:47:30,S020,26
2601_1_1,05:49:00,05:49:00,S019,27
2601_1_1,05:50:30,05:50:30,S018,28
2601_1_1,05:52:00,05:52:00,S016,29
2601_1_1,05:53:30,05:53:30,S017,30
2601_1_1,05:55:00,05:55:00,S014,31
2601_1_1,05:56:30,05:56:30,S015,32
2601_1_1,05:58:00,05:58:00,S013,33
2601_1_1,05:59:30,05:59:30,S010,34
2601_1_1,06:01:00,06:01:00,S012,35
2601_1_1,06:02:30,06:02:30,S011,36
2601_1_1,06:04:00,06:04:00,S001,37
2601_1_2,22:24:00,22:24:00,S047,1
2601_1_2,22:25:30,22:25:30,S046,2
2601_1_2,22:27:00,22:27:00,S048,3
2601_1_2,22:28:30,22:28:30,S049,4
2601_1_2,22:30:00,22:30:00,S042,5
2601_1_2,22:31:30,22:31:30,S041,6
2601_1_2,22:33:00,22:33:00,S040,7
2601_1_2,22:34:30,22:34:30,S039,8
2601_1_2,22:36:00,22:36:00,S038,9
2601_1_2,22:37:30,22:37:30,S037,10
2601_1_2,22:39:00,22:39:00,S036,11
2601_1_2,22:40:30,22:40:30,S050,12
2601_1_2,22:42:00,22:42:00,S051,13
2601_1_2,22:43:30,22:43:30,S033,14
2601_1_2,22:45:00,22:45:00,S052,15
2601_1_2,22:46:30,22:46:30,S031,16
2601_1_2,22:48:00,22:48:00,S053,17
2601_1_2,22:49:30,22:49:30,S054,18
2601_1_2,22:51:00,22:51:00,S055,19
2601_1_2,22:52:30,22:52:30,S041,20
2601_1_2,22:54:00,22:54:00,S026,21
2601_1_2,22:55:30,22:55:30,S056,22
2601_1_2,22:57:00,22:57:00,S057,23
2601_1_2,22:58:30,22:58:30,S022,24
2601_1_2,23:00:00,23:00:00,S021,25
2601_1_2,23:01:30,23:01:30,S020,26
2601_1_2,23:03:00,23:03:00,S019,27
2601_1_2,23:04:30,23:04:30,S018,28
2601_1_2,23:06:00,23:06:00,S016,29
2601_1_2,23:07:30,23:07:30,S017,30
2601_1_2,23:09:00,23:09:00,S014,31
2601_1_2,23:10:30,23:10:30,S015,32
2601_1_2,23:12:00,23:12:00,S013,33
2601_1_2,23:13:30,23:13:30,S010,34
2601_1_2,23:15:00,23:15:00,S012,35
2601_1_2,23:16:30,23:16:30,S011,36
2601_1_2,23:18:00,23:18:00,S001,37
5801_0_1,05:15:00,05:15:00,S058,1
5801_0_1,05:16:30,05:16:30,S059,2
5801_0_1,05:18:00,05:18:00,S060,3
5801_0_1,05:19:30,05:19:30,S061,4
5801_0_1,05:21:00,05:21:00,S062,5
5801_0_1,05:22:30,05:22:30,S063,6
5801_0_1,05:24:00,05:24:00,S064,7
5801_0_1,05:25:30,05:25:30,S065,8
5801_0_1,05:27:00,05:27:00,S066,9
5801_0_1,05:28:30,05:28:30,S067,10
5801_0_1,05:30:00,05:30:00,S068,11
5801_0_1,05:31:30,05:31:30,S069,12
5801_0_1,05:33:00,05:33:00,S070,13
5801_0_1,05:34:30,05:34:30,S071,14
5801_0_1,05:36:00,05:36:00,S072,15
5801_0_1,05:37:30,05:37:30,S073,16
5801_0_1,05:39:00,05:39:00,S074,17
5801_0_1,05:40:30,05:40:30,S075,18
5801_0_1,05:42:00,05:42:00,S076,19
5801_0_1,05:43:30,05:43:30,S077,20
5801_0_1,05:45:00,05:45:00,S078,21
5801_0_1,05:46:30,05:46:30,S079,22
5801_0_1,05:48:00,05:48:00,S041,23
5801_0_1,05:49:30,05:49:30,S028,24
5801_0_1,05:51:00,05:51:00,S029,25
5801_0_1,05:52:30,05:52:30,S080,26
5801_0_1,05:54:00,05:54:00,S081,27
5801_0_1,05:55:30,05:55:30,S082,28
5801_0_1,05:57:00,05:57:00,S083,29
5801_0_1,05:58:30,05:58:30,S084,30
5801_0_1,06:00:00,06:00:00,S085,31
5801_0_1,06:01:30,06:01:30,S086,32
5801_0_1,06:03:00,06:03:00,S087,33
5801_0_1,06:04:30,06:04:30,S088,34
5801_0_1,06:06:00,06:06:00,S089,35
5801_0_1,06:07:30,06:07:30,S090,36
5801_0_1,06:09:00,06:09:00,S091,37
5801_0_1,06:10:30,06:10:30,S088,38
5801_0_1,06:12:00,06:12:00,S092,39
5801_0_1,06:13:30,06:13:30,S093,40
5801_0_1,06:15:00,06:15:00,S094,41
5801_0_1,06:16:30,06:16:30,S095,42
5801_0_1,06:18:00,06:18:00,S089,43
5801_0_1,06:19:30,06:19:30,S096,44
5801_0_1,06:21:00,06:21:00,S097,45
5801_0_1,06:22:30,06:22:30,S098,46
5801_0_1,06:24:00,06:24:00,S099,47
5801_0_1,06:25:30,06:25:30,S100,48
5801_0_1,06:27:00,06:27:00,S101,49
5801_0_1,06:28:30,06:28:30,S102,50
5801_0_1,06:30:00,06:30:00,S103,51
5801_0_2,19:45:00,19:45:00,S058,1
5801_0_2,19:46:30,19:46:30,S059,2
5801_0_2,19:48:00,19:48:00,S060,3
5801_0_2,19:49:30,19:49:30,S061,4
5801_0_2,19:51:00,19:51:00,S062,5
5801_0_2,19:52:30,19:52:30,S063,6
5801_0_2,19:54:00,19:54:00,S064,7
5801_0_2,19:55:30,19:55:30,S065,8
5801_0_2,19:57:00,19:57:00,S066,9
5801_0_2,19:58:30,19:58:30,S067,10
5801_0_2,20:00:00,20:00:00,S068,11
5801_0_2,20:01:30,20:01:30,S069,12
5801_0_2,20:03:00,20:03:00,S070,13
5801_0_2,20:04:30,20:04:30,S071,14
5801_0_2,20:06:00,20:06:00,S072,15
5801_0_2,20:07:30,20:07:30,S073,16
5801_0_2,20:09:00,20:09:00,S074,17
5801_0_2,20:10:30,20:10:30,S075,18
5801_0_2,20:12:00,20:12:00,S076,19
5801_0_2,20:13:30,20:13:30,S077,20
5801_0_2,20:15:00,20:15:00,S078,21
5801_0_2,20:16:30,20:16:30,S079,22
5801_0_2,20:18:00,20:18:00,S041,23
5801_0_2,20:19:30,20:19:30,S028,24
5801_0_2,20:21:00,20:21:00,S029,25
5801_0_2,20:22:30,20:22:30,S080,26
5801_0_2,20:24:00,20:24:00,S081,27
5801_0_2,20:25:30,20:25:30,S082,28
5801_0_2,20:27:00,20:27:00,S083,29
5801_0_2,20:28:30,20:28:30,S084,30
5801_0_2,20:30:00,20:30:00,S085,31
5801_0_2,20:31:30,20:31:30,S086,32
5801_0_2,20:33:00,20:33:00,S087,33
5801_0_2,20:34:30,20:34:30,S088,34
5801_0_2,20:36:00,20:36:00,S089,35
5801_0_2,20:37:30,20:37:30,S090,36
5801_0_2,20:39:00,20:39:00,S091,37
5801_0_2,20:40:30,20:40:30,S088,38
5801_0_2,20:42:00,20:42:00,S092,39
5801_0_2,20:43:30,20:43:30,S093,40
5801_0_2,20:45:00,20:45:00,S094,41
5801_0_2,20:46:30,20:46:30,S095,42
5801_0_2,20:48:00,20:48:00,S089,43
5801_0_2,20:49:30,20:49:30,S096,44
5801_0_2,20:51:00,20:51:00,S097,45
5801_0_2,20:52:30,20:52:30,S098,46
5801_0_2,20:54:00,20:54:00,S099,47
5801_0_2,20:55:30,20:55:30,S100,48
5801_0_2,20:57:00,20:57:00,S101,49
5801_0_2,20:58:30,20:58:30,S102,50
5801_0_2,21:00:00,21:00:00,S103,51
5801_1_1,05:15:00,05:15:00,S103,1
5801_1_1,05:16:30,05:16:30,S102,2
5801_1_1,05:18:00,05:18:00,S104,3
5801_1_1,05:19:30,05:19:30,S100,4
5801_1_1,05:21:00,05:21:00,S099,5
5801_1_1,05:22:30,05:22:30,S098,6
5801_1_1,05:24:00,05:24:00,S105,7
5801_1_1,05:25:30,05:25:30,S097,8
5801_1_1,05:27:00,05:27:00,S106,9
5801_1_1,05:28:30,05:28:30,S107,10
