stop_id,stop_name,stop_lat,stop_lon
S0001,Terminal Linha 21A,-5.826694,-35.259987
S0002,Linha 21 - Parada 2,-5.821567,-35.260139
S0003,Linha 21 - Parada 3,-5.826161,-35.258003
S0004,Linha 21 - Parada 4,-5.824842,-35.256454
S0005,Linha 21 - Parada 5,-5.825408,-35.252522
S0006,Linha 21A - Parada 6,-5.829804,-35.247837
S0007,Linha 21 - Parada 7,-5.832308,-35.244919
S0008,Linha 21 - Parada 8,-5.832573,-35.240574
S0009,Linha 21 - Parada 9,-5.828198,-35.238586
S0010,Linha 21 - Parada 10,-5.826074,-35.24173
S0011,Linha 21A - Parada 10,-5.819506,-35.237995
S0012,Linha 21 - Parada 12,-5.810692,-35.229916
S0044,Linha 21 - Parada 44,-5.820969,-35.23381
S0056,Terminal Linha 21,-5.826729,-35.260149
S0407,Terminal Linha 587,-5.840746,-35.273319
S0703,Linha 587 - Parada 2,-5.843247,-35.274876
S0704,Linha 587 - Parada 3,-5.846235,-35.271267
S0705,Linha 587 - Parada 4,-5.848044,-35.266933
S0706,Linha 587 - Parada 5,-5.85288,-35.270046
S0707,Linha 587 - Parada 6,-5.854793,-35.274311
S0708,Linha 587 - Parada 7,-5.853435,-35.278927
S0709,Linha 587 - Parada 8,-5.849618,-35.282455
S0710,Linha 587 - Parada 9,-5.844541,-35.282661
S0711,Linha 587 - Parada 10,-5.840052,-35.282742
S0712,Linha 587 - Parada 11,-5.836219,-35.282627
S0713,Linha 587 - Parada 12,-5.838405,-35.279976
S0714,Linha 587 - Parada 13,-5.841596,-35.276833
S0715,Linha 587 - Parada 14,-5.840612,-35.273102
S0716,Terminal Linha 587,-5.840682,-35.273243
