stop_id,stop_name,stop_lat,stop_lon
S6590214,Avenida Marechal Floriano Peixoto (Estação De Nova Iguaçu),-22.75917,-43.45108
S3191262,"Avenida Marechal Floriano Peixoto, 1779-1985",-22.75986,-43.45184
S624338,Ponto Final - Nova Iguaçu (Mirante / São José - Municipal),-22.76055,-43.4526
S5069248,Via Light / Smartfit,-22.759042,-43.4532
S5548676,Via Light | Av. Dr. Luiz Guimarães,-22.757533,-43.4538
S6774000,Rua Athaide Pimenta De Moraes / Av. Nilo Peçanha / R. Otávio Tarquino,-22.756025,-43.4544
S5674984,"Rua Athaide Pimenta De Morais, 309 | Delegacia Da Receita Federal",-22.754517,-43.455
S8120328,Prefeitura De Nova Iguaçu / Senac / Cemitério Municipal,-22.753008,-43.4556
S3409081,Top Shopping (Acesso B),-22.7515,-43.4562
S2073040,Centro De Operações De Nova Iguaçu,-22.7504,-43.457
S8874242,"Avenida Governador Roberto Silveira, 1024",-22.749486,-43.455571
S1560857,Avenida Dr. Salles Teixeira/R. Goitacazes,-22.748571,-43.454143
S7984600,Avenida Dr. Salles Teixeira (Loja Maçônica Deodoro Da Fonseca),-22.747657,-43.452714
S6768335,"Avenida Araguaia, 398",-22.746743,-43.451286
S9040180,Avenida Dr. Salles Teixeira/R. Pedro Antônio Pereira,-22.745829,-43.449857
S5121449,Rua Savero José Bruno (Asilo),-22.744914,-43.448429
S3997287,Ufrrj / Garagem Da Linave,-22.744,-43.447
S591936,Rua Raimundo Brito De Oliveira/R. Frei Frederico Vier,-22.742812,-43.446532
S192533,Rua Raimundo Brito De Oliveira (Igreja Sagrada Família),-22.741624,-43.446065
S9645938,"Rua Raimundo Brito De Oliveira, 456",-22.740435,-43.445597
S5837236,Luiz De Lemos,-22.739247,-43.445129
S6552933,Rua Estevão Pereira De Andrade 198,-22.738059,-43.444662
S6864060,Rua Estevão Pereira De Andrade 362,-22.736871,-43.444194
S2121838,"Rua Maina, 7",-22.735682,-43.443726
S6412339,"Rua Teófilo De Oliveira, 250",-22.734494,-43.443259
S1048538,Avenida Henrique Duque Estrada Mayer / Centro Comercial Três Corações,-22.733306,-43.442791
S8893026,"Avenida Henrique Duque Estrada Meyer, 36",-22.732118,-43.442324
S5981333,"Avenida Henrique Duque Estrada Mayer, 1912-2118",-22.730929,-43.441856
S8230617,"Avenida Henrique Duque Estrada Meyer, 2252",-22.729741,-43.441388
S4127763,"Avenida Henrique Duque Estrada Mayer, 2470-2480",-22.728553,-43.440921
S9655839,"Avenida Henrique Duque Estrada Mayer, 2740",-22.727365,-43.440453
S6294762,"Avenida Henrique Duque Estrada Mayer, 2914",-22.726176,-43.439985
S8827457,"Avenida Henrique Duque Estrada Mayer, 3158-3172",-22.724988,-43.439518
S2123046,"Avenida Henrique Duque Estrada Mayer, 3354",-22.7238,-43.43905
S9880554,"Avenida Henrique Duque Estrada Mayer, 3570-3598",-22.722612,-43.438582
S7940660,"Rua Luísa Maier, 3838",-22.721424,-43.438115
S3318785,"Rua Heliada, 114-176",-22.720235,-43.437647
S9303794,"Avenida Henrique Duque Estrada Mayer, 4210",-22.719047,-43.437179
S8452249,"Avenida Henrique Duque Estrada Mayer, 4127-4369",-22.717859,-43.436712
S6413403,"Rua Dolores, 247-307",-22.716671,-43.436244
S3717779,"Estrada Ambai-Figueira, 223",-22.715482,-43.435776
S1824699,"Avenida Henrique Duque Estrada Mayer, 195",-22.714294,-43.435309
S1527228,"Avenida Henrique Duque Estrada Mayer, 2976-3194",-22.713106,-43.434841
S9951724,"Rua Henrique Lage, 2-38",-22.711918,-43.434374
S3599601,"Estrada Do Ambaí, 3407-3503",-22.710729,-43.433906
S413126,"Avenida Henrique Duque Estrada Mayer, 3644-3770",-22.709541,-43.433438
S2508656,"Avenida Henrique Duque Estrada Mayer, 3815-3871",-22.708353,-43.432971
S6648528,"Estrada Velha De Iguacu, 483",-22.707165,-43.432503
S4848417,"Estrada Velha De Iguacu, 27",-22.705976,-43.432035
S4945655,"Rua São Pedro, 12",-22.704788,-43.431568
S7945360,Terminal Rodoviário De Miguel Couto,-22.7036,-43.4311
S2812961,"Rua Dolores, 50",-22.704652,-43.431374
S8292164,"Rua Dolores, 22",-22.705704,-43.431648
S619928,"Estrada Velha De Iguacu, 18",-22.706756,-43.431922
S5848321,"Estrada Do Ambaí, 3815-3871",-22.708859,-43.43247
S5018303,"Avenida Henrique Duque Estrada Mayer, 3643-3769",-22.709911,-43.432744
S7218113,"Estrada Do Ambaí, 3505-3619",-22.710963,-43.433019
S5196002,"Avenida Henrique Duque Estrada Mayer, 3197-3405",-22.712015,-43.433293
S6160467,"Rua Belo Horizonte, 31",-22.713067,-43.433567
S4024087,"Avenida Henrique Duque Estrada Mayer, 2679-2749",-22.714119,-43.433841
S624559,"Avenida Henrique Duque Estrada Mayer, 31",-22.71517,-43.434115
S3918275,"Avenida Henrique Duque Estrada Mayer, 2856-3396",-22.716222,-43.434389
S9792778,"Avenida Henrique Duque Estrada Mayer, 4128-4370",-22.717274,-43.434663
S8836537,"Avenida Henrique Duque Estrada Mayer, 4181-4235",-22.718326,-43.434937
S8279545,"Avenida Henrique Duque Estrada Mayer, 4135",-22.719378,-43.435211
S7944688,"Avenida Henrique Duque Estrada Mayer, 3839-3865",-22.72043,-43.435485
S2011853,"Avenida Henrique Duque Estrada Mayer, 3600-3670",-22.721481,-43.435759
S7390526,"Avenida Henrique Duque Estrada Mayer, 3475",-22.722533,-43.436033
S8771143,"Avenida Henrique Duque Estrada Mayer, 3133",-22.723585,-43.436307
S4109953,"Avenida Henrique Duque Estrada Mayer, 2933-2985",-22.724637,-43.436581
S8776576,"Avenida Henrique Duque Estrada Mayer, 2731",-22.725689,-43.436856
S864855,"Avenida Henrique Duque Estrada Mayer, 2459",-22.726741,-43.43713
S2830775,"Avenida Henrique Duque Estrada Mayer, 2280",-22.727793,-43.437404
S20835,"Avenida Henrique Duque Estrada Mayer, 2271-2287",-22.728844,-43.437678
S9827959,"Avenida Henrique Duque Estrada Mayer, 1971",-22.729896,-43.437952
S3867360,"Avenida Henrique Duque Estrada Mayer, 1421",-22.730948,-43.438226
S3878247,Garagem Da Tinguá,-22.732,-43.4385
S8687424,Hospital Da Posse,-22.7345,-43.4405
S830698,"Avenida Henrique Duque Estrada Mayer, 615",-22.736875,-43.442125
S628652,Avenida Henrique Duque Estrada Mayer/Rua Gama,-22.73925,-43.44375
S2816565,58ª Delegacia Policial,-22.741625,-43.445375
S2127221,Avenida Governador Roberto Silveira | Ufrrj,-22.744,-43.447
S7620203,Avenida Governador Roberto Silveira | Aeroclube De Nova Iguaçu,-22.74925,-43.4499
S7556332,Hospital Dr. Ricardo Cruz | Nova Iguaçu Fc | Igreja Sarando A Terra Ferida,-22.7545,-43.4528
S7397316,"Rua Coronel João De Alvarenga Cintra, 15",-22.754071,-43.453286
S6998661,"Rua General Rondon, 664",-22.753643,-43.453771
S5188761,"Rua General Rondon, 8",-22.753214,-43.454257
S9675037,"Rua José Soares Da Silva, 289",-22.752786,-43.454743
S1176327,"Rua Manoel Pereira Oliveira, 244",-22.752357,-43.455229
S3790765,"Rua Manoel Pereira Oliveira, 160",-22.751929,-43.455714
S4688395,Rua Ernesto Francisco De Moura | Top Shopping,-22.7515,-43.4562
S7944470,"Rua Paschoal Paladino, 342-392",-22.752471,-43.455886
S5250963,"Rua Paschoal Paladino, 420-436",-22.753443,-43.455571
S1893516,"Rua Paschoal Paladino, 1-49",-22.754414,-43.455257
S1181648,"Rua General Rondon, 281",-22.755386,-43.454943
S5049763,Rua General Rondon | Assaí Nova Iguaçu,-22.756357,-43.454629
S5570237,"Avenida Tancredo Neves, 2988 | Clínica De Doenças Renais (Cdr)",-22.757329,-43.454314
S4106038,Rodoviária De Nova Iguaçu | Viaduto João Musch,-22.7583,-43.454
S5650900,Avenida Marechal Floriano Peixoto | Intercontinental / Caixa,-22.758518,-43.45327
S9353530,Avenida Marechal Floriano Peixoto | Galeria Veplan / Caracol,-22.758735,-43.45254
S1716168,"Avenida Marechal Floriano Peixoto, 2125",-22.758953,-43.45181
S8105813,Corredor Tancredo Neves,-22.756671,-43.454143
S8137969,"Estrada De Adrianópolis, 120",-22.73295,-43.46585
S6377676,"Estrada De Adrianópolis, 310",-22.7321,-43.4673
S1780128,Estrada De Adrianópolis | Upa,-22.73125,-43.46875
S6358918,"Estrada De Adrianópolis, 609-651",-22.7304,-43.4702
S5615876,"Estrada De Adrianópolis, 799-827",-22.72955,-43.47165
S7217875,"Estrada De Adrianópolis, 1138-1240",-22.7287,-43.4731
S9079872,"Estrada De Adrianópolis, 1790",-22.72785,-43.47455
S7861370,Estrada De Adrianópolis | CEFET Santa Rita,-22.727,-43.476
S46093,"Estrada De Adrianópolis, 1844",-22.726,-43.47725
S3687100,"Estrada De Adrianópolis, 1866-1876",-22.725,-43.4785
S6744334,"Estrada De Adrianópolis, 1890-1894",-22.724,-43.47975
S497506,Estrada De Adrianópolis | Monte Castelo,-22.723,-43.481
S8760500,"Estrada De Adrianópolis, 2416-2504",-22.7224,-43.4821
S727686,"Estrada De Adrianópolis, 288",-22.7218,-43.4832
S4961546,"Rua Santa Rita, 358-366",-22.7212,-43.4843
S130916,"Rua Santa Rita, 460",-22.7206,-43.4854
S714531,"Rua Santa Rita, 664",-22.72,-43.4865
S5906170,"Estrada Santa Rita, 830",-22.7194,-43.4876
S6407085,"Estrada Santa Rita, 988-1278",-22.7188,-43.4887
S7872865,"Estrada Santa Rita, 1364-1650",-22.7182,-43.4898
S2548532,"Estrada Santa Rita, 1652-1752",-22.7176,-43.4909
S3661069,Padaria Do Rocha,-22.717,-43.492
S4302452,"Rua Manuel Batista, 443",-22.717545,-43.491
S2243387,"Rua Manuel Batista, 303-343",-22.718091,-43.49
S1830985,"Rua Manuel Batista, 346-494",-22.718636,-43.489
S5306589,"Rua Adelina Pandine, 351",-22.719182,-43.488
S2256617,"Rua Adelina Pandine, 229-237",-22.719727,-43.487
S5503490,"Rua Adelina Pandine, 61",-22.720273,-43.486
S3550137,"Rua Atílio Vago, 121",-22.720818,-43.485
S3948149,"Rua Atílio Vago, 175",-22.721364,-43.484
S617840,"Rua Atílio Vago, 5",-22.721909,-43.483
S3397744,Estrada De Adrianópolis | Niely,-22.722455,-43.482
S2905756,Estrada De Adrianópolis | Entrada Do G. Danon,-22.725,-43.4785
S3440636,"Estrada De Adrianópolis, 1401-1535",-22.7275,-43.47225
S7530152,"Estrada De Adrianópolis, 1157",-22.728,-43.4685
S6468782,"Estrada De Adrianópolis, 825",-22.7285,-43.46475
S8807475,"Estrada De Adrianópolis, 653-719",-22.729,-43.461
S2596011,"Estrada De Adrianópolis, 339-389",-22.7295,-43.45725
S708067,"Estrada De Adrianópolis, 269-299",-22.73,-43.4535
S3822552,"Avenida Governador Roberto Silveira, 1810",-22.7421,-43.4457
S7351096,Ponto Final - Nova Iguaçu (Glória / Linave),-22.76055,-43.4526
