trip_id,arrival_time,departure_time,stop_id,stop_sequence
L1_NB_0502,05:04:00,05:04:00,MERC,1
L1_NB_0502,05:06:30,05:06:30,RODO,2
L1_NB_0502,05:09:00,05:09:00,SPED,3
L1_NB_0502,05:11:30,05:11:30,FARR,4
L1_NB_0502,05:14:00,05:14:00,AERO,5
L1_NB_0502,05:16:30,05:16:30,ANCH,6
L1_NB_0502,05:19:00,05:19:00,NITE,7
L1_NB_0502,05:21:30,05:21:30,FATI,8
L1_NB_0502,05:24:00,05:24:00,CANO,9
L1_NB_0502,05:26:30,05:26:30,MVEL,10
L1_NB_0502,05:29:00,05:29:00,SLUI,11
L1_NB_0502,05:31:30,05:31:30,PETR,12
L1_NB_0502,05:34:00,05:34:00,ESTE,13
L1_NB_0502,05:36:30,05:36:30,LPAS,14
L1_NB_0502,05:39:00,05:39:00,SAPU,15
L1_NB_0502,05:41:30,05:41:30,UNIS,16
L1_NB_0502,05:44:00,05:44:00,SLEO,17
L1_NB_0502,05:46:30,05:46:30,RSIN,18
L1_NB_0502,05:49:00,05:49:00,SAFO,19
L1_NB_0502,05:51:30,05:51:30,INDU,20
L1_NB_0502,05:54:00,05:54:00,FENA,21
L1_NB_0502,05:57:00,05:57:00,NOVH,22
L1_SB_0504,05:02:00,05:02:00,NOVH,1
L1_SB_0504,05:05:00,05:05:00,FENA,2
L1_SB_0504,05:07:30,05:07:30,INDU,3
L1_SB_0504,05:10:00,05:10:00,SAFO,4
L1_SB_0504,05:12:30,05:12:30,RSIN,5
L1_SB_0504,05:15:00,05:15:00,SLEO,6
L1_SB_0504,05:17:30,05:17:30,UNIS,7
L1_SB_0504,05:20:00,05:20:00,SAPU,8
L1_SB_0504,05:22:30,05:22:30,LPAS,9
L1_SB_0504,05:25:00,05:25:00,ESTE,10
L1_SB_0504,05:27:30,05:27:30,PETR,11
L1_SB_0504,05:30:00,05:30:00,SLUI,12
L1_SB_0504,05:32:30,05:32:30,MVEL,13
L1_SB_0504,05:35:00,05:35:00,CANO,14
L1_SB_0504,05:37:30,05:37:30,FATI,15
L1_SB_0504,05:40:00,05:40:00,NITE,16
L1_SB_0504,05:42:30,05:42:30,ANCH,17
L1_SB_0504,05:45:00,05:45:00,AERO,18
L1_SB_0504,05:47:30,05:47:30,FARR,19
L1_SB_0504,05:50:00,05:50:00,SPED,20
L1_SB_0504,05:52:30,05:52:30,RODO,21
L1_SB_0504,05:55:00,05:55:00,MERC,22
