route_id,route_short_name,route_long_name,route_type
R010,010,Eixão / Estação Apinajé,3
R011,011,Eixão / Apinajé,3
R012,012,Eixão / Estação Apinajé (Expresso),3
R020,020,TO-050 / Estação Apinajé,3
R030,030,Estação Apinajé / Detran / Arnos,3
R040,040,Estação Apinajé / Arnos 31 32 33,3
R050,050,Estação Apinajé / Hemocentro,3
R060,060,Estação Apinajé / SESC,3
R070,070,Estação Apinajé / CPMTO,3
R080,080,Estação Apinajé / Santo Amaro,3
R090,090,Estação Apinajé / UFT,3
R091,091,Estação Apinajé / HGP / UFT,3
R110,110,Estação Apinajé / QCG / Marista,3
R120,120,Estação Apinajé / Capim Dourado,3
R130,130,Estação Apinajé / Lago Norte,3
R140,140,Estação Apinajé / Sonho Meu,3
R151,151,Estação Apinajé / 112 Sul / IFTO,3
R180,180,Estação Krahô / NS 04 / Avenida JK,3
R190,190,Estação Krahô / NS 10 / Estação Apinajé,3
R200,200,75 Industrial,3
R201,201,Estação Xambioá / 75 Industrial / ARSOS,3
R231,231,Estação Krahô / Rodoviária / 1406 Sul,3
R240,240,Estação Krahô / 1007 Sul,3
R250,250,Estação Krahô / UniCatólica Campus 2,3
R301,301,Bertaville / Estação Apinajé,3
R401,401,Estação Karajá / Aureny 4 / Bertaville,3
R410,410,Aureny 1 / Eixão / Estação Apinajé,3
R421,421,Jardim Aureny 3 / Estação Apinajé,3
R430,430,Estação Xerente / Aureny 3 / União Sul,3
R431,431,Estação Xerente / Flamboyant,3
R440,440,Santa Bárbara / Estação Karajá,3
R450,450,Taquaruçu / Estação Javaé,3
R460,460,Estação Xerente / Aeroporto,3
R470,470,Estação Xerente / Taquari,3
R471,471,Estação Javaé / Taquari,3
R480,480,Estação Javaé / Maria Rosa,3
R490,490,Estação Javaé / Sol Nascente,3
R500,500,Estação Javaé / Sônia Regina / Jardim Vitória,3
R510,510,Estação Javaé / Jardim Laila / Recanto das Araras,3
R540,540,Taquari / Eixão / Estação Apinajé,3
R550,550,Taquari / Agrotins,3
R560,560,SENAI / Estação Apinajé (Direto),3
R620,620,Corujão - Sol Nascente / 603 Norte,3
R630,630,Estação Krahô / TO-020 km 27,3
R640,640,Buritirana / Estação Javaé,3
R650,650,Sítio / Entre Rios / Estação Javaé,3
R670,670,Estação Javaé / São João,3
