trip_id,arrival_time,departure_time,stop_id,stop_sequence
CTCP-1701-WEEK-D0-001,05:55:00,05:55:00,CTCP-S001,1
CTCP-1701-WEEK-D0-001,05:56:00,05:56:00,CTCP-S002,2
CTCP-1701-WEEK-D0-001,05:57:00,05:57:00,CTCP-S003,3
CTCP-1701-WEEK-D0-001,05:58:00,05:58:00,CTCP-S004,4
CTCP-1701-WEEK-D0-001,05:59:00,05:59:00,CTCP-S005,5
CTCP-1701-WEEK-D0-001,06:00:00,06:00:00,CTCP-S006,6
CTCP-1701-WEEK-D0-001,06:01:00,06:01:00,CTCP-S007,7
CTCP-1701-WEEK-D0-001,06:02:00,06:02:00,CTCP-S008,8
CTCP-1701-WEEK-D0-001,06:03:00,06:03:00,CTCP-S009,9
CTCP-1701-WEEK-D0-001,06:04:00,06:04:00,CTCP-S010,10
CTCP-1701-WEEK-D0-001,06:05:00,06:05:00,CTCP-S011,11
CTCP-1701-WEEK-D0-001,06:06:00,06:06:00,CTCP-S012,12
CTCP-1701-WEEK-D0-001,06:07:00,06:07:00,CTCP-S013,13
CTCP-1701-WEEK-D0-001,06:07:00,06:07:00,CTCP-S014,14
CTCP-1701-WEEK-D0-001,06:08:00,06:08:00,CTCP-S015,15
CTCP-1701-WEEK-D0-001,06:09:00,06:09:00,CTCP-S016,16
CTCP-1701-WEEK-D0-001,06:10:00,06:10:00,CTCP-S017,17
CTCP-1701-WEEK-D0-001,06:11:00,06:11:00,CTCP-S018,18
CTCP-1701-WEEK-D0-001,06:12:00,06:12:00,CTCP-S019,19
CTCP-1701-WEEK-D0-001,06:13:00,06:13:00,CTCP-S020,20
CTCP-1701-WEEK-D0-001,06:14:00,06:14:00,CTCP-S021,21
CTCP-1701-WEEK-D0-001,06:15:00,06:15:00,CTCP-S022,22
CTCP-1701-WEEK-D0-001,06:16:00,06:16:00,CTCP-S023,23
CTCP-1701-WEEK-D0-001,06:17:00,06:17:00,CTCP-S024,24
CTCP-1701-WEEK-D0-001,06:18:00,06:18:00,CTCP-S025,25
CTCP-1701-WEEK-D0-001,06:19:00,06:19:00,CTCP-S026,26
CTCP-1701-WEEK-D0-001,06:20:00,06:20:00,CTCP-S027,27
CTCP-1701-WEEK-D0-001,06:21:00,06:21:00,CTCP-S028,28
CTCP-1701-WEEK-D0-001,06:22:00,06:22:00,CTCP-S029,29
CTCP-1701-WEEK-D0-001,06:23:00,06:23:00,CTCP-S030,30
CTCP-1701-WEEK-D0-001,06:24:00,06:24:00,CTCP-S031,31
CTCP-1701-WEEK-D0-001,06:25:00,06:25:00,CTCP-S032,32
CTCP-1701-WEEK-D0-001,06:26:00,06:26:00,CTCP-S033,33
CTCP-1701-WEEK-D0-001,06:27:00,06:27:00,CTCP-S034,34
CTCP-1701-WEEK-D0-001,06:28:00,06:28:00,CTCP-S035,35
CTCP-1701-WEEK-D0-001,06:29:00,06:29:00,CTCP-S036,36
CTCP-1701-WEEK-D0-001,06:30:00,06:30:00,CTCP-S037,37
CTCP-1701-WEEK-D0-001,06:31:00,06:31:00,CTCP-S038,38
CTCP-1701-WEEK-D0-001,06:32:00,06:32:00,CTCP-S039,39
CTCP-1701-WEEK-D0-001,06:33:00,06:33:00,CTCP-S040,40
CTCP-1701-WEEK-D0-001,06:33:00,06:33:00,CTCP-S041,41
CTCP-1701-WEEK-D0-001,06:34:00,06:34:00,CTCP-S042,42
CTCP-1701-WEEK-D0-001,06:35:00,06:35:00,CTCP-S043,43
CTCP-1701-WEEK-D0-001,06:36:00,06:36:00,CTCP-S044,44
CTCP-1701-WEEK-D0-001,06:37:00,06:37:00,CTCP-S045,45
CTCP-1701-WEEK-D0-001,06:38:00,06:38:00,CTCP-S046,46
CTCP-1701-WEEK-D0-001,06:39:00,06:39:00,CTCP-S047,47
CTCP-1701-WEEK-D0-001,06:40:00,06:40:00,CTCP-S048,48
CTCP-1701-WEEK-D0-001,06:41:00,06:41:00,CTCP-S049,49
CTCP-1701-WEEK-D0-001,06:42:00,06:42:00,CTCP-S050,50
CTCP-1701-WEEK-D0-001,06:43:00,06:43:00,CTCP-S051,51
CTCP-1701-WEEK-D0-001,06:44:00,06:44:00,CTCP-S052,52
CTCP-1701-WEEK-D0-001,06:45:00,06:45:00,CTCP-S053,53
CTCP-1701-WEEK-D1-015,05:55:00,05:55:00,CTCP-S053,1
CTCP-1701-WEEK-D1-015,05:56:00,05:56:00,CTCP-S054,2
CTCP-1701-WEEK-D1-015,05:57:00,05:57:00,CTCP-S055,3
CTCP-1701-WEEK-D1-015,05:58:00,05:58:00,CTCP-S056,4
CTCP-1701-WEEK-D1-015,05:59:00,05:59:00,CTCP-S057,5
CTCP-1701-WEEK-D1-015,06:00:00,06:00:00,CTCP-S058,6
CTCP-1701-WEEK-D1-015,06:02:00,06:02:00,CTCP-S059,7
CTCP-1701-WEEK-D1-015,06:03:00,06:03:00,CTCP-S060,8
CTCP-1701-WEEK-D1-015,06:04:00,06:04:00,CTCP-S061,9
CTCP-1701-WEEK-D1-015,06:05:00,06:05:00,CTCP-S062,10
CTCP-1701-WEEK-D1-015,06:06:00,06:06:00,CTCP-S063,11
CTCP-1701-WEEK-D1-015,06:07:00,06:07:00,CTCP-S064,12
CTCP-1701-WEEK-D1-015,06:08:00,06:08:00,CTCP-S065,13
CTCP-1701-WEEK-D1-015,06:09:00,06:09:00,CTCP-S066,14
CTCP-1701-WEEK-D1-015,06:10:00,06:10:00,CTCP-S067,15
CTCP-1701-WEEK-D1-015,06:11:00,06:11:00,CTCP-S068,16
CTCP-1701-WEEK-D1-015,06:12:00,06:12:00,CTCP-S069,17
CTCP-1701-WEEK-D1-015,06:13:00,06:13:00,CTCP-S070,18
CTCP-1701-WEEK-D1-015,06:15:00,06:15:00,CTCP-S071,19
CTCP-1701-WEEK-D1-015,06:16:00,06:16:00,CTCP-S072,20
CTCP-1701-WEEK-D1-015,06:17:00,06:17:00,CTCP-S073,21
CTCP-1701-WEEK-D1-015,06:18:00,06:18:00,CTCP-S074,22
CTCP-1701-WEEK-D1-015,06:19:00,06:19:00,CTCP-S075,23
CTCP-1701-WEEK-D1-015,06:20:00,06:20:00,CTCP-S076,24
CTCP-1701-WEEK-D1-015,06:21:00,06:21:00,CTCP-S077,25
CTCP-1701-WEEK-D1-015,06:22:00,06:22:00,CTCP-S078,26
CTCP-1701-WEEK-D1-015,06:23:00,06:23:00,CTCP-S079,27
CTCP-1701-WEEK-D1-015,06:24:00,06:24:00,CTCP-S080,28
CTCP-1701-WEEK-D1-015,06:25:00,06:25:00,CTCP-S081,29
CTCP-1701-WEEK-D1-015,06:27:00,06:27:00,CTCP-S082,30
CTCP-1701-WEEK-D1-015,06:28:00,06:28:00,CTCP-S083,31
CTCP-1701-WEEK-D1-015,06:29:00,06:29:00,CTCP-S084,32
CTCP-1701-WEEK-D1-015,06:30:00,06:30:00,CTCP-S085,33
CTCP-1701-WEEK-D1-015,06:31:00,06:31:00,CTCP-S086,34
CTCP-1701-WEEK-D1-015,06:32:00,06:32:00,CTCP-S087,35
CTCP-1701-WEEK-D1-015,06:33:00,06:33:00,CTCP-S088,36
CTCP-1701-WEEK-D1-015,06:34:00,06:34:00,CTCP-S089,37
CTCP-1701-WEEK-D1-015,06:35:00,06:35:00,CTCP-S010,38
CTCP-1701-WEEK-D1-015,06:36:00,06:36:00,CTCP-S090,39
CTCP-1701-WEEK-D1-015,06:37:00,06:37:00,CTCP-S007,40
CTCP-1701-WEEK-D1-015,06:38:00,06:38:00,CTCP-S091,41
CTCP-1701-WEEK-D1-015,06:40:00,06:40:00,CTCP-S092,42
CTCP-1701-WEEK-D1-015,06:41:00,06:41:00,CTCP-S093,43
CTCP-1701-WEEK-D1-015,06:42:00,06:42:00,CTCP-S094,44
CTCP-1701-WEEK-D1-015,06:43:00,06:43:00,CTCP-S095,45
CTCP-1701-WEEK-D1-015,06:44:00,06:44:00,CTCP-S096,46
CTCP-1701-WEEK-D1-015,06:45:00,06:45:00,CTCP-S001,47
