trip_id,arrival_time,departure_time,stop_id,stop_sequence
204_ida,07:50:00,07:50:00,PB,1
204_ida,07:56:00,07:56:00,PL,2
204_ida,08:08:00,08:08:00,GD,3
204_ida,08:15:00,08:15:00,VAL,4
204_volta,08:20:00,08:20:00,VAL,1
204_volta,08:27:00,08:27:00,GD,2
204_volta,08:39:00,08:39:00,PL,3
204_volta,08:45:00,08:45:00,PB,4
205_ida,06:30:00,06:30:00,PB,1
205_ida,06:34:00,06:34:00,IMP,2
205_ida,06:48:00,06:48:00,GD,3
205_ida,06:55:00,06:55:00,VAL,4
205_volta,07:00:00,07:00:00,VAL,1
205_volta,07:07:00,07:07:00,GD,2
205_volta,07:21:00,07:21:00,IMP,3
205_volta,07:25:00,07:25:00,PB,4
206_ida,07:10:00,07:10:00,PB,1
206_ida,07:16:00,07:16:00,PL,2
206_ida,07:29:00,07:29:00,GD,3
206_ida,07:37:00,07:37:00,VAL,4
206_volta,07:42:00,07:42:00,VAL,1
206_volta,07:50:00,07:50:00,GD,2
206_volta,08:03:00,08:03:00,PL,3
206_volta,08:09:00,08:09:00,PB,4
209_ida,05:20:00,05:20:00,PB,1
209_ida,05:24:00,05:24:00,IMP,2
209_ida,05:38:00,05:38:00,GD,3
209_ida,05:45:00,05:45:00,VAL,4
209_volta,05:50:00,05:50:00,VAL,1
209_volta,05:57:00,05:57:00,GD,2
209_volta,06:11:00,06:11:00,IMP,3
209_volta,06:15:00,06:15:00,PB,4
211_ida,08:00:00,08:00:00,PB,1
211_ida,08:04:00,08:04:00,IMP,2
211_ida,08:18:00,08:18:00,GD,3
211_ida,08:25:00,08:25:00,VAL,4
211_volta,08:30:00,08:30:00,VAL,1
211_volta,08:37:00,08:37:00,GD,2
211_volta,08:51:00,08:51:00,IMP,3
211_volta,08:55:00,08:55:00,PB,4
025_ida,06:00:00,06:00:00,BIN,1
025_ida,06:12:00,06:12:00,PL,2
025_ida,06:18:00,06:18:00,PCR,3
025_ida,06:28:00,06:28:00,QUI,4
025_volta,06:35:00,06:35:00,QUI,1
025_volta,06:45:00,06:45:00,PCR,2
025_volta,06:51:00,06:51:00,PL,3
025_volta,07:03:00,07:03:00,BIN,4
