route_id,route_short_name,route_long_name,route_type
300,300,Terminal Corrêas (via Quissamã) - Bosque do Imperador,3
301,301,Loteamento Samambaia (via Rua G),3
302,302,Floresta,3
303,303,Bela Vista,3
306,306,Bairro Esperança,3
307,307,Ponte Samambaia,3
309,309,Humberto Rovigatti,3
310,310,Spartaco Banal,3
311,311,Matriz de Cascatinha via Pedro Nava,3
312,312,Loteamento Samambaia - Noturno,3
314,314,Loteamento Samambaia,3
315,315,Loteamento Nova Cascatinha,3
316,316,Floresta via Francisco Scali,3
317,317,Bela Vista via Gregório Cruzick,3
318,318,Terminal Itamarati - Luiz Salomão Viana,3
319,319,Rodolfo A. Pires - Luiz Paulistano,3
321,321,Alto Alcobacinha,3
323,323,Ponte de Ferro via Bairro Esperança,3
324,324,Bairro Esperança (Extra),3
330,330,Terminal Corrêas via Pedro Elmer,3
340,340,Terminal Itamarati,3
360,360,Terminal Itamarati / Alto da Serra,3
370,370,Terminal Itamarati / Bingen,3
