route_id,service_id,trip_id,trip_headsign
002,weekday,002_ida_1,Faculdade de Odontologia
002,weekday,002_ida_2,Faculdade de Odontologia
002,weekday,002_volta_1,Terminal Central de Integração (TCI)
002,weekday,002_volta_2,Terminal Central de Integração (TCI)
101,weekday,101_ida_1,Jardim Monumento
101,weekday,101_ida_2,Jardim Monumento
101,weekday,101_volta_1,Terminal Central de Integração (TCI)
101,weekday,101_volta_2,Terminal Central de Integração (TCI)
200,weekday,200_ida_1,TCE Cecap / Eldorado
200,weekday,200_ida_2,TCE Cecap / Eldorado
200,weekday,200_volta_1,Terminal Piracicamirim (TPI)
200,weekday,200_volta_2,Terminal Piracicamirim (TPI)
