route_id,route_short_name,route_long_name,route_type
044,044,Jardim das Flores,3
045,045,Itaiacoca,3
047,047,Interbairros,3
048,048,Jardim Atlanta,3
049,049,Boa Vista,3
050,050,PLR UTFPR,3
052,052,PLR Siqueira Campos / Terminal Central,3
053,053,PLR Siqueira Campos / Terminal Oficinas,3
056,056,Buenos Aires,3
057,057,Costa Rica,3
058,058,Terminal Oficinas / Terminal Uvaranas Industrial,3
059,059,Ibirapuera,3
060,060,Jardim Maracana,3
061,061,Porto Seguro,3
062,062,Londres,3
063,063,Recanto Verde,3
064,064,Roma Canaa,3
066,066,Ouro Verde,3
067,067,UEPG-HU,3
068,068,Jardim Giana,3
069,069,Terminal Central / Terminal Oficinas,3
073,073,Terminal Uvaranas / Terminal Nova Russia,3
075,075,Parque dos Pinheiros,3
076,076,Sao Marcos,3
077,077,Lagoa Dourada,3
079,079,Sao Gabriel,3
082,082,Bocaina,3
083,083,Pronto Socorro,3
084,084,Terminal Oficinas / Terminal Nova Russia,3
085,085,Vila Romana,3
086,086,Dom Bosco,3
089,089,San Martin,3
095,095,Santa Luzia / Terminal Central,3
103,103,Vila Margarida,3
108,108,Borsato,3
110,110,UTFPR,3
112,112,Jardim Conceicao,3
119,119,Monteiro Lobato,3
123,123,Rio Pitangui,3
134,134,Shangrila / Nova Russia,3
135,135,Belem,3
136,136,Vicentina,3
140,140,Vila XV,3
143,143,Santa Luzia Bonsucesso,3
146,146,Vendrami,3
148,148,Jardim Amalia,3
151,151,Industrial,3
152,152,Guaragi,3
153,153,Vila Velha,3
154,154,Ildemira,3
162,162,Pimentel,3
163,163,Parque do Cafe,3
165,165,Santa Maria,3
167,167,Santa Tereza,3
169,169,Santo Antonio,3
170,170,Jardim Vila Velha,3
172,172,Vila Cristina,3
174,174,Gralha Azul,3
179,179,Sabara,3
180,180,Nucleo Cristo Rei,3
181,181,Maria Otilia,3
182,182,Los Angeles,3
184,184,Cristo Rei,3
185,185,Cara Cara,3
187,187,Paraiso,3
188,188,31 de Marco,3
189,189,Vila Rica,3
190,190,Chapada,3
191,191,Bonsucesso,3
192,192,Shangrila,3
193,193,Castanheira,3
194,194,Sao Francisco,3
195,195,Ronda Peixoto,3
196,196,Santa Terezinha,3
197,197,Santa Paula,3
198,198,Santa Monica,3
199,199,Santa Lucia,3
200,200,Ronda Antunes Duarte,3
202,202,Princesa Coronel Claudio L1,3
203,203,Parque Nossa Senhora das Gracas,3
204,204,Palmeirinha,3
205,205,Nucleo Pitangui Rio Verde,3
206,206,Marina,3
207,207,Vila Liane,3
208,208,Barauna,3
209,209,Barreto,3
211,211,Catarina Miro,3
212,212,Cachoeira,3
213,213,Esplanada,3
214,214,Guaira,3
215,215,Leila Maria,3
216,216,Santa Luzia / Terminal Nova Russia,3
218,218,Terminal Central / Terminal Nova Russia,3
219,219,Terminal Central / Terminal Uvaranas,3
