stop_id,stop_name,stop_lat,stop_lon
TC,Terminal Central (Rua Sergipe),-9.972618,-67.804686
TT,Terminal Tucuma / UFAC,-9.954803,-67.864364
SANTAINES,Santa Ines,-10.00682,-67.794957
TAQUARI,Taquari,-10.000217,-67.807805
SANTAMARIA,Santa Maria / Vila Acre,-10.064419,-67.763073
VILAACRE,Vila Acre,-10.036339,-67.798922
LIBERDADE,Liberdade,-10.066922,-67.788927
AMAPA,Amapa,-10.013905,-67.81089
CANAA,06 de Agosto / Canaa,-10.00896,-67.774283
BELOJARDIM,Belo Jardim,-10.00896,-67.774283
BENFICA,Polo Benfica,-10.05536,-67.77453
CIDADEPOVO,Cidade do Povo,-10.031361,-67.748596
BAIXAVERDE,Baixa Verde,-9.944461,-67.869544
TANCREDO,Tancredo Neves,-9.930789,-67.83239
ADALBERTO,Adalberto Sena,-9.999488,-67.833991
ALTOALEGRE,Alto Alegre,-9.928641,-67.826661
MOCINHA,Mocinha Magalhaes,-9.932656,-67.851147
IRINEU,Irineu Serra,-9.932656,-67.851147
UFAC,UFAC,-9.954803,-67.864364
FUNDHACRE,Fundhacre / Nova Esperanca,-9.972618,-67.804686
FLORESTA,Floresta / Shopping,-9.972922,-67.83128
DISTRITO,Distrito Industrial,-9.944461,-67.869544
CALAFATE,Calafate / Ilson Ribeiro,-9.977137,-67.876604
ESPERANCA,Conjunto Esperanca,-9.951547,-67.813436
JEQUITIBA,Jequitiba,-9.959321,-67.844917
MANOEL,Manoel Juliao,-9.956508,-67.833152
PALHEIRAL,Bahia / Palheiral,-9.987386,-67.822011
AEROVELHO,Aeroporto Velho / Cabreuva,-9.997232,-67.821168
SOBRAL,Sobral,-9.997232,-67.821168
TRANSACRE,Transacreana KM 44,-9.944461,-67.869544
SAOFRANCISCO,Sao Francisco / Placas,-9.963427,-67.797216
MANGUEIRA,Apolonio Sales / Mangueira,-9.963427,-67.797216
WANDERLEY,Wanderley Dantas,-9.937693,-67.820336
PANORAMA,Panorama,-9.942922,-67.784468
TROPICAL,Tropical,-9.972618,-67.804686
CADEIAVELHA,Cohab do Bosque / Cadeia Velha,-9.971218,-67.79397
RECANTO,Recanto dos Buritis,-10.00896,-67.774283
