route_id,service_id,trip_id,trip_headsign
101,WEEK,101_WEEK_0,Terminal Central
101,WEEK,101_WEEK_1,Santa Ines
101,SAT,101_SAT_0,Terminal Central
101,SAT,101_SAT_1,Santa Ines
101,SUN,101_SUN_0,Terminal Central
101,SUN,101_SUN_1,Santa Ines
102A,WEEK,102A_WEEK_0,Terminal Central
102A,WEEK,102A_WEEK_1,Taquari
103,WEEK,103_WEEK_0,Terminal Central
103,WEEK,103_WEEK_1,Santa Maria / Vila Acre
104,WEEK,104_WEEK_0,Terminal Central
104,WEEK,104_WEEK_1,Liberdade
105,WEEK,105_WEEK_0,Terminal Central
105,WEEK,105_WEEK_1,Amapa
106,WEEK,106_WEEK_0,Terminal Central
106,WEEK,106_WEEK_1,06 de Agosto / Canaa
107,WEEK,107_WEEK_0,Terminal Central
107,WEEK,107_WEEK_1,Recanto dos Buritis
108,WEEK,108_WEEK_0,Terminal Central
108,WEEK,108_WEEK_1,Belo Jardim
109,WEEK,109_WEEK_0,Terminal Central
109,WEEK,109_WEEK_1,Polo Benfica
113,WEEK,113_WEEK_0,Terminal Central
113,WEEK,113_WEEK_1,Belo Jardim
116A,WEEK,116A_WEEK_0,Terminal Central
116A,WEEK,116A_WEEK_1,Cidade do Povo
116B,WEEK,116B_WEEK_0,Terminal Central
116B,WEEK,116B_WEEK_1,Cidade do Povo
117,WEEK,117_WEEK_0,Terminal Central
117,WEEK,117_WEEK_1,Belo Jardim
118,WEEK,118_WEEK_0,Terminal Central
118,WEEK,118_WEEK_1,Belo Jardim
134,WEEK,134_WEEK_0,Terminal Central
134,WEEK,134_WEEK_1,Baixa Verde
201,WEEK,201_WEEK_0,Terminal Central
201,WEEK,201_WEEK_1,Tancredo Neves
201,SAT,201_SAT_0,Terminal Central
201,SAT,201_SAT_1,Tancredo Neves
201,SUN,201_SUN_0,Terminal Central
201,SUN,201_SUN_1,Tancredo Neves
202,WEEK,202_WEEK_0,Terminal Central
202,WEEK,202_WEEK_1,Adalberto Sena
203,WEEK,203_WEEK_0,Terminal Central
203,WEEK,203_WEEK_1,Alto Alegre
204,WEEK,204_WEEK_0,Terminal Central
204,WEEK,204_WEEK_1,Mocinha Magalhaes
205,WEEK,205_WEEK_0,Terminal Central
205,WEEK,205_WEEK_1,Irineu Serra
302,WEEK,302_WEEK_0,Terminal Tucuma
302,WEEK,302_WEEK_1,UFAC
302,SAT,302_SAT_0,Terminal Tucuma
302,SAT,302_SAT_1,UFAC
303,WEEK,303_WEEK_0,Terminal Tucuma
303,WEEK,303_WEEK_1,UFAC
306,WEEK,306_WEEK_0,Terminal Tucuma
306,WEEK,306_WEEK_1,Cidade do Povo
401,WEEK,401_WEEK_0,Terminal Central
401,WEEK,401_WEEK_1,Fundhacre / Nova Esperanca
402,WEEK,402_WEEK_0,Terminal Central
402,WEEK,402_WEEK_1,Floresta / Shopping
403,WEEK,403_WEEK_0,Terminal Central
403,WEEK,403_WEEK_1,Distrito Industrial
404A,WEEK,404A_WEEK_0,Terminal Central
404A,WEEK,404A_WEEK_1,Calafate / Ilson Ribeiro
405,WEEK,405_WEEK_0,Terminal Central
405,WEEK,405_WEEK_1,Conjunto Esperanca
406A,WEEK,406A_WEEK_0,Terminal Central
406A,WEEK,406A_WEEK_1,Jequitiba
501,WEEK,501_WEEK_0,Terminal Central
501,WEEK,501_WEEK_1,Manoel Juliao
601,WEEK,601_WEEK_0,Terminal Central
601,WEEK,601_WEEK_1,Bahia / Palheiral
602A,WEEK,602A_WEEK_0,Terminal Central
602A,WEEK,602A_WEEK_1,Aeroporto Velho / Cabreuva
603,WEEK,603_WEEK_0,Terminal Central
603,WEEK,603_WEEK_1,Sobral
606,WEEK,606_WEEK_0,Terminal Central
606,WEEK,606_WEEK_1,Transacreana KM 44
701,WEEK,701_WEEK_0,Terminal Central
701,WEEK,701_WEEK_1,Sao Francisco / Placas
702A,WEEK,702A_WEEK_0,Terminal Central
702A,WEEK,702A_WEEK_1,Apolonio Sales / Mangueira
703,WEEK,703_WEEK_0,Terminal Central
703,WEEK,703_WEEK_1,Wanderley Dantas
706,WEEK,706_WEEK_0,Terminal Central
706,WEEK,706_WEEK_1,Panorama
801,WEEK,801_WEEK_0,Terminal Central
801,WEEK,801_WEEK_1,Tropical
901,WEEK,901_WEEK_0,Terminal Central
901,WEEK,901_WEEK_1,Cohab do Bosque / Cadeia Velha
