trip_id,arrival_time,departure_time,stop_id,stop_sequence
R1_WD_d0,05:30:00,05:30:00,st_central_do_brasil,1
R1_WD_d0,05:33:00,05:33:00,st_praca_da_bandeira,2
R1_WD_d0,05:36:00,05:36:00,st_sao_cristovao,3
R1_WD_d0,05:39:00,05:39:00,st_maracana,4
R1_WD_d0,05:42:00,05:42:00,st_mangueira,5
R1_WD_d0,05:45:00,05:45:00,st_sao_francisco_xavier,6
R1_WD_d0,05:48:00,05:48:00,st_riachuelo,7
R1_WD_d0,05:51:00,05:51:00,st_sampaio,8
R1_WD_d0,05:54:00,05:54:00,st_engenho_novo,9
R1_WD_d0,05:57:00,05:57:00,st_meier,10
R1_WD_d0,06:00:00,06:00:00,st_engenho_de_dentro,11
R1_WD_d0,06:03:00,06:03:00,st_piedade,12
R1_WD_d0,06:06:00,06:06:00,st_quintino,13
R1_WD_d0,06:09:00,06:09:00,st_cascadura,14
R1_WD_d0,06:12:00,06:12:00,st_madureira,15
R1_WD_d0,06:15:00,06:15:00,st_oswaldo_cruz,16
R1_WD_d0,06:18:00,06:18:00,st_prefeito_bento_ribeiro,17
R1_WD_d0,06:21:00,06:21:00,st_marechal_hermes,18
R1_WD_d0,06:24:00,06:24:00,st_deodoro,19
R1_WD_d1,17:00:00,17:00:00,st_deodoro,1
R1_WD_d1,17:03:00,17:03:00,st_marechal_hermes,2
R1_WD_d1,17:06:00,17:06:00,st_prefeito_bento_ribeiro,3
R1_WD_d1,17:09:00,17:09:00,st_oswaldo_cruz,4
R1_WD_d1,17:12:00,17:12:00,st_madureira,5
R1_WD_d1,17:15:00,17:15:00,st_cascadura,6
R1_WD_d1,17:18:00,17:18:00,st_quintino,7
R1_WD_d1,17:21:00,17:21:00,st_piedade,8
R1_WD_d1,17:24:00,17:24:00,st_engenho_de_dentro,9
R1_WD_d1,17:27:00,17:27:00,st_meier,10
R1_WD_d1,17:30:00,17:30:00,st_engenho_novo,11
R1_WD_d1,17:33:00,17:33:00,st_sampaio,12
R1_WD_d1,17:36:00,17:36:00,st_riachuelo,13
R1_WD_d1,17:39:00,17:39:00,st_sao_francisco_xavier,14
R1_WD_d1,17:42:00,17:42:00,st_mangueira,15
R1_WD_d1,17:45:00,17:45:00,st_maracana,16
R1_WD_d1,17:48:00,17:48:00,st_sao_cristovao,17
R1_WD_d1,17:51:00,17:51:00,st_praca_da_bandeira,18
R1_WD_d1,17:54:00,17:54:00,st_central_do_brasil,19
R1_WE_d0,08:00:00,08:00:00,st_central_do_brasil,1
R1_WE_d0,08:24:00,08:24:00,st_engenho_novo,9
R1_WE_d0,08:54:00,08:54:00,st_deodoro,19
R1_WE_d1,18:00:00,18:00:00,st_deodoro,1
R1_WE_d1,18:54:00,18:54:00,st_central_do_brasil,19
R2_WD_d0,05:30:00,05:30:00,st_central_do_brasil,1
R2_WD_d0,05:33:00,05:33:00,st_sao_cristovao,2
R2_WD_d0,05:36:00,05:36:00,st_maracana,3
R2_WD_d0,05:39:00,05:39:00,st_silva_freire,4
R2_WD_d0,05:42:00,05:42:00,st_engenho_de_dentro,5
R2_WD_d0,05:45:00,05:45:00,st_madureira,6
R2_WD_d0,05:48:00,05:48:00,st_deodoro,7
R2_WD_d0,05:51:00,05:51:00,st_vila_militar,8
R2_WD_d0,05:54:00,05:54:00,st_magalhaes_bastos,9
R2_WD_d0,05:57:00,05:57:00,st_realengo,10
R2_WD_d0,06:00:00,06:00:00,st_mocidade_padre_miguel,11
R2_WD_d0,06:03:00,06:03:00,st_guilherme_da_silveira,12
R2_WD_d0,06:06:00,06:06:00,st_bangu,13
R2_WD_d0,06:09:00,06:09:00,st_senador_camara,14
R2_WD_d0,06:12:00,06:12:00,st_santissimo,15
R2_WD_d0,06:15:00,06:15:00,st_augusto_vasconcelos,16
R2_WD_d0,06:18:00,06:18:00,st_campo_grande,17
R2_WD_d0,06:21:00,06:21:00,st_benjamim_do_monte,18
R2_WD_d0,06:24:00,06:24:00,st_inhoaiba,19
R2_WD_d0,06:27:00,06:27:00,st_cosmos,20
R2_WD_d0,06:30:00,06:30:00,st_paciencia,21
R2_WD_d0,06:33:00,06:33:00,st_tancredo_neves,22
R2_WD_d0,06:36:00,06:36:00,st_santa_cruz,23
R2_WD_d1,17:00:00,17:00:00,st_santa_cruz,1
R2_WD_d1,17:33:00,17:33:00,st_guilherme_da_silveira,12
R2_WD_d1,18:06:00,18:06:00,st_central_do_brasil,23
R2_WE_d0,08:00:00,08:00:00,st_central_do_brasil,1
R2_WE_d0,09:06:00,09:06:00,st_santa_cruz,23
R2_WE_d1,18:00:00,18:00:00,st_santa_cruz,1
R2_WE_d1,19:06:00,19:06:00,st_central_do_brasil,23
R3_WD_d0,05:30:00,05:30:00,st_central_do_brasil,1
R3_WD_d0,05:33:00,05:33:00,st_sao_cristovao,2
R3_WD_d0,05:36:00,05:36:00,st_maracana,3
R3_WD_d0,05:39:00,05:39:00,st_silva_freire,4
R3_WD_d0,05:42:00,05:42:00,st_engenho_de_dentro,5
R3_WD_d0,05:45:00,05:45:00,st_madureira,6
R3_WD_d0,05:48:00,05:48:00,st_deodoro,7
R3_WD_d0,05:51:00,05:51:00,st_ricardo_de_albuquerque,8
R3_WD_d0,05:54:00,05:54:00,st_anchieta,9
R3_WD_d0,05:57:00,05:57:00,st_olinda,10
R3_WD_d0,06:00:00,06:00:00,st_nilopolis,11
R3_WD_d0,06:03:00,06:03:00,st_edson_passos,12
R3_WD_d0,06:06:00,06:06:00,st_mesquita,13
R3_WD_d0,06:09:00,06:09:00,st_presidente_juscelino,14
R3_WD_d0,06:12:00,06:12:00,st_nova_iguacu,15
R3_WD_d0,06:15:00,06:15:00,st_comendador_soares,16
R3_WD_d0,06:18:00,06:18:00,st_austin,17
R3_WD_d0,06:21:00,06:21:00,st_queimados,18
R3_WD_d0,06:24:00,06:24:00,st_engenheiro_pedreira,19
R3_WD_d0,06:27:00,06:27:00,st_japeri,20
R3_WD_d1,17:00:00,17:00:00,st_japeri,1
R3_WD_d1,17:57:00,17:57:00,st_central_do_brasil,20
R3_WE_d0,08:00:00,08:00:00,st_central_do_brasil,1
R3_WE_d0,08:57:00,08:57:00,st_japeri,20
R3_WE_d1,18:00:00,18:00:00,st_japeri,1
R3_WE_d1,18:57:00,18:57:00,st_central_do_brasil,20
R4_WD_d0,06:30:00,06:30:00,st_japeri,1
R4_WD_d0,06:33:00,06:33:00,st_lages,2
R4_WD_d0,06:36:00,06:36:00,st_paracambi,3
R4_WD_d1,17:00:00,17:00:00,st_paracambi,1
R4_WD_d1,17:03:00,17:03:00,st_lages,2
R4_WD_d1,17:06:00,17:06:00,st_japeri,3
R4_WE_d0,09:00:00,09:00:00,st_japeri,1
R4_WE_d0,09:03:00,09:03:00,st_lages,2
R4_WE_d0,09:06:00,09:06:00,st_paracambi,3
R4_WE_d1,18:00:00,18:00:00,st_paracambi,1
R4_WE_d1,18:03:00,18:03:00,st_lages,2
R4_WE_d1,18:06:00,18:06:00,st_japeri,3
R5_WD_d0,05:30:00,05:30:00,st_central_do_brasil,1
R5_WD_d0,05:33:00,05:33:00,st_sao_cristovao,2
R5_WD_d0,05:36:00,05:36:00,st_maracana,3
R5_WD_d0,05:39:00,05:39:00,st_triagem,4
R5_WD_d0,05:42:00,05:42:00,st_jacarezinho,5
R5_WD_d0,05:45:00,05:45:00,st_del_castilho,6
R5_WD_d0,05:48:00,05:48:00,st_pilares,7
R5_WD_d0,05:51:00,05:51:00,st_tomas_coelho,8
R5_WD_d0,05:54:00,05:54:00,st_cavalcanti,9
R5_WD_d0,05:57:00,05:57:00,st_mercadao_de_madureira,10
R5_WD_d0,06:00:00,06:00:00,st_rocha_miranda,11
R5_WD_d0,06:03:00,06:03:00,st_honorio_gurgel,12
R5_WD_d0,06:06:00,06:06:00,st_barros_filho,13
R5_WD_d0,06:09:00,06:09:00,st_costa_barros,14
R5_WD_d0,06:12:00,06:12:00,st_pavuna,15
R5_WD_d0,06:15:00,06:15:00,st_vila_rosali,16
R5_WD_d0,06:18:00,06:18:00,st_agostinho_porto,17
R5_WD_d0,06:21:00,06:21:00,st_coelho_da_rocha,18
R5_WD_d0,06:24:00,06:24:00,st_belford_roxo,19
R5_WD_d1,17:00:00,17:00:00,st_belford_roxo,1
R5_WD_d1,17:54:00,17:54:00,st_central_do_brasil,19
R5_WE_d0,08:00:00,08:00:00,st_central_do_brasil,1
R5_WE_d0,08:54:00,08:54:00,st_belford_roxo,19
R5_WE_d1,18:00:00,18:00:00,st_belford_roxo,1
R5_WE_d1,18:54:00,18:54:00,st_central_do_brasil,19
R6_WD_d0,05:30:00,05:30:00,st_central_do_brasil,1
R6_WD_d0,05:33:00,05:33:00,st_sao_cristovao,2
R6_WD_d0,05:36:00,05:36:00,st_maracana,3
