trip_id,arrival_time,departure_time,stop_id,stop_sequence
I-05_ida,04:00:00,04:00:00,PCA_VILA_RICA,1
I-05_ida,04:18:00,04:18:00,TERM_OESTE,2
I-05_ida,04:22:00,04:22:00,TERM_LESTE,3
I-05_ida,04:40:00,04:40:00,EST_UTINGA,4
I-05_volta,05:00:00,05:00:00,EST_UTINGA,1
I-05_volta,05:18:00,05:18:00,TERM_LESTE,2
I-05_volta,05:22:00,05:22:00,TERM_OESTE,3
I-05_volta,05:40:00,05:40:00,PCA_VILA_RICA,4
T-15_ida,04:00:00,04:00:00,JD_GUARARA,1
T-15_ida,04:18:00,04:18:00,PCA_ADEMAR,2
T-15_ida,04:25:00,04:25:00,TERM_OESTE,3
T-15_volta,04:40:00,04:40:00,TERM_OESTE,1
T-15_volta,04:47:00,04:47:00,PCA_ADEMAR,2
T-15_volta,05:05:00,05:05:00,JD_GUARARA,3
T-24_ida,05:00:00,05:00:00,EST_STO_ANDRE,1
T-24_ida,05:05:00,05:05:00,TERM_LESTE,2
T-24_ida,05:22:00,05:22:00,EST_UTINGA,3
T-24_volta,05:30:00,05:30:00,EST_UTINGA,1
T-24_volta,05:47:00,05:47:00,TERM_LESTE,2
T-24_volta,05:52:00,05:52:00,EST_STO_ANDRE,3
S-60_ida,05:00:00,05:00:00,PCA_VILA_RICA,1
S-60_ida,05:18:00,05:18:00,PCA_ADEMAR,2
S-60_ida,05:25:00,05:25:00,TERM_OESTE,3
S-60_volta,05:40:00,05:40:00,TERM_OESTE,1
S-60_volta,05:47:00,05:47:00,PCA_ADEMAR,2
S-60_volta,06:05:00,06:05:00,PCA_VILA_RICA,3
