trip_id,arrival_time,departure_time,stop_id,stop_sequence
305_WK_01,05:45:00,05:45:00,SL305_01,1
305_WK_01,05:48:00,05:48:00,SL305_02,2
305_WK_01,05:52:00,05:52:00,SL305_03,3
305_WK_01,05:55:00,05:55:00,SL305_04,4
305_WK_01,05:59:00,05:59:00,SL305_05,5
305_WK_01,06:04:00,06:04:00,SL305_06,6
305_WK_01,06:09:00,06:09:00,SL305_07,7
305_WK_01,06:12:00,06:12:00,SL305_08,8
305_WK_01,06:15:00,06:15:00,SL305_09,9
305_WK_01,06:19:00,06:19:00,SL305_10,10
305_WK_01,06:22:00,06:22:00,SL305_11,11
305_WK_01,06:25:00,06:25:00,SL305_12,12
305_WK_15,08:50:00,08:50:00,SL305_01,1
305_WK_15,08:53:00,08:53:00,SL305_02,2
305_WK_15,08:57:00,08:57:00,SL305_03,3
305_WK_15,09:00:00,09:00:00,SL305_04,4
305_WK_15,09:04:00,09:04:00,SL305_05,5
305_WK_15,09:09:00,09:09:00,SL305_06,6
305_WK_15,09:14:00,09:14:00,SL305_07,7
305_WK_15,09:17:00,09:17:00,SL305_08,8
305_WK_15,09:20:00,09:20:00,SL305_09,9
305_WK_15,09:24:00,09:24:00,SL305_10,10
305_WK_15,09:27:00,09:27:00,SL305_11,11
305_WK_15,09:30:00,09:30:00,SL305_12,12
305_WK_41,19:05:00,19:05:00,SL305_01,1
305_WK_41,19:08:00,19:08:00,SL305_02,2
305_WK_41,19:12:00,19:12:00,SL305_03,3
305_WK_41,19:15:00,19:15:00,SL305_04,4
305_WK_41,19:19:00,19:19:00,SL305_05,5
305_WK_41,19:24:00,19:24:00,SL305_06,6
305_WK_41,19:29:00,19:29:00,SL305_07,7
305_WK_41,19:32:00,19:32:00,SL305_08,8
305_WK_41,19:35:00,19:35:00,SL305_09,9
305_WK_41,19:39:00,19:39:00,SL305_10,10
305_WK_41,19:42:00,19:42:00,SL305_11,11
305_WK_41,19:45:00,19:45:00,SL305_12,12
305_WE_01,06:40:00,06:40:00,SL305_01,1
305_WE_01,06:43:00,06:43:00,SL305_02,2
305_WE_01,06:47:00,06:47:00,SL305_03,3
305_WE_01,06:50:00,06:50:00,SL305_04,4
305_WE_01,06:54:00,06:54:00,SL305_05,5
305_WE_01,06:59:00,06:59:00,SL305_06,6
305_WE_01,07:04:00,07:04:00,SL305_07,7
305_WE_01,07:07:00,07:07:00,SL305_08,8
305_WE_01,07:10:00,07:10:00,SL305_09,9
305_WE_01,07:14:00,07:14:00,SL305_10,10
305_WE_01,07:17:00,07:17:00,SL305_11,11
305_WE_01,07:20:00,07:20:00,SL305_12,12
305_WE_19,18:40:00,18:40:00,SL305_01,1
305_WE_19,18:43:00,18:43:00,SL305_02,2
305_WE_19,18:47:00,18:47:00,SL305_03,3
305_WE_19,18:50:00,18:50:00,SL305_04,4
305_WE_19,18:54:00,18:54:00,SL305_05,5
305_WE_19,18:59:00,18:59:00,SL305_06,6
305_WE_19,19:04:00,19:04:00,SL305_07,7
305_WE_19,19:07:00,19:07:00,SL305_08,8
305_WE_19,19:10:00,19:10:00,SL305_09,9
305_WE_19,19:14:00,19:14:00,SL305_10,10
305_WE_19,19:17:00,19:17:00,SL305_11,11
305_WE_19,19:20:00,19:20:00,SL305_12,12
