stop_id,stop_name,stop_lat,stop_lon
T_URBANO,Terminal Urbano (Rua Bernardino de Campos),-20.8125,-49.3789
TIRADENTES,Rua Tiradentes (Centro),-20.8158,-49.3811
JAGUARE,Jaguaré (Rua Jordão Reis),-20.7995,-49.4185
DIST_IND,Distrito Industrial (Rua João Mesquita),-20.7723,-49.4055
AV_ESTUDANTES,Avenida dos Estudantes,-20.7905,-49.3975
VETORASSO,Av. João Batista Vetorasso,-20.7815,-49.4025
SHOP_IGUATEMI,Shopping Iguatemi (Av. JK de Oliveira),-20.7854,-49.3585
JOSE_MUNIA,Avenida José Munia,-20.8035,-49.3705
SAO_DEOCLECIANO,São Deocleciano,-20.7855,-49.3925
SOLO_SAGRADO,Solo Sagrado,-20.7565,-49.4235
HIGIENOPOLIS,Higienópolis,-20.7975,-49.3685
ELDORADO,Eldorado,-20.8455,-49.3985
CRISTO_REI,Cristo Rei,-20.8265,-49.4085
VILA_TONINHO,Vila Toninho,-20.8385,-49.3915
MARIA_LUCIA,Jardim Maria Lúcia,-20.8525,-49.3745
TALHADO,Talhado,-20.7385,-49.3925
BREJO_ALEGRE,Brejo Alegre,-20.8195,-49.4225
