route_id,service_id,trip_id,trip_headsign
R108,WKD,T108_out_wk,Jaguaré
R108,WKD,T108_in_wk,Terminal Urbano
R108,SAT,T108_out_sat,Jaguaré
R108,SAT,T108_in_sat,Terminal Urbano
R209,WKD,T209_out_wk,Distrito Industrial
R209,WKD,T209_in_wk,Terminal Urbano
R209,SAT,T209_out_sat,Distrito Industrial
R209,SAT,T209_in_sat,Terminal Urbano
R309,WKD,T309_out_wk,Shopping
R309,WKD,T309_in_wk,Terminal Urbano
R309,SAT,T309_out_sat,Shopping
R309,SUN,T309_out_sun,Shopping
R40,WKD,T40_out,Noturna Santo Antônio
R40,WKD,T40_in,Terminal Urbano
R41,WKD,T41_out,Solo Sagrado
R41,WKD,T41_in,Terminal Urbano
R42,WKD,T42_out,Jaguaré
R42,WKD,T42_in,Terminal Urbano
R59,WKD,T59_out,Extra Unip
R59,WKD,T59_in,Terminal Urbano
R61,WKD,T61_out,Extra Sesi
R61,WKD,T61_in,Terminal Urbano
R62,WKD,T62_out,Extra Unesp
R62,WKD,T62_in,Terminal Urbano
R85,WKD,T85_out,Extra Philadelpho
R85,WKD,T85_in,Terminal Urbano
R311,WKD,T311_out,Extra IURD
R311,WKD,T311_in,Terminal Urbano
R103,WKD,T103_out,Duas Vendas
R103,WKD,T103_in,Terminal Urbano
R106_1,WKD,T106.1_out,Jardim do Lago via Castelinho
R106_1,WKD,T106.1_in,Terminal Urbano
R107,WKD,T107_out,São Deocleciano
R107,WKD,T107_in,Terminal Urbano
R110,WKD,T110_out,Distrito Carlos Arnaldo
R110,WKD,T110_in,Terminal Urbano
R111_2,WKD,T111.2_out,Cavalari via Santa Clara
R111_2,WKD,T111.2_in,Terminal Urbano
R112,WKD,T112_out,Jardim Primavera
R112,WKD,T112_in,Terminal Urbano
R113,WKD,T113_out,Talhado
R113,WKD,T113_in,Terminal Urbano
R114,WKD,T114_out,Jardim Sônia
R114,WKD,T114_in,Terminal Urbano
R115,WKD,T115_out,Vila Elmaz
R115,WKD,T115_in,Terminal Urbano
R116,WKD,T116_out,São Felício
R116,WKD,T116_in,Terminal Urbano
R118,WKD,T118_out,Luz da Esperança via Parque da Liberdade
R118,WKD,T118_in,Terminal Urbano
R121,WKD,T121_out,Lealdade
R121,WKD,T121_in,Terminal Urbano
R122,WKD,T122_out,Solidariedade
R122,WKD,T122_in,Terminal Urbano
R200,WKD,T200_out,Jardim Maria Lúcia
R200,WKD,T200_in,Terminal Urbano
R202,WKD,T202_out,Nato Vetorazzo
R202,WKD,T202_in,Terminal Urbano
R203,WKD,T203_out,Jardim Santo Antônio
R203,WKD,T203_in,Terminal Urbano
R204,WKD,T204_out,Parque Cidadania
R204,WKD,T204_in,Terminal Urbano
R205,WKD,T205_out,Itapema
R205,WKD,T205_in,Terminal Urbano
R206,WKD,T206_out,Jardim Nunes
R206,WKD,T206_in,Terminal Urbano
R208,WKD,T208_out,São Jorge via Residencial América
R208,WKD,T208_in,Terminal Urbano
R210,WKD,T210_out,Eldorado
R210,WKD,T210_in,Terminal Urbano
R211,WKD,T211_out,Boa Vista
R211,WKD,T211_in,Terminal Urbano
R212,WKD,T212_out,Parque do Sol
R212,WKD,T212_in,Terminal Urbano
R214,WKD,T214_out,Avenida Mirassolândia
R214,WKD,T214_in,Terminal Urbano
R216,WKD,T216_out,Solo Sagrado
R216,WKD,T216_in,Terminal Urbano
R217,WKD,T217_out,Solo Sagrado via Mirassolândia
R217,WKD,T217_in,Terminal Urbano
R218,WKD,T218_out,Parque Nova Esperança
R218,WKD,T218_in,Terminal Urbano
R219,WKD,T219_out,Parque Dignidade
R219,WKD,T219_in,Terminal Urbano
R220,WKD,T220_out,Vida Nova Rio Preto
R220,WKD,T220_in,Terminal Urbano
R301,WKD,T301_out,Débora Cristina
R301,WKD,T301_in,Terminal Urbano
R302,WKD,T302_out,Vila Azul
R302,WKD,T302_in,Terminal Urbano
R303,WKD,T303_out,Jardim Urano
R303,WKD,T303_in,Terminal Urbano
R304,WKD,T304_out,Higienópolis
R304,WKD,T304_in,Terminal Urbano
R305,WKD,T305_out,Avenida José Munia
R305,WKD,T305_in,Terminal Urbano
R306,WKD,T306_out,São Francisco
R306,WKD,T306_in,Terminal Urbano
R307,WKD,T307_out,Jardim Tarraf
R307,WKD,T307_in,Terminal Urbano
R308,WKD,T308_out,Jardim Maracanã
R308,WKD,T308_in,Terminal Urbano
R310,WKD,T310_out,Shopping Iguatemi
R310,WKD,T310_in,Terminal Urbano
R312,WKD,T312_out,Navarrete
R312,WKD,T312_in,Terminal Urbano
R315,WKD,T315_out,Shopping Plaza
R315,WKD,T315_in,Terminal Urbano
R401,WKD,T401_out,Cidade Jardim
R401,WKD,T401_in,Terminal Urbano
R402,WKD,T402_out,Cristo Rei
R402,WKD,T402_in,Terminal Urbano
R405,WKD,T405_out,Jardim Yolanda
R405,WKD,T405_in,Terminal Urbano
R406,WKD,T406_out,Brejo Alegre
