route_id,service_id,trip_id,trip_headsign
T302,WEEKDAY,T302_D0_1,ITAQUI / TERMINAL PRAIA GRANDE
T302,WEEKDAY,T302_D1_1,ITAQUI / TERMINAL PRAIA GRANDE
A311,WEEKDAY,A311_D0_1,CAMPUS UFMA / TERMINAL PRAIA GRANDE
A311,WEEKDAY,A311_D1_1,CAMPUS UFMA / TERMINAL PRAIA GRANDE
A313,DAILY,A313_D0_1,TAMANCÃO / TERMINAL PRAIA GRANDE
A313,DAILY,A313_D1_1,TAMANCÃO / TERMINAL PRAIA GRANDE
A321,MONSAT,A321_D0_1,SÁ VIANA / TERMINAL PRAIA GRANDE
A321,MONSAT,A321_D1_1,SÁ VIANA / TERMINAL PRAIA GRANDE
T005,DAILY,T005_D0_1,PEDRINHAS / TERMINAL PRAIA GRANDE
T005,DAILY,T005_D1_1,PEDRINHAS / TERMINAL PRAIA GRANDE
A401,DAILY,A401_D0_1,PENÍNSULA / TERMINAL PRAIA GRANDE
A401,DAILY,A401_D1_1,PENÍNSULA / TERMINAL PRAIA GRANDE
