route_id,route_short_name,route_long_name,route_type
245,245,VALE DO GAVIÃO - SANTA BÁRBARA via DOM SEVERINO,3
365,365,UNIVERSIDADE CIRCULAR 2,3
401,401,UNIVERSIDADE,3
402,402,VILA BANDEIRANTE - PLANALTO ININGA via FREI SERAFIM,3
403,403,VILA BANDEIRANTE - SATÉLITE via DOM SEVERINO,3
404,404,VILA BANDEIRANTE via DOM SEVERINO,3
405,405,PLANALTO URUGUAI / SHOPPING,3
501,501,ANITA FERRAZ,3
502,502,SOCOPO - CIDADE JARDIM via SÃO CRISTÓVÃO,3
503,503,VILA BANDEIRANTE - SATÉLITE via SÃO CRISTÓVÃO,3
512,512,VILA BANDEIRANTE - MORADA DO SOL via SÃO CRISTÓVÃO,3
513,513,PLANALTO URUGUAI via SÃO CRISTÓVÃO,3
518,518,PEDRA MOLE - VILA DO AVIÃO via SÃO CRISTÓVÃO,3
521,521,NOVA TERESINA via SÃO CRISTÓVÃO,3
522,522,VALE DO GAVIÃO via SÃO CRISTÓVÃO,3
523,523,SOCOPO - MORROS via SÃO CRISTÓVÃO,3
610,610,TRÊS ANDARES - CIDADE NOVA / MONTE CASTELO,3
