stop_id,stop_name,stop_lat,stop_lon
TA_TERMINAL,Terminal dos Três Andares,-5.11369,-42.78637
CIDADE_NOVA,Cidade Nova | Av. Gil Martins,-5.107,-42.781
ITARARE,Itararé,-5.102,-42.789
BARAO_CB,Avenida Barão de Castelo Branco,-5.096,-42.798
FREI_SERAFIM,Frei Serafim / Parque da Cidadania,-5.08964,-42.80959
PRACA_BANDEIRA,Praça da Bandeira,-5.09077,-42.81806
CENTRO,Centro (Praça Rio Branco),-5.0892,-42.8019
MONTE_CASTELO,Monte Castelo,-5.099,-42.812
T_BANDEIRANTE,Terminal da Vila Bandeirante,-5.051,-42.754
MERCADO_PRODUTOR,Parada Final / Mercado do Produtor,-5.0777,-42.7898
DOM_SEVERINO,Av. Dom Severino,-5.066,-42.779
SAO_CRISTOVAO,Av. São Cristóvão,-5.061,-42.769
UNIVERSIDADE,Universidade (UFPI/Ininga),-5.0543,-42.7843
SOCOPO,Socopo,-5.031,-42.746
SATELITE,Satélite / UPA,-5.044,-42.741
VALE_GAVIAO,Vale do Gavião,-5.038,-42.732
PLANALTO_URUGUAI,Planalto Uruguai / Shopping,-5.069,-42.75
PEDRA_MOLE,Pedra Mole,-5.029,-42.725
ANITA_FERRAZ,Anita Ferraz,-5.059,-42.759
SANTA_BARBARA,Santa Bárbara,-5.035,-42.748
MORADA_SOL,Morada do Sol,-5.042,-42.739
NOVA_TERESINA,Nova Teresina,-5.022,-42.72
