stop_id,stop_name,stop_lat,stop_lon
MET_ALB,Eng. Alberto Tavares Silva,-5.0918971,-42.8189686
MET_MAT,Matinha,-5.0817886,-42.8221576
MET_FRE,Frei Serafim,-5.0845617,-42.8038227
MET_ILH,Ilhotas,-5.09311,-42.78817
MET_SJO,São João,-5.0939125,-42.7646431
MET_BOA,Boa Esperança,-5.0930817,-42.7544155
MET_REN,Renascença,-5.098695,-42.7449003
MET_PID,Parque Ideal,-5.1042444,-42.7462238
MET_DIR,Dirceu II,-5.1081478,-42.7550589
MET_ITA,Itararé,-5.1109616,-42.7614438
TPP,Terminal Parque Piauí,-5.1306,-42.7756
TBV,Terminal Bela Vista,-5.1306,-42.7756
TMC,Terminal do Mário Covas,,
SHOP,Shopping (Riverside/Teresina Shopping),-5.0785136,-42.7970337
PROM,Promorar,-5.149222222,-42.785666666
CENTRO,Centro / Praça Pedro II,-5.091852142,-42.812736859
BGURG,Barão de Gurguéia,-5.095157,-42.814253
SANTAFE,Santa Fé,,
DIST,Distrito Industrial,,
CIL,Cerâmica Cil,,
TORQ,Torquato Neto / Irmã Dulce,,
TSUL,Teresina Sul,,
PFREITAS,Praça Pedro Freitas / UFPI,-5.056645,-42.7903533
