route_id,service_id,trip_id,trip_headsign
R100,WD,t100_0_0,Terminal Manoel Mendes
R100,WD,t100_0_18,Terminal Manoel Mendes
R100,WD,t100_0_36,Terminal Manoel Mendes
R100,WD,t100_1_0,Terminal Beija-Flor
R100,WD,t100_1_18,Terminal Beija-Flor
R100,WD,t100_1_36,Terminal Beija-Flor
R200,WD,t200_0_0,Terminal Gameleiras
R200,WD,t200_0_18,Terminal Gameleiras
R200,WD,t200_0_36,Terminal Gameleiras
R200,WD,t200_1_0,Terminal Univerde
R200,WD,t200_1_18,Terminal Univerde
R200,WD,t200_1_36,Terminal Univerde
R10,WD,t10_0_0,Terminal Gameleiras
R10,WD,t10_0_18,Terminal Gameleiras
R10,WD,t10_0_35,Terminal Gameleiras
R10,WD,t10_1_0,Terminal Univerde
R10,WD,t10_1_18,Terminal Univerde
R10,WD,t10_1_35,Terminal Univerde
