trip_id,arrival_time,departure_time,stop_id,stop_sequence
A105_0,07:00:00,07:00:00,n6171087760,0
A105_0,07:02:00,07:02:00,n6171087761,1
A105_0,07:04:00,07:04:00,n6171087762,2
A105_0,07:06:00,07:06:00,n6171087763,3
A105_0,07:08:00,07:08:00,n6171087764,4
A105_0,07:10:00,07:10:00,n6171087765,5
A105_0,07:12:00,07:12:00,n6171087766,6
A105_0,07:14:00,07:14:00,n6171087767,7
A105_0,07:16:00,07:16:00,n6171087768,8
A105_0,07:18:00,07:18:00,n6171087769,9
A105_0,07:20:00,07:20:00,n6171087770,10
A105_0,07:22:00,07:22:00,n6171087771,11
A105_0,07:24:00,07:24:00,n6171087772,12
A105_0,07:26:00,07:26:00,n6171087773,13
A105_0,07:28:00,07:28:00,n6171087774,14
A105_0,07:30:00,07:30:00,n6171087775,15
A105_0,07:32:00,07:32:00,n6171087776,16
A105_0,07:34:00,07:34:00,n6171087777,17
A105_0,07:36:00,07:36:00,n6171087778,18
A105_0,07:38:00,07:38:00,n6171087779,19
A105_0,07:40:00,07:40:00,n6171087780,20
A105_0,07:42:00,07:42:00,n6171087738,21
A105_0,07:44:00,07:44:00,n6171087737,22
A105_0,07:46:00,07:46:00,n6164340538,23
A105_0,07:48:00,07:48:00,n6164340540,24
A105_0,07:50:00,07:50:00,n6164340541,25
A105_0,07:52:00,07:52:00,n6164340543,26
A105_0,07:54:00,07:54:00,n6164269309,27
A105_1,07:00:00,07:00:00,n6164269309,0
A105_1,07:02:00,07:02:00,n6164340544,1
A105_1,07:04:00,07:04:00,n6164340546,2
A105_1,07:06:00,07:06:00,n6164340542,3
A105_1,07:08:00,07:08:00,n6164340539,4
A105_1,07:10:00,07:10:00,n6164340537,5
A105_1,07:12:00,07:12:00,n6171087739,6
A105_1,07:14:00,07:14:00,n6171087740,7
A105_1,07:16:00,07:16:00,n6171087741,8
A105_1,07:18:00,07:18:00,n6171087742,9
A105_1,07:20:00,07:20:00,n6171087743,10
A105_1,07:22:00,07:22:00,n6171087744,11
A105_1,07:24:00,07:24:00,n6171087745,12
A105_1,07:26:00,07:26:00,n6171087746,13
A105_1,07:28:00,07:28:00,n6171087747,14
A105_1,07:30:00,07:30:00,n6171087748,15
A105_1,07:32:00,07:32:00,n6171087749,16
A105_1,07:34:00,07:34:00,n6171087750,17
A105_1,07:36:00,07:36:00,n6171087751,18
A105_1,07:38:00,07:38:00,n6171087752,19
A105_1,07:40:00,07:40:00,n6171087753,20
A105_1,07:42:00,07:42:00,n6171087754,21
A105_1,07:44:00,07:44:00,n6171087755,22
A105_1,07:46:00,07:46:00,n6171087756,23
A105_1,07:48:00,07:48:00,n6171087757,24
A105_1,07:50:00,07:50:00,n6171087758,25
A105_1,07:52:00,07:52:00,n6171087759,26
A105_1,07:54:00,07:54:00,n6171087760,27
T131_0,07:00:00,07:00:00,n6164340579,0
T131_0,07:02:00,07:02:00,n6164340573,1
T131_0,07:04:00,07:04:00,n6164340567,2
